time,ADX
2020-04-24,16.5298
2020-04-23,17.2046
2020-04-22,17.9715
2020-04-21,18.8843
2020-04-20,19.8165
2020-04-17,20.4056
2020-04-16,21.0252
2020-04-15,21.4205
2020-04-14,21.9037
2020-04-13,22.4123
2020-04-09,23.4817
2020-04-08,24.6826
2020-04-07,25.8391
2020-04-06,27.0565
2020-04-03,28.0032
2020-04-02,28.2226
2020-04-01,28.4268
2020-03-31,28.7054
2020-03-30,29.3868
2020-03-27,29.7877
2020-03-26,30.2097
2020-03-25,30.6539
2020-03-24,31.1039
2020-03-23,31.1363
2020-03-20,30.2469
2020-03-19,29.6229
2020-03-18,29.3157
2020-03-17,28.8379
2020-03-16,28.3654
2020-03-13,27.9048
2020-03-12,27.7329
2020-03-11,27.0417
2020-03-10,26.9465
2020-03-09,26.8463
2020-03-06,26.2758
2020-03-05,26.2191
2020-03-04,26.5280
2020-03-03,26.9192
2020-03-02,27.3309
2020-02-28,27.6290
2020-02-27,26.4953
2020-02-26,25.7916
2020-02-25,25.5742
2020-02-24,25.3453
2020-02-21,25.2349
2020-02-20,26.2631
2020-02-19,27.3741
2020-02-18,28.3995
2020-02-14,29.8248
2020-02-13,30.6260
2020-02-12,31.4235
2020-02-11,32.2629
2020-02-10,33.3592
2020-02-07,34.6681
2020-02-06,35.7088
2020-02-05,36.6134
2020-02-04,37.5919
2020-02-03,38.9208
2020-01-31,40.7159
2020-01-30,42.1224
2020-01-29,42.5990
2020-01-28,42.8091
2020-01-27,43.5656
2020-01-24,44.8293
2020-01-23,44.3351
2020-01-22,44.0305
2020-01-21,43.4026
2020-01-17,42.7927
2020-01-16,42.1652
2020-01-15,41.6644
2020-01-14,41.1480
2020-01-13,40.1639
2020-01-10,39.1494
2020-01-09,38.2788
2020-01-08,37.4714
2020-01-07,36.9507
2020-01-06,36.6295
2020-01-03,36.3546
2020-01-02,35.4164
2019-12-31,34.4288
2019-12-30,33.7974
2019-12-27,33.1991
2019-12-26,32.0337
2019-12-24,31.0440
2019-12-23,30.3627
2019-12-20,29.6953
2019-12-19,29.1184
2019-12-18,28.6295
2019-12-17,28.0844
2019-12-16,27.5203
2019-12-13,26.9985
2019-12-12,26.8932
2019-12-11,27.0374
2019-12-10,27.3321
2019-12-09,27.7440
2019-12-06,28.1775
2019-12-05,28.2925
2019-12-04,28.8961
2019-12-03,29.8081
2019-12-02,31.2169
2019-11-29,31.5613
2019-11-27,31.4433
2019-11-26,31.3210
2019-11-25,31.2713
2019-11-22,31.2875
2019-11-21,31.6325
2019-11-20,31.9364
2019-11-19,32.2563
2019-11-18,31.6934
2019-11-15,31.1457
2019-11-14,30.6999
2019-11-13,30.3029
2019-11-12,29.8927
2019-11-11,29.6162
2019-11-08,29.3501
2019-11-07,29.2288
2019-11-06,28.9071
2019-11-05,28.7872
2019-11-04,28.5173
2019-11-01,28.2581
2019-10-31,28.1235
2019-10-30,28.5367
2019-10-29,28.3867
2019-10-28,28.0133
2019-10-25,26.9119
2019-10-24,25.9159
2019-10-23,24.9994
2019-10-22,24.1445
2019-10-21,23.3185
2019-10-18,22.5350
2019-10-17,21.9647
2019-10-16,21.4774
2019-10-15,21.0363
2019-10-14,20.3255
2019-10-11,19.5772
2019-10-10,18.8229
2019-10-09,18.5662
2019-10-08,18.5253
2019-10-07,18.4823
2019-10-04,18.2470
2019-10-03,18.1968
2019-10-02,18.7449
2019-10-01,18.9756
2019-09-30,18.3195
2019-09-27,17.9529
2019-09-26,17.9312
2019-09-25,17.6647
2019-09-24,17.3842
2019-09-23,17.0815
2019-09-20,17.0096
2019-09-19,16.9339
2019-09-18,16.4551
2019-09-17,16.0270
2019-09-16,15.7472
2019-09-13,15.5110
2019-09-12,15.2624
2019-09-11,14.2371
2019-09-10,13.3508
2019-09-09,12.9912
2019-09-06,12.6439
2019-09-05,12.4634
2019-09-04,12.3146
2019-09-03,12.5910
2019-08-30,13.1468
2019-08-29,13.3811
2019-08-28,13.7435
2019-08-27,14.4214
2019-08-26,15.1579
2019-08-23,15.8147
2019-08-22,16.5061
2019-08-21,16.0493
2019-08-20,15.4461
2019-08-19,14.8351
2019-08-16,14.2394
2019-08-15,14.0724
2019-08-14,14.0814
2019-08-13,13.7197
2019-08-12,13.3389
2019-08-09,13.9350
2019-08-08,14.5454
2019-08-07,15.1764
2019-08-06,15.6560
2019-08-05,15.9787
2019-08-02,16.3184
2019-08-01,16.6435
2019-07-31,16.2200
2019-07-30,14.9481
2019-07-29,14.9173
2019-07-26,14.6320
2019-07-25,14.4695
2019-07-24,14.3725
2019-07-23,14.1797
2019-07-22,14.0101
2019-07-19,14.0671
2019-07-18,14.2320
2019-07-17,14.1630
2019-07-16,14.1960
2019-07-15,14.1911
2019-07-12,14.1024
2019-07-11,14.2389
2019-07-10,14.3825
2019-07-09,14.6120
2019-07-08,15.1225
2019-07-05,15.6732
2019-07-03,15.6142
2019-07-02,15.6220
2019-07-01,15.7723
2019-06-28,15.9305
2019-06-27,16.6654
2019-06-26,17.1005
2019-06-25,17.6260
2019-06-24,18.3807
2019-06-21,18.7958
2019-06-20,19.2326
2019-06-19,19.7174
2019-06-18,20.3009
2019-06-17,20.9152
2019-06-14,21.9237
2019-06-13,22.8320
2019-06-12,23.9286
2019-06-11,25.1695
2019-06-10,26.4536
2019-06-07,27.8248
2019-06-06,28.9221
2019-06-05,29.3358
2019-06-04,29.7115
2019-06-03,29.4243
2019-05-31,28.8462
2019-05-30,28.5517
2019-05-29,28.3626
2019-05-28,28.1636
2019-05-24,28.0873
2019-05-23,28.0565
2019-05-22,27.8248
2019-05-21,27.9017
2019-05-20,28.1396
2019-05-17,27.9364
2019-05-16,28.1999
2019-05-15,28.6494
2019-05-14,29.0335
2019-05-13,29.1838
2019-05-10,29.3149
2019-05-09,30.2684
2019-05-08,31.6716
2019-05-07,32.9253
2019-05-06,34.2449
2019-05-03,35.2949
2019-05-02,35.3978
2019-05-01,35.5062
2019-04-30,35.4434
2019-04-29,36.5429
2019-04-26,36.7790
2019-04-25,37.1367
2019-04-24,36.8387
2019-04-23,36.0430
2019-04-22,35.2651
2019-04-18,34.6906
2019-04-17,34.1591
2019-04-16,33.6709
2019-04-15,33.3499
2019-04-12,33.1668
2019-04-11,32.9740
2019-04-10,32.2727
2019-04-09,31.5562
2019-04-08,30.5680
2019-04-05,29.7313
2019-04-04,29.1241
2019-04-03,28.5528
2019-04-02,27.9492
2019-04-01,27.4992
2019-03-29,27.3002
2019-03-28,27.2610
2019-03-27,27.2756
