time,ADX
2020-04-24,47.4854
2020-04-23,47.5741
2020-04-22,47.8521
2020-04-21,47.9818
2020-04-20,48.1953
2020-04-17,48.6605
2020-04-16,49.1502
2020-04-15,49.2715
2020-04-13,49.4562
2020-04-09,49.7685
2020-04-08,50.2003
2020-04-07,50.0577
2020-04-03,49.6183
2020-04-01,49.2460
2020-03-31,48.6737
2020-03-30,48.0713
2020-03-27,47.5356
2020-03-26,47.2073
2020-03-25,46.3955
2020-03-24,44.8842
2020-03-23,42.8734
2020-03-20,40.7992
2020-03-19,38.7805
2020-03-18,36.6555
2020-03-17,34.7158
2020-03-16,32.9912
2020-03-13,31.3898
2020-03-12,29.8733
2020-03-11,28.2769
2020-03-09,27.1573
2020-03-06,26.5236
2020-03-05,25.8566
2020-03-04,25.8746
2020-03-03,25.8935
2020-03-02,26.2545
2020-02-28,26.6344
2020-02-27,27.0640
2020-02-26,27.4614
2020-02-25,27.4366
2020-02-24,27.2841
2020-02-20,27.1237
2020-02-19,26.1388
2020-02-18,25.2225
2020-02-17,24.6654
2020-02-14,23.6339
2020-02-13,22.4071
2020-02-12,21.1652
2020-02-11,19.9164
2020-02-10,18.4749
2020-02-07,17.1105
2020-02-06,15.8334
2020-02-05,14.5138
2020-02-04,13.6277
2020-02-03,12.6949
2020-01-31,12.4944
2020-01-30,11.6753
2020-01-29,10.7092
2020-01-28,9.8898
2020-01-27,10.2675
2020-01-24,10.6127
2020-01-23,10.9507
2020-01-22,10.9575
2020-01-21,11.2566
2020-01-20,11.5716
2020-01-17,11.9515
2020-01-16,12.2012
2020-01-15,12.5448
2020-01-14,12.9975
2020-01-13,13.6094
2020-01-10,14.2816
2020-01-09,14.9892
2020-01-08,15.4744
2020-01-07,15.3265
2020-01-06,15.4564
2020-01-03,15.5931
2020-01-02,15.6268
2020-01-01,15.0329
2019-12-31,14.7264
2019-12-30,14.4038
2019-12-27,14.0005
2019-12-26,13.7088
2019-12-24,13.8302
2019-12-23,14.1115
2019-12-20,14.3187
2019-12-19,14.8418
2019-12-18,15.4082
2019-12-17,15.8446
2019-12-16,16.4423
2019-12-13,16.9827
2019-12-12,17.6480
2019-12-11,18.1459
2019-12-10,18.5818
2019-12-09,18.5651
2019-12-06,18.5124
2019-12-05,18.7325
2019-12-04,19.2420
2019-12-03,19.5443
2019-12-02,19.7923
2019-11-29,20.2061
2019-11-28,20.8998
2019-11-27,21.5893
2019-11-26,22.0576
2019-11-25,22.5505
2019-11-22,23.2188
2019-11-21,23.9645
2019-11-20,24.1771
2019-11-19,24.3033
2019-11-18,24.4362
2019-11-15,24.4305
2019-11-14,24.1536
2019-11-13,23.9697
2019-11-11,23.9280
2019-11-08,23.8165
2019-11-07,23.6421
2019-11-06,23.1741
2019-11-05,22.6814
2019-11-04,22.2363
2019-11-01,22.0634
2019-10-31,22.1340
2019-10-30,22.4716
2019-10-29,22.8270
2019-10-27,23.2207
2019-10-25,23.9350
2019-10-24,24.6868
2019-10-23,24.8896
2019-10-22,25.1030
2019-10-18,25.1451
2019-10-17,24.7153
2019-10-16,24.5325
2019-10-15,24.6291
2019-10-14,25.1937
2019-10-11,25.7278
2019-10-10,25.8887
2019-10-09,26.0124
2019-10-07,26.1426
2019-10-04,26.5856
2019-10-03,26.6562
2019-10-01,26.4659
2019-09-30,26.2110
2019-09-27,25.4346
2019-09-26,24.6893
2019-09-25,24.0957
2019-09-24,23.5159
2019-09-23,22.6891
2019-09-20,21.8188
2019-09-19,21.8664
2019-09-18,22.5064
2019-09-17,23.4260
2019-09-16,24.1858
2019-09-13,25.1662
2019-09-12,26.1081
2019-09-11,27.0586
2019-09-09,28.1267
2019-09-06,29.2057
2019-09-05,29.9681
2019-09-04,30.2394
2019-09-03,30.3218
2019-08-30,30.4961
2019-08-29,30.7827
2019-08-28,31.1487
2019-08-27,31.6215
2019-08-26,32.2713
2019-08-23,32.6123
2019-08-22,32.0774
2019-08-21,31.8317
2019-08-20,32.1326
2019-08-19,32.4494
2019-08-16,33.1142
2019-08-14,33.6686
2019-08-13,34.0500
2019-08-09,34.4514
2019-08-08,35.5490
2019-08-07,36.0763
2019-08-06,36.3618
2019-08-05,36.3483
2019-08-02,35.6402
2019-08-01,34.8948
2019-07-31,34.2639
2019-07-30,33.5997
2019-07-29,33.1279
2019-07-26,32.6289
