time,ADX
2020-04-07,40.7767
2020-04-03,40.4596
2020-04-01,40.1257
2020-03-31,40.0285
2020-03-30,39.7510
2020-03-27,39.4588
2020-03-26,39.6219
2020-03-25,39.7476
2020-03-24,38.3479
2020-03-23,36.8745
2020-03-20,35.3757
2020-03-19,33.8617
2020-03-18,31.6034
2020-03-17,29.3763
2020-03-16,27.2662
2020-03-13,25.2228
2020-03-12,23.0717
2020-03-11,21.2323
2020-03-09,19.6914
2020-03-06,18.7594
2020-03-05,17.7783
2020-03-04,17.3811
2020-03-03,16.7633
2020-03-02,16.1131
2020-02-28,15.4286
2020-02-27,14.4800
2020-02-26,14.0490
2020-02-25,13.6799
2020-02-24,13.5368
2020-02-20,13.3862
2020-02-19,13.8387
2020-02-18,14.3149
2020-02-17,14.4023
2020-02-14,14.8732
2020-02-13,15.4871
2020-02-12,16.0120
2020-02-11,16.2548
2020-02-10,16.9647
2020-02-07,17.8359
2020-02-06,18.7056
2020-02-05,19.6737
2020-02-04,20.1675
2020-02-03,20.1572
2020-01-31,19.3860
2020-01-30,20.1637
2020-01-29,20.9823
2020-01-28,21.6427
2020-01-27,22.1667
2020-01-24,23.0932
2020-01-23,23.6265
2020-01-22,24.5287
2020-01-21,25.3438
2020-01-20,25.8136
2020-01-17,26.1376
2020-01-16,26.3197
2020-01-15,26.0112
2020-01-14,25.6964
2020-01-13,25.3651
2020-01-10,25.3254
2020-01-09,25.2836
2020-01-08,25.4005
2020-01-07,26.1460
2020-01-06,26.9307
2020-01-03,27.7567
2020-01-02,27.2828
2020-01-01,26.7840
2019-12-31,26.6409
2019-12-30,26.4903
2019-12-27,26.0126
2019-12-26,25.5097
2019-12-24,25.1536
2019-12-23,24.7787
2019-12-20,24.4896
2019-12-19,24.2774
2019-12-18,23.5507
2019-12-17,22.5837
2019-12-16,21.7632
2019-12-13,21.3820
2019-12-12,21.1958
2019-12-11,21.4680
2019-12-10,21.7545
2019-12-09,22.0561
2019-12-06,22.5950
2019-12-05,23.1623
2019-12-04,22.8228
2019-12-03,22.5263
2019-12-02,22.2346
2019-11-29,22.0281
2019-11-28,21.5414
2019-11-27,20.7671
2019-11-26,19.7097
2019-11-25,18.8643
2019-11-22,18.1818
2019-11-21,18.0607
2019-11-20,18.2267
2019-11-19,18.2873
2019-11-18,18.1811
2019-11-15,17.9573
2019-11-14,17.7413
2019-11-13,17.5766
2019-11-11,17.3267
2019-11-08,16.7523
2019-11-07,16.1477
2019-11-06,15.1355
2019-11-05,14.3642
2019-11-04,13.7180
2019-11-01,13.1624
2019-10-31,12.8364
2019-10-30,12.6991
2019-10-29,12.6949
2019-10-27,12.7890
2019-10-25,13.1320
2019-10-24,13.4922
2019-10-23,13.1764
2019-10-22,13.0883
2019-10-18,13.0678
