time,ADX
2020-04-24,40.6676
2020-04-23,41.3954
2020-04-22,42.1624
2020-04-21,43.0851
2020-04-20,44.1611
2020-04-17,45.6894
2020-04-16,47.3477
2020-04-15,48.8527
2020-04-13,50.4369
2020-04-09,51.4356
2020-04-08,51.9746
2020-04-07,52.5009
2020-04-03,52.8167
2020-04-01,52.7917
2020-03-31,52.7829
2020-03-30,52.8786
2020-03-27,52.9454
2020-03-26,53.1042
2020-03-25,52.6462
2020-03-24,51.0805
2020-03-23,49.1227
2020-03-20,47.0999
2020-03-19,45.1495
2020-03-18,43.1061
2020-03-17,41.0742
2020-03-16,39.0264
2020-03-13,36.9268
2020-03-12,34.7166
2020-03-11,32.7476
2020-03-09,31.0829
2020-03-06,29.9028
2020-03-05,28.6606
2020-03-04,27.7402
2020-03-03,26.7714
2020-03-02,25.8021
2020-02-28,24.7818
2020-02-27,23.2469
2020-02-26,22.0217
2020-02-25,20.8162
2020-02-24,19.9983
2020-02-20,19.3227
2020-02-19,18.9996
2020-02-18,18.6786
2020-02-17,18.0704
2020-02-14,17.6159
2020-02-13,17.3744
2020-02-12,16.9611
2020-02-11,16.5262
2020-02-10,16.1209
2020-02-07,15.6943
2020-02-06,15.6092
2020-02-05,15.7580
2020-02-04,15.9146
2020-02-03,15.6607
2020-01-31,15.3205
2020-01-30,15.4239
2020-01-29,15.5327
2020-01-28,15.6786
2020-01-27,16.2732
2020-01-24,16.7769
2020-01-23,17.3071
2020-01-22,17.8817
2020-01-21,17.6129
2020-01-20,17.5174
2020-01-17,17.5279
2020-01-16,17.5390
2020-01-15,17.8865
2020-01-14,18.3132
2020-01-13,18.6665
2020-01-10,19.3476
2020-01-09,19.9427
2020-01-08,20.1564
2020-01-07,20.0357
2020-01-06,20.5534
2020-01-03,20.9804
2020-01-02,21.8246
2020-01-01,22.7132
2019-12-31,22.7625
2019-12-30,22.5264
2019-12-27,22.3942
2019-12-26,22.0754
2019-12-24,21.7398
2019-12-23,21.7940
2019-12-20,22.0341
2019-12-19,22.3233
2019-12-18,22.4055
2019-12-17,22.6511
2019-12-16,22.8827
2019-12-13,22.9311
2019-12-12,22.6992
2019-12-11,21.6490
2019-12-10,20.5436
2019-12-09,19.5489
2019-12-06,18.5653
2019-12-05,17.6833
2019-12-04,16.7911
2019-12-03,15.8520
2019-12-02,15.2636
2019-11-29,14.8118
2019-11-28,14.4597
2019-11-27,14.0892
2019-11-26,13.6991
2019-11-25,14.0605
2019-11-22,14.6530
2019-11-21,15.2868
2019-11-20,15.9211
2019-11-19,16.4138
2019-11-18,16.5877
2019-11-15,16.7708
2019-11-14,17.0441
2019-11-13,17.5145
2019-11-11,18.2274
2019-11-08,19.0391
2019-11-07,19.6443
2019-11-06,20.0380
2019-11-05,20.2946
2019-11-04,20.6876
2019-11-01,20.7134
2019-10-31,20.7405
2019-10-30,20.2710
2019-10-29,19.7767
2019-10-27,19.5992
2019-10-25,19.6955
2019-10-24,19.8361
2019-10-23,19.8669
2019-10-22,20.1495
2019-10-18,20.0400
2019-10-17,20.0653
2019-10-16,20.3401
2019-10-15,20.6295
2019-10-14,20.8462
2019-10-11,21.1411
2019-10-10,21.4261
2019-10-09,21.9465
2019-10-07,22.4943
2019-10-04,23.1180
2019-10-03,23.1807
2019-10-01,23.2021
2019-09-30,22.9590
2019-09-27,22.8153
2019-09-26,22.4412
2019-09-25,22.0474
2019-09-24,21.7481
2019-09-23,20.9827
2019-09-20,20.1771
2019-09-19,20.6437
2019-09-18,20.8496
2019-09-17,21.3126
2019-09-16,21.7999
2019-09-13,22.7822
2019-09-12,23.9163
2019-09-11,25.0495
2019-09-09,26.2197
2019-09-06,27.3776
2019-09-05,28.0741
2019-09-04,28.8073
2019-09-03,29.1096
2019-08-30,29.4279
2019-08-29,29.9188
2019-08-28,30.8579
2019-08-27,31.9047
2019-08-26,33.0914
2019-08-23,33.6521
2019-08-22,33.1803
2019-08-21,32.7813
2019-08-20,32.5813
2019-08-19,32.7655
2019-08-16,33.0391
2019-08-14,32.8137
2019-08-13,32.5765
2019-08-09,32.3268
2019-08-08,32.7553
2019-08-07,32.6837
2019-08-06,32.7985
2019-08-05,32.9194
2019-08-02,31.9125
2019-08-01,31.0107
2019-07-31,30.0648
2019-07-30,29.3898
2019-07-29,28.5140
2019-07-26,27.5921
2019-07-25,26.6449
2019-07-24,25.7077
2019-07-23,24.7734
2019-07-22,23.9217
2019-07-19,23.1167
2019-07-18,22.3449
2019-07-17,21.8792
2019-07-16,21.6586
2019-07-15,21.2868
2019-07-12,20.9680
2019-07-11,21.0399
2019-07-10,21.5770
2019-07-09,22.1424
2019-07-08,22.7947
2019-07-05,23.4814
2019-07-04,23.6361
2019-07-03,23.2040
2019-07-02,22.8548
2019-07-01,22.7615
2019-06-28,22.6566
2019-06-27,22.5462
2019-06-26,22.4892
2019-06-25,22.5072
2019-06-24,22.7034
2019-06-21,22.5490
2019-06-20,22.3865
2019-06-19,22.3174
2019-06-18,22.7153
2019-06-17,23.2930
2019-06-14,23.9011
2019-06-13,24.1702
2019-06-12,24.5881
2019-06-11,25.0723
2019-06-10,25.2256
2019-06-07,25.3868
2019-06-06,25.6530
2019-06-04,25.6184
2019-06-03,24.5751
2019-05-31,23.6097
2019-05-30,22.5935
2019-05-29,21.6283
2019-05-28,20.4721
2019-05-27,18.9277
2019-05-24,17.3805
2019-05-23,16.1370
2019-05-22,14.8281
2019-05-21,14.4174
2019-05-20,14.1420
2019-05-17,13.9563
2019-05-16,13.9913
2019-05-15,13.3186
2019-05-14,12.8452
2019-05-13,12.0621
2019-05-10,11.7247
2019-05-09,12.2697
2019-05-08,12.8434
2019-05-07,13.1099
2019-05-06,13.3904
2019-05-03,13.9401
2019-05-02,14.2112
2019-04-30,14.4966
2019-04-26,15.0855
2019-04-25,15.3884
2019-04-24,15.6531
2019-04-23,16.3755
2019-04-22,17.1359
2019-04-18,17.4887
2019-04-16,17.6973
2019-04-15,17.9169
2019-04-12,18.6766
2019-04-11,19.4231
2019-04-10,19.8131
2019-04-09,20.3239
2019-04-08,20.8243
2019-04-05,21.3510
2019-04-04,21.8417
2019-04-03,22.3583
2019-04-02,22.6694
2019-04-01,22.2788
2019-03-28,21.9247
2019-03-27,22.0964
2019-03-26,22.2772
2019-03-25,22.3744
2019-03-22,22.3958
2019-03-20,22.2845
2019-03-19,22.7003
2019-03-18,23.2236
2019-03-15,23.2373
2019-03-14,23.0258
2019-03-13,23.0161
2019-03-12,23.0060
2019-03-11,22.9952
2019-03-08,23.8781
2019-03-07,24.8075
2019-03-06,25.9200
2019-03-05,26.8319
2019-03-01,27.4470
2019-02-28,28.4893
2019-02-27,29.3138
2019-02-26,30.0295
2019-02-25,30.2282
2019-02-22,30.6385
2019-02-21,31.0112
2019-02-20,31.4036
2019-02-19,31.5936
2019-02-18,31.4810
2019-02-15,31.1089
2019-02-14,30.5400
2019-02-12,29.3747
2019-02-11,28.5157
2019-02-08,27.4906
2019-02-07,26.8720
2019-02-06,26.7644
2019-02-05,26.6511
2019-02-04,26.6511
2019-02-01,26.6849
2019-01-31,26.9077
2019-01-30,26.6959
2019-01-29,26.1724
2019-01-28,25.5669
2019-01-25,25.2854
2019-01-24,24.2403
2019-01-23,23.2375
2019-01-22,22.2816
2019-01-21,21.2946
2019-01-18,20.2556
2019-01-17,19.6999
2019-01-16,19.5338
2019-01-15,19.3674
2019-01-14,18.8222
2019-01-11,18.2630
2019-01-10,18.2241
2019-01-09,18.6544
2019-01-08,18.9438
2019-01-07,19.2484
2019-01-04,19.7707
2019-01-03,20.2910
2019-01-02,21.1926
2019-01-01,21.7924
2018-12-31,22.1579
2018-12-28,22.3402
2018-12-27,22.5943
2018-12-26,23.1301
2018-12-24,23.7750
2018-12-21,24.0260
2018-12-20,23.8573
2018-12-19,23.8256
2018-12-18,24.0118
2018-12-17,24.3756
2018-12-14,24.8736
2018-12-13,25.1041
2018-12-12,25.3537
2018-12-11,26.0069
2018-12-10,27.2243
2018-12-07,28.4646
2018-12-06,29.3932
2018-12-05,30.4870
2018-12-04,31.1176
2018-12-03,30.9199
2018-11-30,30.7117
2018-11-29,30.5700
2018-11-28,30.4209
2018-11-27,30.2972
2018-11-26,29.6277
2018-11-22,28.9771
2018-11-21,28.4553
2018-11-20,27.9777
2018-11-19,27.1083
2018-11-16,26.2243
2018-11-15,25.3756
2018-11-14,24.5328
2018-11-13,23.7971
2018-11-12,23.0407
2018-11-09,22.3931
2018-11-07,21.7784
2018-11-06,21.2192
2018-11-05,20.6439
2018-11-02,20.0944
2018-11-01,19.5160
2018-10-31,18.9071
2018-10-30,19.3113
2018-10-29,20.1945
2018-10-26,21.1509
2018-10-25,20.8956
2018-10-24,20.6793
2018-10-23,20.6161
2018-10-22,20.2061
2018-10-19,20.0614
2018-10-17,19.8406
2018-10-16,19.9872
2018-10-15,19.8640
2018-10-12,19.7343
2018-10-11,19.7284
2018-10-10,19.5501
2018-10-09,19.4255
2018-10-08,18.5265
2018-10-05,17.5801
2018-10-04,16.8233
2018-10-03,16.4782
2018-10-01,15.1980
2018-09-28,13.8505
2018-09-27,12.8961
2018-09-26,12.8234
2018-09-25,13.1026
2018-09-24,13.2483
2018-09-21,13.4017
2018-09-19,13.6723
2018-09-18,14.3326
2018-09-17,15.0276
2018-09-14,15.3271
2018-09-12,15.2919
2018-09-11,15.4891
2018-09-10,15.8705
2018-09-07,15.9964
2018-09-06,15.9932
2018-09-05,16.0187
2018-09-04,16.0019
2018-09-03,15.6000
2018-08-31,14.9838
2018-08-30,14.6033
2018-08-29,14.4164
2018-08-28,14.2744
2018-08-27,13.9641
2018-08-24,13.6383
2018-08-23,13.3472
2018-08-21,13.0407
2018-08-20,13.2197
2018-08-17,13.4723
2018-08-16,12.4965
2018-08-14,11.4694
2018-08-13,10.8521
2018-08-10,10.2420
2018-08-09,9.7886
2018-08-08,9.8517
2018-08-07,10.0994
2018-08-06,10.3990
2018-08-03,10.4354
2018-08-02,10.4622
2018-08-01,10.4904
2018-07-31,10.8413
2018-07-30,11.2106
2018-07-27,11.7388
2018-07-26,12.1982
2018-07-25,12.6818
2018-07-24,12.7233
2018-07-23,12.9635
2018-07-20,13.1197
2018-07-19,13.2841
2018-07-18,13.4571
2018-07-17,13.9745
2018-07-16,14.5252
2018-07-13,15.2831
2018-07-12,15.8442
2018-07-11,16.5697
2018-07-10,17.0314
2018-07-09,17.5319
2018-07-06,17.8528
2018-07-05,17.8601
2018-07-04,17.5202
2018-07-03,17.0774
2018-07-02,16.6450
2018-06-29,16.1899
2018-06-28,15.6294
2018-06-27,14.0907
2018-06-26,12.8114
2018-06-25,11.9375
2018-06-22,11.0819
2018-06-21,10.4751
2018-06-20,9.9292
2018-06-19,9.6084
2018-06-18,9.4659
2018-06-15,9.5628
2018-06-14,9.7191
2018-06-13,10.1524
2018-06-12,10.3444
2018-06-11,10.6252
2018-06-08,11.1825
2018-06-07,11.7692
2018-06-06,11.9863
2018-06-05,12.4429
2018-06-04,12.9236
2018-06-01,12.8006
2018-05-31,12.4721
2018-05-30,12.4749
2018-05-29,12.4185
2018-05-28,11.8665
2018-05-25,12.0790
2018-05-24,12.1377
2018-05-23,12.1994
2018-05-22,12.2644
2018-05-21,12.0379
2018-05-18,11.7225
2018-05-17,11.4093
2018-05-16,12.0016
2018-05-15,12.4145
2018-05-14,12.5635
2018-05-11,12.5034
2018-05-10,12.6448
2018-05-09,12.9115
2018-05-08,13.0752
2018-05-07,13.2475
2018-05-04,13.1260
2018-05-03,13.1567
2018-05-02,12.8653
2018-04-30,12.1222
2018-04-27,11.7002
2018-04-26,11.7422
2018-04-25,12.2204
2018-04-24,11.9101
2018-04-23,11.5835
2018-04-20,11.3646
2018-04-19,11.0090
2018-04-18,10.6069
2018-04-17,10.5546
2018-04-16,10.4095
2018-04-13,10.3688
2018-04-12,10.5000
2018-04-11,10.4776
2018-04-10,10.4727
2018-04-09,10.5428
2018-04-06,11.0648
2018-04-05,11.4381
2018-04-04,11.9623
2018-04-03,12.4746
2018-04-02,12.6771
2018-03-28,12.8903
2018-03-27,13.4467
2018-03-26,14.1086
2018-03-23,14.5414
2018-03-22,14.5911
2018-03-21,15.1795
2018-03-20,15.6226
2018-03-19,15.7820
2018-03-16,15.7549
2018-03-15,15.7264
2018-03-14,16.3086
2018-03-13,16.9447
2018-03-12,17.6404
2018-03-09,18.1424
2018-03-08,18.2964
2018-03-07,18.3166
2018-03-06,18.3426
2018-03-05,18.6805
2018-03-01,19.3849
2018-02-28,20.1539
2018-02-27,21.2121
2018-02-26,21.9668
2018-02-23,22.9043
2018-02-22,23.4757
2018-02-21,23.8642
2018-02-20,24.3437
2018-02-19,24.9320
2018-02-16,25.6021
2018-02-15,26.8796
2018-02-14,27.8114
2018-02-12,28.7922
2018-02-09,30.1131
2018-02-08,31.6469
2018-02-07,33.0871
2018-02-06,34.6031
2018-02-05,36.1989
2018-02-02,36.6430
2018-02-01,35.3633
2018-01-31,34.0163
2018-01-30,32.9207
2018-01-29,31.7933
2018-01-25,30.2770
2018-01-24,28.8431
2018-01-23,27.4981
2018-01-22,26.0047
2018-01-19,24.5431
2018-01-18,23.3474
2018-01-17,22.0886
2018-01-16,21.1518
2018-01-15,20.4814
2018-01-12,19.6931
2018-01-11,19.2123
2018-01-10,18.8282
2018-01-09,18.2897
2018-01-08,17.4148
2018-01-05,16.4939
2018-01-04,15.8202
2018-01-03,15.3062
2018-01-02,15.5677
2018-01-01,16.2302
2017-12-29,16.4135
2017-12-28,16.7008
2017-12-27,17.1438
2017-12-26,17.5510
2017-12-22,17.7809
2017-12-21,18.1361
2017-12-20,18.6102
2017-12-19,19.3394
2017-12-18,19.4766
2017-12-15,19.6210
2017-12-14,20.4378
2017-12-13,21.2976
2017-12-12,22.3525
2017-12-11,22.9070
2017-12-08,22.9286
2017-12-07,23.0255
2017-12-06,23.1274
2017-12-05,23.7464
2017-12-04,24.2994
2017-12-01,24.4949
2017-11-30,24.4680
2017-11-29,24.6626
2017-11-28,24.7064
2017-11-27,24.7524
2017-11-24,24.5281
2017-11-23,24.4266
2017-11-22,24.3199
2017-11-21,24.0509
2017-11-20,23.7678
2017-11-17,23.0763
2017-11-16,22.4972
2017-11-15,22.1639
2017-11-14,21.8130
2017-11-13,21.2778
2017-11-10,20.6224
2017-11-09,19.7280
2017-11-08,19.5197
2017-11-07,19.4379
2017-11-06,19.3517
2017-11-03,18.8252
2017-11-02,18.2710
2017-11-01,18.2700
2017-10-31,18.0439
2017-10-30,17.8138
2017-10-27,17.1678
2017-10-26,16.4879
2017-10-25,15.7721
2017-10-24,15.5133
2017-10-23,15.3992
2017-10-19,15.2790
2017-10-18,15.5228
2017-10-17,15.8058
2017-10-16,16.2331
2017-10-13,16.5643
2017-10-12,16.8555
2017-10-11,17.0006
2017-10-10,17.1533
2017-10-09,17.6353
2017-10-06,18.1427
2017-10-05,18.2857
2017-10-04,18.4363
2017-10-03,18.7226
2017-09-29,19.0240
2017-09-28,19.4268
2017-09-27,19.6205
2017-09-26,19.8603
2017-09-25,20.5456
2017-09-22,21.2671
2017-09-21,22.0500
2017-09-20,21.9576
2017-09-19,21.1860
2017-09-18,20.5489
2017-09-15,19.8783
2017-09-14,19.6250
2017-09-13,18.9629
2017-09-12,18.3582
2017-09-11,17.3120
2017-09-08,16.4216
2017-09-07,16.2885
2017-09-06,16.3744
2017-09-05,16.1967
2017-09-04,16.2560
2017-09-01,16.3184
2017-08-31,16.7370
2017-08-30,17.1776
2017-08-29,17.8045
2017-08-28,18.1532
2017-08-24,18.6670
2017-08-23,18.3058
2017-08-22,17.5820
2017-08-21,16.8201
2017-08-18,16.2647
2017-08-17,15.6324
2017-08-16,15.1575
2017-08-14,14.4680
2017-08-11,13.7423
