time,Real Lower Band,Real Middle Band,Real Upper Band
2020-04-14,223.8786,252.4555,281.0324
2020-04-13,226.1684,250.2135,274.2586
2020-04-09,225.4316,250.4495,275.4674
2020-04-08,225.7667,249.4615,273.1563
2020-04-07,224.6260,249.9295,275.2330
2020-04-06,221.7923,251.2250,280.6577
2020-04-03,221.6522,251.4100,281.1678
2020-04-02,220.2365,253.7910,287.3455
2020-04-01,218.8624,256.1905,293.5186
2020-03-31,217.5468,259.2820,301.0172
2020-03-30,217.3868,261.0335,304.6802
2020-03-27,216.7218,263.2335,309.7452
2020-03-26,218.3705,264.5145,310.6585
2020-03-25,219.0534,265.2685,311.4836
2020-03-24,220.8749,267.6250,314.3751
2020-03-23,223.1424,269.6850,316.2276
2020-03-20,230.2080,273.3755,316.5430
2020-03-19,236.1122,277.5660,319.0198
2020-03-18,238.7786,281.3420,323.9054
2020-03-17,241.9520,285.1895,328.4270
2020-03-16,245.5392,288.4965,331.4538
2020-03-13,252.4570,292.6335,332.8100
2020-03-12,253.0620,294.9785,336.8950
2020-03-11,260.6492,298.9270,337.2048
2020-03-10,263.4424,301.1360,338.8296
2020-03-09,264.9842,302.9465,340.9088
2020-03-06,270.9985,305.6395,340.2805
2020-03-05,272.6874,307.4485,342.2096
2020-03-04,274.2746,308.8750,343.4754
2020-03-03,274.9391,309.6805,344.4219
2020-03-02,277.1733,310.6475,344.1217
2020-02-28,278.1430,311.1825,344.2220
2020-02-27,285.2092,313.7080,342.2068
2020-02-26,294.2047,316.2490,338.2933
2020-02-25,298.2991,317.5010,336.7029
2020-02-24,304.1966,318.5445,332.8924
2020-02-21,308.6479,319.5510,330.4541
2020-02-20,309.3688,319.8600,330.3512
2020-02-19,309.1995,319.7300,330.2605
2020-02-18,308.9197,319.3775,329.8353
2020-02-14,308.9036,319.3640,329.8244
2020-02-13,308.6005,318.8785,329.1565
2020-02-12,307.8100,318.2020,328.5940
2020-02-11,307.6887,317.4760,327.2633
2020-02-10,307.6038,317.3435,327.0832
2020-02-07,306.7874,316.7825,326.7776
2020-02-06,305.9212,316.2625,326.6038
2020-02-05,304.1951,315.1615,326.1279
2020-02-04,301.2300,314.0085,326.7870
2020-02-03,299.0792,313.0560,327.0328
2020-01-31,297.0330,312.4945,327.9560
2020-01-30,295.7290,312.0365,328.3440
2020-01-29,293.3089,310.5255,327.7421
2020-01-28,291.0040,308.8845,326.7650
2020-01-27,288.2736,307.4900,326.7064
2020-01-24,285.8733,306.5380,327.2027
2020-01-23,282.7702,304.8360,326.9018
2020-01-22,280.2737,303.0745,325.8753
2020-01-21,277.1995,301.1615,325.1235
2020-01-17,274.7835,299.3340,323.8845
2020-01-16,273.1138,297.3845,321.6552
2020-01-15,271.7516,295.6430,319.5344
2020-01-14,270.3745,294.0690,317.7635
2020-01-13,268.7477,292.1925,315.6373
2020-01-10,267.7311,289.9175,312.1039
2020-01-09,266.3391,287.9395,309.5399
2020-01-08,265.1146,285.8820,306.6494
2020-01-07,263.3290,284.0685,304.8080
2020-01-06,262.2607,282.6845,303.1083
2020-01-03,260.8402,280.9735,301.1068
2020-01-02,258.8806,279.1890,299.4974
2019-12-31,257.5462,277.1440,296.7418
2019-12-30,256.8386,275.6695,294.5004
2019-12-27,256.7743,274.4560,292.1377
2019-12-26,256.9419,273.3580,289.7741
2019-12-24,257.0912,272.0770,287.0628
2019-12-23,257.1054,271.1820,285.2586
2019-12-20,256.7281,270.0710,283.4139
2019-12-19,256.1444,269.1995,282.2546
2019-12-18,256.0532,268.3580,280.6628
2019-12-17,256.5255,267.6855,278.8455
2019-12-16,257.5090,267.0200,276.5310
2019-12-13,258.8440,266.3150,273.7860
2019-12-12,259.2598,265.6895,272.1192
2019-12-11,259.4672,265.3400,271.2128
2019-12-10,259.4130,264.8995,270.3860
2019-12-09,259.2375,264.5855,269.9335
2019-12-06,258.6784,264.2465,269.8146
2019-12-05,258.5820,263.6825,268.7830
2019-12-04,257.5296,263.2655,269.0014
2019-12-03,256.7301,263.0350,269.3399
2019-12-02,256.3594,262.9375,269.5156
2019-11-29,255.2812,262.5205,269.7598
2019-11-27,252.5193,261.5960,270.6727
2019-11-26,248.7142,260.3670,272.0198
2019-11-25,245.6559,259.3170,272.9781
2019-11-22,244.4954,258.4510,272.4066
2019-11-21,242.9121,257.6910,272.4699
2019-11-20,240.9230,256.7695,272.6160
2019-11-19,239.1618,255.7690,272.3762
2019-11-18,237.2271,254.4525,271.6779
2019-11-15,235.9030,253.1230,270.3430
2019-11-14,233.9965,251.6555,269.3145
2019-11-13,232.0158,250.2875,268.5592
2019-11-12,230.4729,248.7825,267.0921
2019-11-11,229.2939,247.4505,265.6071
2019-11-08,228.6400,246.1340,263.6280
2019-11-07,228.1811,244.9375,261.6939
2019-11-06,226.9099,243.4705,260.0311
