time,Real Lower Band,Real Middle Band,Real Upper Band
2020-04-13,1666.6118,2719.1050,3771.5983
2020-04-09,1625.3412,2804.5850,3983.8288
2020-04-08,1563.9846,2888.3875,4212.7904
2020-04-07,1563.6812,2983.0675,4402.4538
2020-04-03,1593.6692,3087.1900,4580.7108
2020-04-01,1667.8688,3191.1750,4714.4812
2020-03-31,1753.1866,3302.9700,4852.7534
2020-03-30,1879.2247,3410.3300,4941.4354
2020-03-27,2023.4591,3521.3725,5019.2859
2020-03-26,2111.6910,3632.0500,5152.4090
2020-03-25,2181.0725,3732.8200,5284.5675
2020-03-24,2317.2271,3844.8025,5372.3779
2020-03-23,2513.5583,3960.6800,5407.8017
2020-03-20,2818.8725,4091.4925,5364.1126
2020-03-19,2982.4311,4187.2075,5391.9839
2020-03-18,3257.1577,4287.4275,5317.6973
2020-03-17,3490.1957,4373.1150,5256.0343
2020-03-16,3650.7693,4440.0350,5229.3007
2020-03-13,3775.8969,4496.0725,5216.2481
2020-03-12,3909.9996,4547.8350,5185.6704
2020-03-11,4076.7797,4598.5800,5120.3803
2020-03-09,4179.3298,4633.0800,5086.8302
2020-03-06,4240.5998,4654.2525,5067.9052
2020-03-05,4312.1074,4676.2825,5040.4576
2020-03-04,4349.0322,4685.8800,5022.7277
2020-03-03,4402.8911,4697.4300,4991.9688
2020-03-02,4380.4775,4692.7324,5004.9874
2020-02-28,4380.9987,4692.8324,5004.6662
2020-02-27,4358.5616,4687.8049,5017.0482
2020-02-26,4323.9463,4670.8924,5017.8386
2020-02-25,4247.5110,4641.0574,5034.6039
2020-02-24,4173.3762,4608.0549,5042.7337
2020-02-20,4117.0416,4577.5349,5038.0283
2020-02-19,4062.3856,4539.9949,5017.6043
2020-02-18,4021.6393,4503.1749,4984.7106
2020-02-17,3980.0946,4472.3924,4964.6902
2020-02-14,3950.5147,4441.1374,4931.7601
2020-02-13,3941.1434,4413.4999,4885.8565
2020-02-12,3939.7043,4384.7249,4829.7455
2020-02-11,3942.2799,4356.5574,4770.8350
2020-02-10,3950.5903,4328.7724,4706.9546
