time,Real Lower Band,Real Middle Band,Real Upper Band
2020-03-20,1611.1119,1660.0094,1708.9069
2020-03-19,1632.0112,1655.5946,1679.1780
2020-03-18,1633.9905,1656.4667,1678.9429
2020-03-17,1636.7611,1657.4782,1678.1953
2020-03-16,1638.4304,1658.2590,1678.0876
2020-03-13,1638.8235,1658.6374,1678.4513
2020-03-12,1639.6674,1659.3183,1678.9693
2020-03-11,1643.3032,1660.6027,1677.9022
2020-03-09,1646.1897,1662.1194,1678.0491
2020-03-06,1648.4158,1662.9934,1677.5711
2020-03-05,1652.5048,1664.1091,1675.7134
2020-03-04,1654.3656,1664.9181,1675.4706
2020-03-03,1655.4674,1665.6358,1675.8042
2020-03-02,1656.2297,1666.2601,1676.2904
2020-02-28,1655.0096,1667.3313,1679.6530
2020-02-27,1653.2486,1668.2929,1683.3372
2020-02-26,1652.5834,1669.1636,1685.7437
2020-02-25,1651.8854,1669.9532,1688.0211
2020-02-24,1651.2619,1670.4611,1689.6602
2020-02-20,1650.9579,1670.9847,1691.0115
2020-02-19,1651.8536,1671.9470,1692.0404
2020-02-18,1652.4512,1672.7510,1693.0507
2020-02-17,1654.2829,1674.2411,1694.1993
2020-02-14,1654.7207,1676.4205,1698.1202
2020-02-13,1656.1546,1678.2938,1700.4330
2020-02-12,1658.0758,1679.8847,1701.6935
2020-02-11,1659.1071,1681.7553,1704.4036
2020-02-10,1660.5898,1683.7401,1706.8904
2020-02-07,1661.4050,1685.1560,1708.9070
2020-02-06,1663.1129,1687.3831,1711.6534
2020-02-05,1666.4141,1688.9695,1711.5249
2020-02-04,1669.4455,1690.5299,1711.6143
2020-02-03,1672.5447,1691.9430,1711.3412
2020-01-31,1676.1108,1693.2491,1710.3875
2020-01-30,1677.3066,1694.0842,1710.8618
2020-01-29,1678.0251,1694.8396,1711.6541
2020-01-28,1679.3266,1695.7492,1712.1718
2020-01-27,1680.1823,1696.9385,1713.6947
2020-01-24,1681.5378,1698.0091,1714.4804
2020-01-23,1683.5851,1699.2260,1714.8668
2020-01-22,1686.5812,1700.6878,1714.7944
2020-01-21,1689.9759,1702.3064,1714.6370
2020-01-20,1692.9544,1703.2480,1713.5415
2020-01-17,1692.8421,1703.7918,1714.7415
2020-01-16,1693.5473,1704.4436,1715.3399
2020-01-15,1694.1374,1705.7166,1717.2957
2020-01-14,1693.7245,1706.5808,1719.4371
2020-01-13,1693.3326,1707.3762,1721.4197
2020-01-10,1693.5870,1708.3132,1723.0393
2020-01-09,1693.2949,1708.7855,1724.2760
2020-01-08,1694.5512,1709.8991,1725.2469
2020-01-07,1695.5468,1710.2799,1725.0131
2020-01-06,1696.7668,1710.6912,1724.6155
2020-01-03,1698.5802,1711.2338,1723.8874
2020-01-02,1700.2872,1712.0262,1723.7652
2020-01-01,1701.6380,1712.8853,1724.1326
2019-12-31,1703.1812,1713.7318,1724.2824
2019-12-30,1703.5605,1714.2707,1724.9808
2019-12-27,1703.9762,1715.1855,1726.3948
2019-12-26,1704.5002,1716.0562,1727.6122
2019-12-24,1704.5760,1716.0835,1727.5910
2019-12-23,1704.2355,1715.9290,1727.6225
2019-12-20,1704.3067,1715.9455,1727.5843
2019-12-19,1704.5271,1716.0595,1727.5920
2019-12-18,1703.5150,1715.7902,1728.0654
2019-12-17,1703.1996,1715.4460,1727.6924
2019-12-16,1703.1991,1715.3591,1727.5190
2019-12-13,1702.0412,1714.6609,1727.2807
2019-12-12,1700.4764,1713.8213,1727.1661
2019-12-11,1695.7696,1712.3604,1728.9512
2019-12-10,1691.4651,1710.7600,1730.0550
2019-12-09,1690.1186,1710.2412,1730.3638
2019-12-06,1688.0176,1709.5063,1730.9950
2019-12-05,1687.3665,1709.1448,1730.9231
2019-12-04,1686.8145,1708.5010,1730.1875
2019-12-03,1686.9627,1708.2399,1729.5170
2019-12-02,1687.1416,1707.9627,1728.7838
2019-11-29,1687.2752,1707.3279,1727.3807
2019-11-28,1688.2065,1706.7384,1725.2704
2019-11-27,1689.4394,1705.9460,1722.4526
2019-11-26,1689.3718,1705.7029,1722.0341
2019-11-25,1688.9633,1705.2170,1721.4706
2019-11-22,1688.9098,1705.1543,1721.3989
2019-11-21,1689.0908,1704.9068,1720.7229
2019-11-20,1688.8881,1704.7549,1720.6218
2019-11-19,1688.1625,1703.9755,1719.7886
2019-11-18,1688.6942,1703.6804,1718.6666
2019-11-15,1688.3435,1703.3766,1718.4096
2019-11-14,1686.4547,1702.6905,1718.9263
2019-11-13,1686.1984,1702.6296,1719.0608
2019-11-11,1684.7739,1702.3489,1719.9238
2019-11-08,1681.6857,1701.5208,1721.3559
2019-11-07,1677.4748,1700.5496,1723.6243
2019-11-06,1674.6342,1699.4559,1724.2775
2019-11-05,1670.1324,1697.8362,1725.5399
2019-11-04,1667.4434,1695.8530,1724.2626
2019-11-01,1665.6985,1693.9911,1722.2837
2019-10-31,1663.9365,1692.4589,1720.9813
2019-10-30,1663.1995,1690.6689,1718.1383
2019-10-29,1662.4448,1689.0538,1715.6629
2019-10-27,1662.0668,1687.7247,1713.3826
2019-10-25,1662.1479,1687.0457,1711.9435
2019-10-24,1662.7385,1686.2490,1709.7595
2019-10-23,1664.0240,1684.9802,1705.9364
2019-10-22,1664.5204,1684.7039,1704.8874
2019-10-18,1664.7872,1684.3790,1703.9709
2019-10-17,1667.9613,1683.0757,1698.1902
2019-10-16,1669.2696,1682.4327,1695.5958
2019-10-15,1669.3662,1682.2988,1695.2313
2019-10-14,1669.4429,1682.0304,1694.6180
2019-10-11,1669.4989,1682.1200,1694.7411
2019-10-10,1669.6323,1682.2562,1694.8801
2019-10-09,1669.4257,1682.2037,1694.9817
2019-10-07,1669.0064,1682.0261,1695.0458
2019-10-04,1669.3852,1682.1156,1694.8460
2019-10-03,1669.7885,1682.2496,1694.7107
2019-10-01,1667.7176,1681.7455,1695.7734
2019-09-30,1665.4994,1681.1635,1696.8277
2019-09-27,1665.0769,1680.9798,1696.8827
2019-09-26,1664.5903,1680.7767,1696.9631
2019-09-25,1664.6058,1680.7895,1696.9731
2019-09-24,1664.3300,1680.2655,1696.2010
2019-09-23,1663.9872,1679.5413,1695.0954
2019-09-20,1663.9798,1679.4383,1694.8969
2019-09-19,1665.2310,1678.5736,1691.9162
2019-09-18,1665.8260,1678.0635,1690.3009
2019-09-17,1665.9556,1677.9485,1689.9414
2019-09-16,1666.2911,1677.6742,1689.0573
2019-09-13,1666.4474,1677.0989,1687.7503
2019-09-12,1666.5975,1676.8966,1687.1958
2019-09-11,1666.6824,1676.4465,1686.2106
2019-09-09,1666.9306,1676.1532,1685.3757
2019-09-06,1666.8164,1676.8452,1686.8741
2019-09-05,1666.7095,1677.2774,1687.8453
2019-09-04,1667.1646,1677.8192,1688.4738
2019-09-03,1666.8999,1678.3267,1689.7536
2019-08-30,1668.6335,1678.8021,1688.9708
2019-08-29,1670.9729,1679.2752,1687.5775
2019-08-28,1670.9004,1679.2549,1687.6095
2019-08-27,1670.4270,1679.1449,1687.8629
2019-08-26,1669.0933,1678.6476,1688.2018
2019-08-23,1669.0160,1678.6042,1688.1923
2019-08-22,1669.1002,1678.6381,1688.1759
2019-08-21,1668.8115,1678.3090,1687.8065
2019-08-20,1668.6197,1678.1557,1687.6917
2019-08-19,1668.5133,1678.0117,1687.5102
2019-08-16,1668.2992,1677.5798,1686.8604
2019-08-14,1667.8496,1677.1494,1686.4492
2019-08-13,1668.0622,1677.3895,1686.7167
2019-08-09,1668.0552,1677.3565,1686.6578
2019-08-08,1666.8856,1677.0018,1687.1180
2019-08-07,1666.3646,1676.7107,1687.0567
2019-08-06,1665.3701,1675.7108,1686.0515
2019-08-05,1663.3382,1674.5589,1685.7797
2019-08-02,1660.8239,1673.3121,1685.8003
2019-08-01,1657.4158,1671.5193,1685.6229
2019-07-31,1651.2867,1669.8656,1688.4445
2019-07-30,1645.1223,1668.0514,1690.9804
2019-07-29,1639.3989,1666.1464,1692.8940
2019-07-26,1634.5228,1664.3520,1694.1811
2019-07-25,1630.0587,1662.5441,1695.0295
2019-07-24,1623.9703,1659.9118,1695.8532
2019-07-23,1620.6203,1657.7510,1694.8817
2019-07-22,1617.0412,1655.3796,1693.7179
2019-07-19,1614.1752,1652.9939,1691.8126
2019-07-18,1609.0452,1649.8029,1690.5605
2019-07-17,1605.6277,1646.9654,1688.3031
2019-07-16,1602.7501,1644.1895,1685.6290
2019-07-15,1441.5143,1667.9077,1894.3012
2019-07-12,1376.6834,1692.6138,2008.5442
2019-07-11,1337.5108,1718.3309,2099.1511
2019-07-10,1311.3860,1744.5847,2177.7833
2019-07-09,1299.0006,1770.4384,2241.8762
2019-07-08,1294.5320,1796.8780,2299.2241
2019-07-05,1296.9369,1823.7803,2350.6237
2019-07-04,1305.5805,1851.6556,2397.7308
2019-07-03,1322.8742,1878.9082,2434.9422
2019-07-02,1344.2299,1908.2319,2472.2339
2019-07-01,1372.0416,1937.8243,2503.6070
2019-06-28,1407.7355,1965.1763,2522.6171
2019-06-27,1449.1888,1992.7626,2536.3363
2019-06-26,1499.0764,2018.9188,2538.7613
2019-06-25,1553.8367,2045.0240,2536.2114
2019-06-24,1617.4775,2071.9517,2526.4259
2019-06-21,1690.3080,2096.9073,2503.5066
2019-06-20,1781.2453,2122.0151,2462.7848
2019-06-19,1897.8757,2148.1495,2398.4233
2019-06-18,2109.1737,2172.9825,2236.7914
2019-06-17,2103.2594,2171.1350,2239.0107
2019-06-14,2059.3222,2162.1725,2265.0229
2019-06-13,2009.2858,2150.0350,2290.7842
2019-06-12,1972.5873,2137.4175,2302.2477
2019-06-11,1946.7120,2126.4375,2306.1631
2019-06-10,1922.0955,2114.5050,2306.9145
2019-06-07,1897.0404,2101.2375,2305.4347
2019-06-06,1873.4927,2086.5700,2299.6473
2019-06-04,1855.8992,2073.7600,2291.6208
2019-06-03,1849.8463,2060.8525,2271.8588
2019-05-31,1847.7227,2047.8425,2247.9623
2019-05-30,1848.3728,2039.2325,2230.0923
2019-05-29,1852.0621,2030.8150,2209.5680
2019-05-28,1852.1201,2023.2450,2194.3700
2019-05-27,1853.0130,2014.2575,2175.5021
2019-05-24,1857.0696,2003.8550,2150.6405
