time,Real Lower Band,Real Middle Band,Real Upper Band
2020-06-05,759.4574,868.2950,977.1326
2020-06-04,758.8467,861.6650,964.4833
2020-06-03,758.8225,856.9975,955.1725
2020-06-02,764.8206,850.7950,936.7694
2020-06-01,771.8197,846.0625,920.3053
2020-05-29,776.1053,844.5225,912.9397
2020-05-28,784.1605,841.7400,899.3196
2020-05-27,788.5554,839.4375,890.3196
2020-05-26,788.5410,839.6875,890.8340
2020-05-22,789.9858,840.9275,891.8692
2020-05-21,792.5218,842.1625,891.8032
2020-05-20,794.9788,843.7750,892.5712
2020-05-19,795.5787,845.5550,895.5313
2020-05-18,797.9978,851.5350,905.0722
2020-05-15,796.1599,857.5200,918.8801
2020-05-14,794.1308,859.9100,925.6892
2020-05-13,794.1494,860.3150,926.4807
2020-05-12,794.2312,860.4250,926.6188
2020-05-11,793.7633,860.3025,926.8417
2020-05-08,791.2077,859.6100,928.0124
2020-05-07,788.3976,858.8900,929.3824
2020-05-06,778.4149,856.4975,934.5801
2020-05-05,767.7791,853.3525,938.9259
2020-05-04,764.1242,851.8375,939.5508
2020-04-30,758.6705,849.2850,939.8995
2020-04-29,758.2678,846.2625,934.2573
2020-04-28,757.5171,844.4250,931.3329
2020-04-27,746.8839,839.9025,932.9211
2020-04-24,723.6800,832.5400,941.4000
2020-04-23,707.9010,826.1950,944.4890
2020-04-22,708.0553,827.4000,946.7447
2020-04-21,707.9132,826.9300,945.9469
2020-04-20,706.2846,828.6000,950.9154
2020-04-17,701.6321,830.5575,959.4829
2020-04-16,696.9809,832.3350,967.6891
2020-04-15,676.3486,839.3775,1002.4064
2020-04-13,666.8423,846.0400,1025.2377
2020-04-09,643.9551,858.5975,1073.2399
2020-04-08,635.4840,872.9300,1110.3760
2020-04-07,624.6837,890.4950,1156.3063
2020-04-03,618.5050,909.5500,1200.5950
2020-04-01,623.3652,929.6925,1236.0197
2020-03-31,633.6754,950.0450,1266.4145
2020-03-30,645.3986,968.0525,1290.7064
2020-03-27,661.3213,987.2175,1313.1137
2020-03-26,673.8840,1005.8650,1337.8460
2020-03-25,690.1147,1024.4425,1358.7703
2020-03-24,723.1041,1048.2350,1373.3659
2020-03-23,778.3231,1075.7975,1373.2719
2020-03-20,840.9734,1103.6550,1366.3366
2020-03-19,875.1500,1124.4875,1373.8250
2020-03-18,923.8793,1146.6375,1369.3957
2020-03-17,965.4146,1165.4600,1365.5054
2020-03-16,999.7614,1182.4450,1365.1285
2020-03-13,1038.6277,1198.6175,1358.6073
2020-03-12,1060.2132,1210.8175,1361.4218
2020-03-11,1100.9084,1224.5075,1348.1066
2020-03-09,1117.1087,1232.9325,1348.7563
2020-03-06,1141.4499,1242.9250,1344.4001
2020-03-05,1152.1346,1250.8450,1349.5554
2020-03-04,1160.3773,1257.3000,1354.2227
2020-03-03,1172.2627,1262.9950,1353.7273
2020-03-02,1185.0765,1268.2400,1351.4035
2020-02-28,1197.7698,1278.3450,1358.9202
2020-02-27,1210.0007,1287.7575,1365.5143
2020-02-26,1219.3974,1295.5375,1371.6776
2020-02-25,1233.5465,1302.3150,1371.0835
2020-02-24,1241.8539,1307.6200,1373.3861
2020-02-20,1247.0041,1312.6325,1378.2609
2020-02-19,1250.7364,1315.2300,1379.7236
2020-02-18,1252.4934,1315.8725,1379.2516
2020-02-17,1254.4487,1316.6900,1378.9312
2020-02-14,1258.0316,1318.1450,1378.2583
2020-02-13,1259.1163,1318.6275,1378.1387
2020-02-12,1261.7130,1319.9725,1378.2320
2020-02-11,1264.0171,1321.3125,1378.6079
2020-02-10,1268.1673,1323.2650,1378.3626
2020-02-07,1273.2859,1325.7150,1378.1441
2020-02-06,1275.9979,1326.9750,1377.9521
2020-02-05,1275.8668,1326.9025,1377.9382
2020-02-04,1272.8876,1325.8775,1378.8674
2020-02-03,1276.6044,1327.3100,1378.0156
2020-01-31,1281.2852,1328.7900,1376.2948
2020-01-30,1283.1802,1327.0925,1371.0048
2020-01-29,1285.8355,1325.7800,1365.7245
2020-01-28,1286.9659,1323.0125,1359.0591
2020-01-27,1284.8750,1320.6100,1356.3450
2020-01-24,1284.0934,1318.2850,1352.4766
2020-01-23,1285.9921,1315.2775,1344.5629
2020-01-22,1280.5508,1312.6000,1344.6492
2020-01-21,1281.6134,1312.9700,1344.3266
2020-01-20,1282.3933,1313.4025,1344.4118
2020-01-17,1282.5693,1313.5350,1344.5007
2020-01-16,1283.2294,1313.9275,1344.6256
2020-01-15,1283.2311,1313.9325,1344.6340
2020-01-14,1283.2018,1313.6350,1344.0682
2020-01-13,1282.3149,1312.5050,1342.6951
2020-01-10,1282.4437,1311.0475,1339.6513
2020-01-09,1277.7067,1308.8050,1339.9033
2020-01-08,1269.6061,1306.1900,1342.7739
2020-01-07,1267.6353,1305.5775,1343.5197
2020-01-06,1264.1386,1303.4100,1342.6813
2020-01-03,1262.9102,1302.1100,1341.3098
2020-01-02,1264.2810,1300.4350,1336.5890
2020-01-01,1267.1042,1297.4450,1327.7858
2019-12-31,1266.9533,1297.6175,1328.2817
2019-12-30,1265.0383,1299.3025,1333.5667
2019-12-27,1263.8502,1300.7325,1337.6148
2019-12-26,1260.6118,1303.2425,1345.8732
2019-12-24,1262.7616,1306.0250,1349.2884
2019-12-23,1259.3147,1309.0875,1358.8603
2019-12-20,1253.9174,1312.5250,1371.1326
2019-12-19,1250.5504,1315.8400,1381.1296
2019-12-18,1246.4797,1319.8700,1393.2603
2019-12-17,1244.9254,1322.9450,1400.9646
2019-12-16,1245.2121,1325.3275,1405.4429
2019-12-13,1247.1075,1328.4850,1409.8625
2019-12-12,1248.7808,1332.1000,1415.4192
2019-12-11,1254.9861,1337.1925,1419.3989
