time,EMA
2020-06-05,315.2100
2020-06-04,313.4953
2020-06-03,312.5664
2020-06-02,311.2449
2020-06-01,309.9718
2020-05-29,308.7214
2020-05-28,307.7511
2020-05-27,306.6459
2020-05-26,305.4392
2020-05-22,304.2506
2020-05-21,302.7097
2020-05-20,301.2212
2020-05-19,299.3255
2020-05-18,297.8714
2020-05-15,296.0726
2020-05-14,294.8476
2020-05-13,293.3010
2020-05-12,291.7906
2020-05-11,289.7254
2020-05-08,287.0639
2020-05-07,284.6359
2020-05-06,282.6249
2020-05-05,280.7296
2020-05-04,278.9580
2020-05-01,277.4631
2020-04-30,276.2413
2020-04-29,274.3930
2020-04-28,272.9891
2020-04-27,272.4006
2020-04-24,271.2670
2020-04-23,270.0351
2020-04-22,269.5093
2020-04-21,268.8155
2020-04-20,268.8624
2020-04-17,268.0132
2020-04-16,266.4567
2020-04-15,264.3269
2020-04-14,262.2107
2020-04-13,259.5961
2020-04-09,258.1588
2020-04-08,257.1240
2020-04-07,256.1823
2020-04-06,255.8404
2020-04-03,255.1426
2020-04-02,256.5881
2020-04-01,257.8153
2020-03-31,259.5948
2020-03-30,260.1532
2020-03-27,260.7156
2020-03-26,262.0815
2020-03-25,262.4648
2020-03-24,264.2484
2020-03-23,266.0767
2020-03-20,270.4669
2020-03-19,274.8065
2020-03-18,277.9672
2020-03-17,281.2617
2020-03-16,284.2513
2020-03-13,288.6767
2020-03-12,289.8037
2020-03-11,294.1799
2020-03-10,296.1536
2020-03-09,297.2919
2020-03-06,300.5679
2020-03-05,301.7824
2020-03-04,302.7153
2020-03-03,302.7127
2020-03-02,304.1224
2020-02-28,304.6816
2020-02-27,307.9786
2020-02-26,311.6059
2020-02-25,313.6012
2020-02-24,316.2876
2020-02-21,318.1937
2020-02-20,318.7352
2020-02-19,318.5704
2020-02-18,318.0389
2020-02-14,317.9377
2020-02-13,317.1996
2020-02-12,316.3922
2020-02-11,315.2545
2020-02-10,314.7961
2020-02-07,314.0851
2020-02-06,313.4594
2020-02-05,312.2224
2020-02-04,311.2511
2020-02-03,310.4512
2020-01-31,310.6398
2020-01-30,310.7587
2020-01-29,309.3786
2020-01-28,307.8037
2020-01-27,306.7630
2020-01-24,306.5328
2020-01-23,305.2931
2020-01-22,303.8261
2020-01-21,302.3657
2020-01-17,300.8705
2020-01-16,298.9905
2020-01-15,297.2800
2020-01-14,295.8001
2020-01-13,294.0232
2020-01-10,291.6088
2020-01-09,289.6382
2020-01-08,287.5338
2020-01-07,285.8857
2020-01-06,284.5695
2020-01-03,282.9663
2020-01-02,281.4438
2019-12-31,279.4537
2019-12-30,277.9593
2019-12-27,276.5319
2019-12-26,275.1352
2019-12-24,273.5800
2019-12-23,272.4547
2019-12-20,271.2394
2019-12-19,270.3762
2019-12-18,269.3611
2019-12-17,268.2686
2019-12-16,266.9905
2019-12-13,265.6358
2019-12-12,264.6343
2019-12-11,263.9158
2019-12-10,263.1943
2019-12-09,262.6380
2019-12-06,262.1872
2019-12-05,261.2901
2019-12-04,260.8385
2019-12-03,260.7436
2019-12-02,260.8798
2019-11-29,260.5345
2019-11-27,259.8276
2019-11-26,258.9842
2019-11-25,258.4257
2019-11-22,257.5895
2019-11-21,257.1484
2019-11-20,256.6366
2019-11-19,255.9468
2019-11-18,254.8580
2019-11-15,253.5694
2019-11-14,252.2862
2019-11-13,251.1963
2019-11-12,249.7991
2019-11-11,248.5190
2019-11-08,247.0788
2019-11-07,245.7040
2019-11-06,244.2591
2019-11-05,242.8927
2019-11-04,241.3941
2019-11-01,239.6987
2019-10-31,238.0017
2019-10-30,236.8693
2019-10-29,236.1966
2019-10-28,235.4499
2019-10-25,234.0183
2019-10-24,232.6960
2019-10-23,231.5504
2019-10-22,230.3262
2019-10-21,229.3121
2019-10-18,228.1334
2019-10-17,227.2621
2019-10-16,226.4182
2019-10-15,225.5811
2019-10-14,224.5560
2019-10-11,223.3650
2019-10-10,222.0129
2019-10-09,221.1627
2019-10-08,220.5451
2019-10-07,220.1393
2019-10-04,219.4108
2019-10-03,218.6109
2019-10-02,218.3784
2019-10-01,218.3172
2019-09-30,217.6569
2019-09-27,216.9923
2019-09-26,216.7999
2019-09-25,216.4747
2019-09-24,215.9952
2019-09-23,215.8178
2019-09-20,215.5123
2019-09-19,215.2789
2019-09-18,214.6809
2019-09-17,213.8294
2019-09-16,213.1061
2019-09-13,212.3910
2019-09-12,211.7216
2019-09-11,210.5255
2019-09-10,209.1503
2019-09-09,208.3556
2019-09-06,207.7435
2019-09-05,207.1628
2019-09-04,206.5189
2019-09-03,206.2378
2019-08-30,206.2944
2019-08-29,206.0369
2019-08-28,205.7240
2019-08-27,205.7444
2019-08-26,205.9112
2019-08-23,205.8502
2019-08-22,206.1882
2019-08-21,205.5280
2019-08-20,204.7793
2019-08-19,204.1919
2019-08-16,203.5437
2019-08-15,203.2325
2019-08-14,203.3896
2019-08-13,203.4569
2019-08-12,202.8766
2019-08-09,203.1289
2019-08-08,203.3540
2019-08-07,203.3460
2019-08-06,203.7993
2019-08-05,204.5150
2019-08-02,205.6913
2019-08-01,205.8672
2019-07-31,205.5974
2019-07-30,204.8140
2019-07-29,204.3965
2019-07-26,203.8404
2019-07-25,203.4299
2019-07-24,203.0520
2019-07-23,202.4606
2019-07-22,201.7891
2019-07-19,201.2174
2019-07-18,201.0730
2019-07-17,200.5901
2019-07-16,200.2996
2019-07-15,199.8575
2019-07-12,199.2940
2019-07-11,198.8723
2019-07-10,198.5694
2019-07-09,198.0788
2019-07-08,197.7461
2019-07-05,197.5067
2019-07-03,196.7990
2019-07-02,195.9979
2019-07-01,195.2892
2019-06-28,194.6302
2019-06-27,194.2839
2019-06-26,193.7096
2019-06-25,193.0685
2019-06-24,192.8052
2019-06-21,192.1973
2019-06-20,191.5044
2019-06-19,190.6669
2019-06-18,189.9087
2019-06-17,189.0096
2019-06-14,188.4959
2019-06-13,188.0491
2019-06-12,187.4069
2019-06-11,186.6929
2019-06-10,185.8385
2019-06-07,185.1289
2019-06-06,184.6003
2019-06-05,184.5351
2019-06-04,184.7451
2019-06-03,185.2825
2019-05-31,186.5438
2019-05-30,187.7516
2019-05-29,188.7465
2019-05-28,189.9430
2019-05-24,191.1759
2019-05-23,192.4608
2019-05-22,193.8082
2019-05-21,194.9691
2019-05-20,195.8500
2019-05-17,197.1932
2019-05-16,198.0556
2019-05-15,198.8952
2019-05-14,199.7346
2019-05-13,200.9004
2019-05-10,202.4983
2019-05-09,203.0582
2019-05-08,203.3043
2019-05-07,203.3468
2019-05-06,203.3981
2019-05-03,202.8631
2019-05-02,201.9277
2019-05-01,201.1674
2019-04-30,200.1829
2019-04-29,200.1317
2019-04-26,199.6603
2019-04-25,199.1719
2019-04-24,198.5289
2019-04-23,197.6204
2019-04-22,196.5825
2019-04-18,195.7460
2019-04-17,194.8919
2019-04-16,194.0247
2019-04-15,193.4747
2019-04-12,192.8688
2019-04-11,192.2371
2019-04-10,191.5305
2019-04-09,190.5737
2019-04-08,189.6341
2019-04-05,188.5324
2019-04-04,187.6411
2019-04-03,186.7939
2019-04-02,185.8932
2019-04-01,185.0378
2019-03-29,184.3849
2019-03-28,183.7991
2019-03-27,183.2811
2019-03-26,182.7349
2019-03-25,182.3080
2019-03-22,181.6310
2019-03-21,180.6395
2019-03-20,179.1184
2019-03-19,178.1667
2019-03-18,177.2863
2019-03-15,176.1565
2019-03-14,175.1077
2019-03-13,174.2001
2019-03-12,173.4095
2019-03-11,172.6200
2019-03-08,171.9590
2019-03-07,171.8589
2019-03-06,171.7914
2019-03-05,171.5042
2019-03-04,171.0804
2019-03-01,170.5783
2019-02-28,170.1160
2019-02-27,169.7967
2019-02-26,169.2626
2019-02-25,168.7292
2019-02-22,168.1502
2019-02-21,167.6429
2019-02-20,167.2832
2019-02-19,166.7835
2019-02-15,166.3470
2019-02-14,165.9183
2019-02-13,165.4044
2019-02-12,164.9017
2019-02-11,164.2714
2019-02-08,163.7284
2019-02-07,163.0250
2019-02-06,162.1919
2019-02-05,160.9237
2019-02-04,159.5283
2019-02-01,158.2944
2019-01-31,157.4285
2019-01-30,156.4800
2019-01-29,155.5568
2019-01-28,155.6491
2019-01-25,155.5806
2019-01-24,155.3512
2019-01-23,155.6302
2019-01-22,155.8102
2019-01-18,156.0745
2019-01-17,155.9960
2019-01-16,156.0103
2019-01-15,156.1230
2019-01-14,156.4444
2019-01-11,157.1227
2019-01-10,157.6314
2019-01-09,158.0347
2019-01-08,158.5321
2019-01-07,159.3512
2019-01-04,160.5535
2019-01-03,161.8475
2019-01-02,163.9167
2018-12-31,164.5480
2018-12-28,165.2646
2018-12-27,166.2156
2018-12-26,167.2751
2018-12-24,168.3388
2018-12-21,170.6029
2018-12-20,172.6948
2018-12-19,174.3648
2018-12-18,175.7832
2018-12-17,176.8056
2018-12-14,178.1599
2018-12-13,179.4946
2018-12-12,180.3941
2018-12-11,181.5829
2018-12-10,182.9464
2018-12-07,184.3513
2018-12-06,186.0209
2018-12-04,187.2105
2018-12-03,188.3179
2018-11-30,188.6861
2018-11-29,189.7499
2018-11-28,190.8235
2018-11-27,191.8639
2018-11-26,193.7191
2018-11-23,195.7295
2018-11-21,198.1968
2018-11-20,200.4512
2018-11-19,202.9219
2018-11-16,204.7179
2018-11-15,205.8955
2018-11-14,207.4203
2018-11-13,209.5909
2018-11-12,211.4183
2018-11-09,213.2340
2018-11-08,214.1565
2018-11-07,214.7530
2018-11-06,215.2585
2018-11-05,216.4678
2018-11-02,218.0339
2018-11-01,219.1449
2018-10-31,218.8212
2018-10-30,218.8171
2018-10-29,219.3978
2018-10-26,220.1513
2018-10-25,220.5567
2018-10-24,220.6363
2018-10-23,221.2202
2018-10-22,221.0612
2018-10-19,221.1045
2018-10-18,221.2934
2018-10-17,221.8485
2018-10-16,221.9178
2018-10-15,221.8934
2018-10-12,222.3706
2018-10-11,222.3980
2018-10-10,223.2347
2018-10-09,223.9583
2018-10-08,223.6518
2018-10-05,223.6394
2018-10-04,223.5709
2018-10-03,223.1057
2018-10-02,222.1621
2018-10-01,221.4128
2018-09-28,220.7974
2018-09-27,220.2771
2018-09-26,219.7852
2018-09-25,219.7184
2018-09-24,219.4582
2018-09-21,219.3180
2018-09-20,219.4925
2018-09-19,219.4360
2018-09-18,219.5482
2018-09-17,219.6859
2018-09-14,219.8760
2018-09-13,219.4587
2018-09-12,218.7270
2018-09-11,218.4803
2018-09-10,217.9151
2018-09-07,217.8714
2018-09-06,217.5105
2018-09-05,216.9222
2018-09-04,215.8750
2018-08-31,214.5608
2018-08-30,213.1851
2018-08-29,211.9383
2018-08-28,210.7760
2018-08-27,209.8367
2018-08-24,208.9837
2018-08-23,208.2283
2018-08-22,207.4639
2018-08-21,206.6653
2018-08-20,205.7838
2018-08-17,204.7652
2018-08-16,203.4163
2018-08-15,202.3738
2018-08-14,201.5458
2018-08-13,200.6822
2018-08-10,199.8204
2018-08-09,199.0088
2018-08-08,197.9697
