time,EMA
2020-04-07,2903.8806
2020-04-03,2972.3785
2020-04-01,3052.9078
2020-03-31,3140.5718
2020-03-30,3237.8899
2020-03-27,3342.6941
2020-03-26,3426.5093
2020-03-25,3493.0523
2020-03-24,3588.5421
2020-03-23,3704.6202
2020-03-20,3856.2170
2020-03-19,3950.2715
2020-03-18,4076.7579
2020-03-17,4183.5588
2020-03-16,4261.3176
2020-03-13,4323.0300
2020-03-12,4385.0015
2020-03-11,4453.4964
2020-03-09,4498.0434
2020-03-06,4526.6164
2020-03-05,4558.1971
2020-03-04,4581.6283
2020-03-03,4612.6366
2020-03-02,4629.1247
2020-02-28,4657.1115
2020-02-27,4677.5337
2020-02-26,4668.8530
2020-02-25,4654.0218
2020-02-24,4635.9662
2020-02-20,4618.3468
2020-02-19,4590.7307
2020-02-18,4560.5971
2020-02-17,4540.3389
2020-02-14,4515.5430
2020-02-13,4487.3633
2020-02-12,4454.8963
2020-02-11,4421.7749
2020-02-10,4387.3091
2020-02-07,4352.2575
2020-02-06,4320.9109
2020-02-05,4284.4594
2020-02-04,4258.8709
2020-02-03,4231.5889
2020-01-31,4217.8562
2020-01-30,4202.3411
2020-01-29,4185.4770
2020-01-28,4160.6062
2020-01-27,4155.0858
2020-01-24,4153.9895
2020-01-23,4149.8884
2020-01-22,4151.9925
2020-01-21,4153.1917
2020-01-20,4154.8540
2020-01-17,4155.2807
2020-01-16,4147.3629
2020-01-15,4139.6853
2020-01-14,4132.6838
2020-01-13,4126.2820
2020-01-10,4122.1854
2020-01-09,4119.8733
2020-01-08,4119.6916
2020-01-07,4127.0591
2020-01-06,4139.6548
2020-01-03,4154.5448
2020-01-02,4150.5495
2020-01-01,4140.2600
2019-12-31,4130.7663
2019-12-30,4119.7838
2019-12-27,4107.3558
2019-12-26,4092.0564
2019-12-24,4081.8360
2019-12-23,4075.8872
2019-12-20,4067.1490
2019-12-19,4060.0279
2019-12-18,4056.7571
2019-12-17,4050.1631
2019-12-16,4041.2118
2019-12-13,4041.4815
2019-12-12,4038.4112
2019-12-11,4036.5439
2019-12-10,4036.7117
2019-12-09,4041.9077
2019-12-06,4052.0611
2019-12-05,4062.7570
2019-12-04,4070.6893
2019-12-03,4079.1146
2019-12-02,4090.8792
2019-11-29,4105.7718
2019-11-28,4109.1951
2019-11-27,4109.9262
2019-11-26,4109.0342
2019-11-25,4110.0799
2019-11-22,4106.6989
2019-11-21,4109.6777
2019-11-20,4108.2701
2019-11-19,4105.1985
2019-11-18,4101.8405
2019-11-15,4096.4973
2019-11-14,4086.8813
2019-11-13,4073.7161
2019-11-11,4066.3494
2019-11-08,4055.5493
2019-11-07,4044.4966
2019-11-06,4025.2594
2019-11-05,4008.3498
2019-11-04,3985.0393
2019-11-01,3971.2592
2019-10-31,3960.8918
2019-10-30,3954.1541
2019-10-29,3950.2229
2019-10-27,3940.2622
2019-10-25,3935.9740
2019-10-24,3930.7186
2019-10-23,3920.8732
2019-10-22,3908.5809
2019-10-18,3895.5947
2019-10-17,3870.0731
2019-10-16,3845.3229
2019-10-15,3827.0674
2019-10-14,3821.4640
2019-10-11,3815.1286
2019-10-10,3798.2264
2019-10-09,3782.4134
2019-10-07,3756.8411
2019-10-04,3741.2665
2019-10-03,3724.2577
2019-10-01,3699.4322
2019-09-30,3668.5513
2019-09-27,3628.3831
2019-09-26,3582.3865
2019-09-25,3538.3430
2019-09-24,3496.8160
2019-09-23,3447.8229
2019-09-20,3386.7674
2019-09-19,3353.2061
2019-09-18,3352.1909
2019-09-17,3345.5742
2019-09-16,3343.4609
2019-09-13,3335.5778
2019-09-12,3326.0650
2019-09-11,3320.0929
2019-09-09,3309.8605
2019-09-06,3296.4932
2019-09-05,3288.6030
2019-09-04,3288.3086
2019-09-03,3292.3359
2019-08-30,3295.7028
2019-08-29,3291.9241
2019-08-28,3291.1319
2019-08-27,3287.4142
2019-08-26,3280.0262
2019-08-23,3275.4658
2019-08-22,3286.0043
2019-08-21,3303.7100
2019-08-20,3308.2269
2019-08-19,3309.6508
2019-08-16,3307.7561
2019-08-14,3304.5989
2019-08-13,3306.2566
2019-08-09,3315.0837
2019-08-08,3304.2451
2019-08-07,3300.9078
2019-08-06,3304.5875
2019-08-05,3308.3967
2019-08-02,3323.9385
2019-08-01,3332.8162
2019-07-31,3344.5232
2019-07-30,3354.3783
2019-07-29,3365.3549
2019-07-26,3377.2660
2019-07-25,3388.9940
2019-07-24,3425.0565
2019-07-23,3451.7361
2019-07-22,3470.2926
2019-07-19,3493.6339
2019-07-18,3511.6953
2019-07-17,3516.4685
2019-07-16,3522.2494
2019-07-15,3529.9809
2019-07-12,3542.3736
2019-07-11,3559.7024
2019-07-10,3571.3185
2019-07-09,3586.5573
2019-07-08,3584.7896
2019-07-05,3602.6885
2019-07-04,3590.4452
2019-07-03,3575.6394
2019-07-02,3561.0804
2019-07-01,3545.1573
2019-06-28,3529.0686
2019-06-27,3512.9389
2019-06-26,3499.5483
2019-06-25,3486.0692
2019-06-24,3476.0554
2019-06-21,3468.7244
2019-06-20,3458.4480
2019-06-19,3445.3952
2019-06-18,3437.0473
2019-06-17,3429.5628
2019-06-14,3425.6694
2019-06-13,3415.7609
2019-06-12,3402.3831
2019-06-11,3391.0445
2019-06-10,3374.5755
2019-06-07,3359.1729
2019-06-06,3343.1490
2019-06-04,3331.5963
2019-06-03,3310.4433
2019-05-31,3289.3584
2019-05-30,3270.3750
2019-05-29,3248.2303
2019-05-28,3231.1756
2019-05-27,3212.1046
2019-05-24,3187.3261
2019-05-23,3157.9763
2019-05-22,3134.8212
2019-05-21,3101.8865
2019-05-20,3067.0693
2019-05-17,3031.3188
2019-05-16,3002.9102
2019-05-15,2991.4481
2019-05-14,2990.2795
2019-05-13,3001.4615
2019-05-10,3009.1364
2019-05-09,3018.3666
2019-05-08,3023.4736
2019-05-07,3034.1656
2019-05-06,3035.7356
2019-05-03,3035.6236
2019-05-02,3027.8734
2019-04-30,3017.2127
2019-04-26,3009.1036
2019-04-25,3000.4408
2019-04-24,2992.0082
2019-04-23,2981.4828
2019-04-22,2975.7968
2019-04-18,2974.1490
2019-04-16,2969.9753
2019-04-15,2963.5095
2019-04-12,2957.2947
2019-04-11,2952.0520
2019-04-10,2941.8680
2019-04-09,2935.5384
2019-04-08,2927.2582
2019-04-05,2916.5696
2019-04-04,2896.3611
2019-04-03,2881.0623
2019-04-02,2864.1109
2019-04-01,2844.5752
2019-03-28,2828.0516
2019-03-27,2811.0412
2019-03-26,2797.1877
2019-03-25,2783.1653
2019-03-22,2775.8301
2019-03-20,2769.4069
2019-03-19,2758.5814
2019-03-18,2741.4163
2019-03-15,2721.9811
2019-03-14,2707.4844
2019-03-13,2696.8249
2019-03-12,2683.2064
2019-03-11,2675.7808
2019-03-08,2663.7472
2019-03-07,2652.9153
2019-03-06,2644.1906
2019-03-05,2631.5580
2019-03-01,2624.9642
2019-02-28,2620.9183
2019-02-27,2618.1308
2019-02-26,2615.6814
2019-02-25,2611.7794
2019-02-22,2606.7246
2019-02-21,2603.1114
2019-02-20,2597.8547
2019-02-19,2597.5394
2019-02-18,2601.5646
2019-02-15,2607.4188
2019-02-14,2612.6734
2019-02-12,2613.2548
2019-02-11,2612.1658
2019-02-08,2607.9201
2019-02-07,2597.7696
2019-02-06,2587.2506
2019-02-05,2574.5770
2019-02-04,2571.6746
2019-02-01,2569.3193
2019-01-31,2563.1897
2019-01-30,2562.4360
2019-01-29,2558.8661
2019-01-28,2563.8099
2019-01-25,2575.1373
2019-01-24,2572.9043
2019-01-23,2566.7364
2019-01-22,2559.7560
2019-01-21,2553.7671
2019-01-18,2550.0690
2019-01-17,2551.0394
2019-01-16,2552.6646
2019-01-15,2550.5292
2019-01-14,2545.4007
2019-01-11,2545.8903
2019-01-10,2549.5630
2019-01-09,2553.1117
2019-01-08,2556.0603
2019-01-07,2558.2719
2019-01-04,2558.8637
2019-01-03,2556.7177
2019-01-02,2553.4301
2019-01-01,2546.7912
2018-12-31,2535.2745
2018-12-28,2524.1297
2018-12-27,2512.8118
2018-12-26,2505.5499
2018-12-24,2498.8288
2018-12-21,2491.8634
2018-12-20,2480.3385
2018-12-19,2468.6373
2018-12-18,2454.9044
2018-12-17,2446.9680
2018-12-14,2443.7067
2018-12-13,2439.0443
2018-12-12,2433.7226
2018-12-11,2427.3302
2018-12-10,2426.9071
2018-12-07,2429.9763
2018-12-06,2423.8580
2018-12-05,2423.0641
2018-12-04,2415.4550
2018-12-03,2402.4240
2018-11-30,2391.4107
2018-11-29,2376.9908
2018-11-28,2363.4424
2018-11-27,2358.4153
2018-11-26,2350.7485
2018-11-22,2346.3326
2018-11-21,2342.9729
2018-11-20,2333.8279
2018-11-19,2328.8624
2018-11-16,2325.5164
2018-11-15,2317.9760
2018-11-14,2315.7208
2018-11-13,2318.1441
2018-11-12,2321.6329
2018-11-09,2326.0364
2018-11-07,2320.7876
2018-11-06,2317.8073
2018-11-05,2315.6818
2018-11-02,2311.0220
2018-11-01,2303.4138
2018-10-31,2291.3573
2018-10-30,2282.5844
2018-10-29,2274.6144
2018-10-26,2263.3632
2018-10-25,2255.5067
2018-10-24,2247.3759
2018-10-23,2240.5102
2018-10-22,2256.9902
2018-10-19,2271.5734
2018-10-17,2285.3443
2018-10-16,2299.4279
2018-10-15,2298.5729
2018-10-12,2297.7121
2018-10-11,2298.5766
2018-10-10,2312.7741
2018-10-09,2317.6924
2018-10-08,2344.6285
2018-10-05,2383.6630
2018-10-04,2420.0381
2018-10-03,2445.8263
2018-10-01,2468.5607
2018-09-28,2495.9197
2018-09-27,2530.5007
2018-09-26,2564.8639
2018-09-25,2591.0022
2018-09-24,2621.4078
2018-09-21,2659.5191
2018-09-19,2688.4579
2018-09-18,2708.4009
2018-09-17,2722.9431
2018-09-14,2735.2581
2018-09-12,2742.2484
2018-09-11,2757.8799
2018-09-10,2774.3514
2018-09-07,2790.9358
2018-09-06,2796.2922
2018-09-05,2808.2598
2018-09-04,2817.6135
2018-09-03,2824.6307
2018-08-31,2834.8549
2018-08-30,2832.2976
2018-08-29,2821.9026
2018-08-28,2804.8344
2018-08-27,2791.1433
2018-08-24,2774.1847
2018-08-23,2759.6042
2018-08-21,2745.5888
2018-08-20,2732.3456
2018-08-17,2721.1188
2018-08-16,2707.2523
2018-08-14,2691.4894
2018-08-13,2677.0462
2018-08-10,2668.1669
2018-08-09,2653.5739
2018-08-08,2635.1764
2018-08-07,2616.6739
2018-08-06,2603.0080
2018-08-03,2593.5720
2018-08-02,2584.4691
2018-08-01,2574.0605
2018-07-31,2558.4301
2018-07-30,2543.6806
2018-07-27,2529.4733
2018-07-26,2510.6389
2018-07-25,2492.4377
2018-07-24,2470.2786
2018-07-23,2444.7395
2018-07-20,2411.5805
2018-07-19,2378.9574
2018-07-18,2364.3634
2018-07-17,2351.3437
2018-07-16,2338.6378
2018-07-13,2324.4576
2018-07-12,2310.1531
2018-07-11,2299.1903
2018-07-10,2293.2945
2018-07-09,2285.6097
