time,EMA
2020-04-24,1680.4092
2020-04-23,1691.0470
2020-04-22,1694.0520
2020-04-21,1697.3048
2020-04-20,1700.2527
2020-04-17,1697.3003
2020-04-16,1699.0793
2020-04-15,1706.6087
2020-04-13,1718.3833
2020-04-09,1725.1131
2020-04-08,1727.5513
2020-04-07,1745.4672
2020-04-03,1765.4954
2020-04-01,1793.5054
2020-03-31,1815.5165
2020-03-30,1834.9972
2020-03-27,1863.6706
2020-03-26,1875.2043
2020-03-25,1888.3943
2020-03-24,1914.1673
2020-03-23,1957.5744
2020-03-20,2002.7665
2020-03-19,2028.9629
2020-03-18,2071.8854
2020-03-17,2119.0680
2020-03-16,2157.4120
2020-03-13,2190.5922
2020-03-12,2203.4440
2020-03-11,2238.0276
2020-03-09,2259.2990
2020-03-06,2275.0620
2020-03-05,2292.4843
2020-03-04,2302.7353
2020-03-03,2313.0653
2020-03-02,2325.6406
2020-02-28,2340.6870
2020-02-27,2357.9488
2020-02-26,2366.8223
2020-02-25,2375.8510
2020-02-24,2383.4616
2020-02-20,2392.9997
2020-02-19,2395.3260
2020-02-18,2397.2129
2020-02-17,2405.0090
2020-02-14,2410.8574
2020-02-13,2411.9213
2020-02-12,2412.8393
2020-02-11,2410.3435
2020-02-10,2407.6901
2020-02-07,2406.9628
2020-02-06,2407.0641
2020-02-05,2404.0709
2020-02-04,2405.3994
2020-02-03,2411.6835
2020-01-31,2427.5660
2020-01-30,2429.1625
2020-01-29,2430.5638
2020-01-28,2433.3968
2020-01-27,2433.5017
2020-01-24,2437.4703
2020-01-23,2436.0567
2020-01-22,2437.0995
2020-01-21,2439.2047
2020-01-20,2436.5420
2020-01-17,2434.5675
2020-01-16,2432.5273
2020-01-15,2427.2986
2020-01-14,2421.1300
2020-01-13,2413.5963
2020-01-10,2408.3012
2020-01-09,2403.0540
2020-01-08,2397.3649
2020-01-07,2396.4507
2020-01-06,2394.7034
2020-01-03,2395.7827
2020-01-02,2389.5756
2020-01-01,2381.5099
2019-12-31,2376.0109
2019-12-30,2372.0700
2019-12-27,2365.1826
2019-12-26,2356.8334
2019-12-24,2350.7843
2019-12-23,2344.4247
2019-12-20,2336.2221
2019-12-19,2329.0086
2019-12-18,2320.2464
2019-12-17,2306.9197
2019-12-16,2293.8796
2019-12-13,2285.6143
2019-12-12,2278.5316
2019-12-11,2274.3350
2019-12-10,2269.8650
2019-12-09,2267.2507
2019-12-06,2262.6877
2019-12-05,2262.5495
2019-12-04,2255.9284
2019-12-03,2248.9788
2019-12-02,2241.4608
2019-11-29,2234.6198
2019-11-28,2228.1640
2019-11-27,2219.5655
2019-11-26,2207.2776
2019-11-25,2197.1121
2019-11-22,2186.9291
2019-11-21,2181.7269
