time,EMA
2020-06-05,889.7610
2020-06-04,882.8621
2020-06-03,877.7950
2020-06-02,869.0155
2020-06-01,860.9750
2020-05-29,853.9040
2020-05-28,845.6518
2020-05-27,839.6098
2020-05-26,838.4582
2020-05-22,839.7907
2020-05-21,842.3002
2020-05-20,844.6055
2020-05-19,845.6114
2020-05-18,850.7862
2020-05-15,854.7164
2020-05-14,853.7181
2020-05-13,851.8147
2020-05-12,850.5847
2020-05-11,854.3515
2020-05-08,857.8096
2020-05-07,862.2053
2020-05-06,866.3638
2020-05-05,869.3863
2020-05-04,872.7796
2020-04-30,875.0985
2020-04-29,872.7562
2020-04-28,872.3463
2020-04-27,873.9617
2020-04-24,875.8998
2020-04-23,878.5630
2020-04-22,882.5538
2020-04-21,885.7016
2020-04-20,887.2859
2020-04-17,884.2581
2020-04-16,879.1116
2020-04-15,875.6497
2020-04-13,875.2023
2020-04-09,876.2025
2020-04-08,882.9238
2020-04-07,890.8474
2020-04-03,900.2366
2020-04-01,913.4352
2020-03-31,928.0336
2020-03-30,940.7898
2020-03-27,955.6413
2020-03-26,968.1404
2020-03-25,981.6394
2020-03-24,1004.2804
2020-03-23,1035.4363
2020-03-20,1068.2506
2020-03-19,1089.6717
2020-03-18,1115.6108
2020-03-17,1137.8804
2020-03-16,1157.1099
2020-03-13,1176.9425
2020-03-12,1190.0049
2020-03-11,1208.6212
2020-03-09,1218.2813
2020-03-06,1230.8373
2020-03-05,1238.4044
2020-03-04,1244.2627
2020-03-03,1251.2693
2020-03-02,1258.5819
2020-02-28,1268.2221
2020-02-27,1277.1928
2020-02-26,1284.2815
2020-02-25,1291.9480
2020-02-24,1297.1636
2020-02-20,1301.1229
2020-02-19,1303.2569
2020-02-18,1305.5577
2020-02-17,1307.5900
2020-02-14,1310.4416
2020-02-13,1312.0776
2020-02-12,1314.1752
2020-02-11,1315.9989
2020-02-10,1319.0567
2020-02-07,1322.6048
2020-02-06,1325.1053
2020-02-05,1325.9217
2020-02-04,1327.4029
2020-02-03,1331.1716
2020-01-31,1335.8528
2020-01-30,1332.3531
2020-01-29,1328.2587
2020-01-28,1324.3439
2020-01-27,1321.9590
2020-01-24,1319.1652
2020-01-23,1314.8879
2020-01-22,1313.0024
2020-01-21,1314.9763
2020-01-20,1316.2791
2020-01-17,1316.9822
2020-01-16,1318.2908
2020-01-15,1318.2109
2020-01-14,1317.6384
2020-01-13,1316.7582
2020-01-10,1314.9064
2020-01-09,1313.9439
2020-01-08,1313.7380
2020-01-07,1316.0947
2020-01-06,1315.6573
2020-01-03,1315.5896
2020-01-02,1313.5306
2020-01-01,1310.2180
2019-12-31,1310.2305
2019-12-30,1311.4179
2019-12-27,1312.4092
2019-12-26,1313.7523
2019-12-24,1317.3841
2019-12-23,1319.0403
2019-12-20,1319.8604
2019-12-19,1320.6615
2019-12-18,1321.5311
2019-12-17,1321.7817
2019-12-16,1322.2114
2019-12-13,1324.1915
2019-12-12,1326.1907
2019-12-11,1331.1371
2019-12-10,1338.2462
2019-12-09,1344.4721
2019-12-06,1351.5850
2019-12-05,1358.0360
2019-12-04,1363.9714
2019-12-03,1372.2631
2019-12-02,1378.4435
2019-11-29,1383.2638
2019-11-28,1388.8074
2019-11-27,1392.9082
2019-11-26,1399.0143
2019-11-25,1402.8158
2019-11-22,1405.2175
2019-11-21,1408.0246
2019-11-20,1409.6061
2019-11-19,1412.6541
2019-11-18,1417.6335
2019-11-15,1423.0107
2019-11-14,1427.8013
2019-11-13,1432.7225
2019-11-11,1436.9090
2019-11-08,1439.0153
2019-11-07,1440.6958
2019-11-06,1441.2533
2019-11-05,1440.0326
2019-11-04,1440.0833
2019-11-01,1438.7921
2019-10-31,1437.3808
2019-10-30,1433.5893
2019-10-29,1429.2671
2019-10-25,1425.9741
2019-10-24,1426.1083
2019-10-23,1425.4986
2019-10-22,1424.9248
2019-10-18,1423.1379
2019-10-17,1420.5156
2019-10-16,1420.1225
2019-10-15,1419.6301
2019-10-14,1418.2070
2019-10-11,1417.7393
2019-10-10,1416.7171
2019-10-09,1415.8084
2019-10-07,1414.6566
2019-10-04,1416.4784
2019-10-03,1415.6708
2019-10-01,1411.1783
2019-09-30,1405.7129
2019-09-27,1398.2511
2019-09-26,1390.3670
2019-09-25,1379.8582
2019-09-24,1372.4696
2019-09-23,1361.0138
2019-09-20,1343.4731
2019-09-19,1336.1703
2019-09-18,1339.9145
2019-09-17,1342.1792
2019-09-16,1345.1455
2019-09-13,1345.4081
2019-09-12,1343.5090
2019-09-11,1341.5099
2019-09-09,1339.2478
2019-09-06,1337.3423
2019-09-05,1338.2836
2019-09-04,1340.1609
2019-09-03,1343.3410
2019-08-30,1348.5295
2019-08-29,1350.6799
2019-08-28,1351.5042
2019-08-27,1352.2151
2019-08-26,1351.6483
2019-08-23,1353.5323
2019-08-22,1360.5357
2019-08-21,1367.5290
2019-08-20,1373.5531
2019-08-19,1376.8113
2019-08-16,1379.4019
2019-08-14,1384.0916
2019-08-13,1389.3592
2019-08-09,1397.3180
2019-08-08,1400.7515
2019-08-07,1405.0096
2019-08-06,1409.7264
2019-08-05,1412.9397
2019-08-02,1420.0175
2019-08-01,1425.2825
2019-07-31,1432.3702
2019-07-30,1437.1302
2019-07-29,1443.5176
2019-07-26,1451.0984
2019-07-25,1457.3350
2019-07-24,1466.2177
2019-07-23,1474.5406
2019-07-22,1481.3343
2019-07-19,1489.4958
2019-07-18,1497.6901
2019-07-17,1504.4365
2019-07-16,1509.6140
2019-07-15,1514.6786
2019-07-12,1522.5132
2019-07-11,1528.3251
2019-07-10,1531.8330
2019-07-09,1535.2734
2019-07-08,1536.1864
2019-07-05,1541.0270
2019-07-04,1539.3351
2019-07-03,1535.9178
2019-07-02,1531.4986
2019-07-01,1528.1406
2019-06-28,1525.1290
2019-06-27,1522.1900
2019-06-26,1519.1889
2019-06-25,1515.8562
2019-06-24,1513.8358
2019-06-21,1510.9395
2019-06-20,1507.8806
2019-06-19,1502.7996
2019-06-18,1502.5153
2019-06-17,1502.2590
2019-06-14,1502.6021
2019-06-13,1499.8075
2019-06-12,1498.0031
2019-06-11,1496.8245
2019-06-10,1493.8902
2019-06-07,1489.8576
2019-06-06,1487.3952
2019-06-04,1484.3316
2019-06-03,1475.3139
2019-05-31,1466.4732
2019-05-30,1456.8441
2019-05-29,1446.1698
2019-05-28,1434.9876
2019-05-27,1420.3916
2019-05-24,1402.2644
2019-05-23,1387.3817
2019-05-22,1378.0850
2019-05-21,1369.4045
2019-05-20,1361.1103
2019-05-17,1351.6429
2019-05-16,1350.5632
2019-05-15,1352.0015
2019-05-14,1354.7490
