time,MACD,MACD_Hist,MACD_Signal
2020-06-05,9.2581,-0.1500,9.4080
2020-06-04,8.8872,-0.5583,9.4455
2020-06-03,9.2193,-0.3658,9.5851
2020-06-02,9.2240,-0.4526,9.6766
2020-06-01,9.2770,-0.5127,9.7897
2020-05-29,9.3614,-0.5565,9.9179
2020-05-28,9.7311,-0.3258,10.0570
2020-05-27,10.0299,-0.1085,10.1385
2020-05-26,10.2797,0.1141,10.1656
2020-05-22,10.5894,0.4523,10.1371
2020-05-21,10.6108,0.5868,10.0240
2020-05-20,10.6915,0.8142,9.8773
2020-05-19,10.3966,0.7229,9.6737
2020-05-18,10.4891,0.9960,9.4930
2020-05-15,10.2692,1.0252,9.2440
2020-05-14,10.5774,1.5897,8.9877
2020-05-13,10.6306,2.0403,8.5903
2020-05-12,10.7363,2.6561,8.0802
2020-05-11,10.3322,2.9161,7.4162
2020-05-08,9.2997,2.6125,6.6872
2020-05-07,8.3433,2.3093,6.0340
2020-05-06,7.6519,2.1952,5.4567
2020-05-05,6.9748,2.0670,4.9079
2020-05-04,6.3218,1.9306,4.3911
2020-05-01,5.8442,1.9357,3.9085
2020-04-30,5.5661,2.1416,3.4246
2020-04-29,4.6486,1.7595,2.8892
2020-04-28,4.0280,1.5787,2.4493
2020-04-27,4.1089,2.0543,2.0546
2020-04-24,3.6850,2.1440,1.5411
2020-04-23,3.1108,2.1057,1.0051
2020-04-22,3.1410,2.6624,0.4786
2020-04-21,3.0250,3.2120,-0.1870
2020-04-20,3.6200,4.6099,-0.9899
2020-04-17,3.4551,5.5975,-2.1424
2020-04-16,2.5968,6.1386,-3.5418
2020-04-15,1.0674,6.1439,-5.0765
2020-04-14,-0.6700,5.9424,-6.6124
2020-04-13,-3.1446,4.9534,-8.0980
2020-04-09,-4.8523,4.4840,-9.3364
2020-04-08,-6.4259,4.0315,-10.4574
2020-04-07,-8.1453,3.3200,-11.4653
2020-04-06,-9.5453,2.7500,-12.2953
2020-04-03,-11.5030,1.4798,-12.9828
2020-04-02,-11.6900,1.6627,-13.3527
2020-04-01,-12.1172,1.6512,-13.7684
2020-03-31,-12.0768,2.1044,-14.1812
2020-03-30,-13.2119,1.4954,-14.7073
2020-03-27,-14.5215,0.5596,-15.0811
2020-03-26,-15.2619,-0.0409,-15.2210
2020-03-25,-17.0745,-1.8637,-15.2108
2020-03-24,-17.8241,-3.0792,-14.7449
2020-03-23,-18.6601,-4.6850,-13.9751
2020-03-20,-17.1638,-4.3599,-12.8038
2020-03-19,-15.5001,-3.7863,-11.7138
2020-03-18,-14.7335,-3.9662,-10.7673
2020-03-17,-13.7331,-3.9574,-9.7757
2020-03-16,-12.8868,-4.1005,-8.7864
2020-03-13,-10.5348,-2.7736,-7.7612
2020-03-12,-11.0206,-3.9527,-7.0678
2020-03-11,-8.4522,-2.3725,-6.0797
2020-03-10,-7.8205,-2.3340,-5.4865
2020-03-09,-7.9096,-3.0065,-4.9030
2020-03-06,-5.9563,-1.8049,-4.1514
2020-03-05,-5.7042,-2.0040,-3.7002
2020-03-04,-5.6955,-2.4963,-3.1992
2020-03-03,-6.6013,-4.0262,-2.5751
2020-03-02,-6.2952,-4.7266,-1.5686
2020-02-28,-6.7791,-6.3922,-0.3869
2020-02-27,-4.7068,-5.9179,1.2111
2020-02-26,-2.0097,-4.7003,2.6906
2020-02-25,-0.4857,-4.3514,3.8657
2020-02-24,1.9318,-3.0218,4.9536
2020-02-21,3.9609,-1.7481,5.7090
2020-02-20,4.9792,-1.1668,6.1460
2020-02-19,5.4683,-0.9694,6.4377
2020-02-18,5.6750,-1.0050,6.6801
2020-02-14,6.3267,-0.6046,6.9313
2020-02-13,6.4606,-0.6219,7.0825
2020-02-12,6.5457,-0.6922,7.2379
2020-02-11,6.3219,-1.0891,7.4110
2020-02-10,6.7170,-0.9663,7.6833
2020-02-07,6.9262,-0.9987,7.9248
2020-02-06,7.2471,-0.9274,8.1745
2020-02-05,7.0240,-1.3824,8.4064
2020-02-04,7.0198,-1.7322,8.7520
2020-02-03,7.1771,-2.0079,9.1850
2020-01-31,8.3110,-1.3760,9.6870
2020-01-30,9.5508,-0.4802,10.0310
2020-01-29,9.5322,-0.6188,10.1510
2020-01-28,9.3220,-0.9837,10.3057
2020-01-27,9.5952,-0.9564,10.5517
2020-01-24,10.6943,-0.0965,10.7908
2020-01-23,10.9885,0.1736,10.8149
2020-01-22,11.1105,0.3390,10.7715
2020-01-21,11.2604,0.5736,10.6868
2020-01-17,11.4030,0.8596,10.5434
2020-01-16,11.1992,0.8707,10.3284
2020-01-15,11.1315,1.0208,10.1108
2020-01-14,11.2803,1.4248,9.8556
2020-01-13,11.1698,1.6704,9.4994
2020-01-10,10.4304,1.3486,9.0818
2020-01-09,10.0100,1.2654,8.7446
2020-01-08,9.3991,0.9709,8.4283
2020-01-07,9.1384,0.9529,8.1856
2020-01-06,9.1614,1.2141,7.9473
2020-01-03,8.9140,1.2702,7.6438
2020-01-02,8.7099,1.3836,7.3263
2019-12-31,8.0253,1.0449,6.9804
2019-12-30,7.7170,0.9979,6.7191
2019-12-27,7.4281,0.9585,6.4697
2019-12-26,7.1265,0.8964,6.2300
2019-12-24,6.6266,0.6207,6.0059
2019-12-23,6.4665,0.6157,5.8508
2019-12-20,6.1955,0.4987,5.6968
2019-12-19,6.2239,0.6517,5.5722
2019-12-18,6.1104,0.7012,5.4092
2019-12-17,5.9053,0.6714,5.2339
2019-12-16,5.4894,0.4233,5.0661
2019-12-13,4.9346,-0.0256,4.9603
2019-12-12,4.6344,-0.3323,4.9667
2019-12-11,4.5594,-0.4903,5.0497
2019-12-10,4.4677,-0.7046,5.1723
2019-12-09,4.5189,-0.8296,5.3484
2019-12-06,4.6772,-0.8786,5.5558
2019-12-05,4.4254,-1.3500,5.7755
2019-12-04,4.5620,-1.5510,6.1130
2019-12-03,5.0610,-1.4398,6.5007
2019-12-02,5.8573,-1.0033,6.8607
2019-11-29,6.3091,-0.8024,7.1115
2019-11-27,6.4792,-0.8329,7.3121
2019-11-26,6.5421,-0.9782,7.5203
2019-11-25,6.8887,-0.8762,7.7649
2019-11-22,7.0190,-0.9649,7.9839
2019-11-21,7.5507,-0.6745,8.2252
2019-11-20,8.0960,-0.2978,8.3938
2019-11-19,8.5541,0.0858,8.4682
2019-11-18,8.6987,0.2519,8.4468
2019-11-15,8.6743,0.2906,8.3838
2019-11-14,8.6535,0.3424,8.3111
2019-11-13,8.8187,0.5931,8.2256
2019-11-12,8.7149,0.6377,8.0773
2019-11-11,8.7113,0.7935,7.9179
2019-11-08,8.5555,0.8361,7.7195
2019-11-07,8.4420,0.9315,7.5105
2019-11-06,8.2466,0.9690,7.2776
2019-11-05,8.1003,1.0649,7.0353
2019-11-04,7.8068,1.0377,6.7691
2019-11-01,7.2811,0.7714,6.5097
2019-10-31,6.6752,0.3584,6.3168
2019-10-30,6.5235,0.2963,6.2272
2019-10-29,6.7951,0.6420,6.1531
2019-10-28,7.0399,1.0473,5.9926
2019-10-25,6.6634,0.9326,5.7308
2019-10-24,6.3375,0.8398,5.4977
2019-10-23,6.1347,0.8470,5.2877
2019-10-22,5.8274,0.7515,5.0760
2019-10-21,5.6783,0.7902,4.8881
2019-10-18,5.3494,0.6588,4.6906
2019-10-17,5.2692,0.7434,4.5258
2019-10-16,5.2053,0.8653,4.3400
2019-10-15,5.1406,1.0169,4.1237
2019-10-14,4.8866,1.0171,3.8695
2019-10-11,4.4353,0.8201,3.6152
2019-10-10,3.7601,0.3499,3.4102
2019-10-09,3.4668,0.1441,3.3227
2019-10-08,3.3535,0.0669,3.2866
2019-10-07,3.4280,0.1580,3.2699
2019-10-04,3.2023,-0.0281,3.2304
2019-10-03,2.8727,-0.3647,3.2375
2019-10-02,3.0406,-0.2880,3.3286
2019-10-01,3.4000,-0.0006,3.4006
2019-09-30,3.2361,-0.1647,3.4008
2019-09-27,3.0428,-0.3991,3.4420
2019-09-26,3.2763,-0.2654,3.5418
2019-09-25,3.4178,-0.1904,3.6081
2019-09-24,3.4325,-0.2232,3.6557
2019-09-23,3.7424,0.0309,3.7115
2019-09-20,3.9777,0.2739,3.7038
2019-09-19,4.3210,0.6857,3.6353
2019-09-18,4.3674,0.9035,3.4639
2019-09-17,4.1788,0.9408,3.2380
2019-09-16,4.0881,1.0852,3.0028
2019-09-13,3.9943,1.2627,2.7315
2019-09-12,3.9335,1.5177,2.4158
2019-09-11,3.3574,1.3210,2.0364
2019-09-10,2.5218,0.8156,1.7062
2019-09-09,2.1201,0.6178,1.5023
2019-09-06,1.8341,0.4863,1.3478
2019-09-05,1.5352,0.3089,1.2263
2019-09-04,1.1292,-0.0199,1.1490
2019-09-03,1.0110,-0.1430,1.1540
2019-08-30,1.2008,0.0110,1.1898
2019-08-29,1.1161,-0.0709,1.1870
2019-08-28,0.9642,-0.2405,1.2047
2019-08-27,1.1107,-0.1542,1.2649
2019-08-26,1.4209,0.1175,1.3034
2019-08-23,1.5590,0.2850,1.2740
2019-08-22,2.1047,0.9019,1.2028
2019-08-21,1.7706,0.7933,0.9773
2019-08-20,1.3001,0.5211,0.7790
2019-08-19,0.9128,0.2642,0.6487
2019-08-16,0.4063,-0.1764,0.5826
2019-08-15,0.1458,-0.4809,0.6267
2019-08-14,0.2959,-0.4510,0.7470
2019-08-13,0.3803,-0.4794,0.8597
2019-08-12,-0.1507,-1.1303,0.9796
2019-08-09,0.0381,-1.2241,1.2621
2019-08-08,0.2265,-1.3416,1.5682
2019-08-07,0.2154,-1.6882,1.9036
2019-08-06,0.6450,-1.6806,2.3256
2019-08-05,1.3916,-1.3541,2.7458
2019-08-02,2.6970,-0.3873,3.0843
2019-08-01,3.2366,0.0555,3.1811
2019-07-31,3.4291,0.2619,3.1673
2019-07-30,3.1556,0.0538,3.1018
2019-07-29,3.1944,0.1061,3.0883
2019-07-26,3.1058,0.0440,3.0618
2019-07-25,3.1450,0.0942,3.0508
2019-07-24,3.2226,0.1954,3.0273
2019-07-23,3.1068,0.1284,2.9784
2019-07-22,2.8966,-0.0498,2.9463
2019-07-19,2.7510,-0.2078,2.9588
2019-07-18,2.9966,-0.0141,3.0107
2019-07-17,2.9539,-0.0604,3.0143
2019-07-16,3.0916,0.0622,3.0294
2019-07-15,3.1053,0.0915,3.0138
2019-07-12,3.0054,0.0145,2.9909
2019-07-11,3.0286,0.0413,2.9873
2019-07-10,3.1720,0.1951,2.9770
2019-07-09,3.1582,0.2300,2.9282
2019-07-08,3.2973,0.4266,2.8707
2019-07-05,3.5510,0.7870,2.7640
2019-07-03,3.3946,0.8273,2.5673
2019-07-02,3.1272,0.7667,2.3605
2019-07-01,2.9115,0.7427,2.1688
2019-06-28,2.7140,0.7308,1.9831
2019-06-27,2.7920,0.9916,1.8004
2019-06-26,2.6657,1.1131,1.5525
2019-06-25,2.4595,1.1853,1.2743
2019-06-24,2.5913,1.6134,0.9779
2019-06-21,2.4154,1.8408,0.5746
2019-06-20,2.1354,2.0210,0.1144
2019-06-19,1.6777,2.0685,-0.3909
2019-06-18,1.2309,2.1389,-0.9080
2019-06-17,0.5838,2.0265,-1.4427
2019-06-14,0.2136,2.1629,-1.9494
2019-06-13,-0.1450,2.3451,-2.4901
2019-06-12,-0.7440,2.3323,-3.0764
2019-06-11,-1.5019,2.1576,-3.6595
2019-06-10,-2.5105,1.6883,-4.1989
2019-06-07,-3.5343,1.0866,-4.6209
2019-06-06,-4.5422,0.3504,-4.8926
2019-06-05,-5.2606,-0.2804,-4.9802
2019-06-04,-5.8282,-0.9181,-4.9101
2019-06-03,-6.1726,-1.4920,-4.6805
2019-05-31,-5.8768,-1.5693,-4.3075
2019-05-30,-5.5941,-1.6788,-3.9152
2019-05-29,-5.4806,-1.9851,-3.4955
2019-05-28,-5.1625,-2.1633,-2.9992
2019-05-24,-4.7679,-2.3095,-2.4584
2019-05-23,-4.2702,-2.3892,-1.8810
2019-05-22,-3.6432,-2.3595,-1.2837
2019-05-21,-3.1075,-2.4136,-0.6939
2019-05-20,-2.7675,-2.6771,-0.0904
2019-05-17,-1.9360,-2.5148,0.5788
2019-05-16,-1.4482,-2.6557,1.2075
2019-05-15,-0.9145,-2.7859,1.8714
2019-05-14,-0.3055,-2.8734,2.5679
2019-05-13,0.7063,-2.5800,3.2863
2019-05-10,2.2868,-1.6444,3.9313
2019-05-09,3.1041,-1.2383,4.3424
2019-05-08,3.7415,-0.9104,4.6520
2019-05-07,4.2788,-0.6008,4.8796
2019-05-06,4.9064,-0.1233,5.0298
2019-05-03,5.0639,0.0033,5.0606
2019-05-02,4.8583,-0.2015,5.0598
2019-05-01,4.7899,-0.3203,5.1102
2019-04-30,4.4934,-0.6968,5.1903
2019-04-29,5.0526,-0.3119,5.3645
2019-04-26,5.2916,-0.1508,5.4424
2019-04-25,5.5513,0.0712,5.4801
