time,MACD,MACD_Hist,MACD_Signal
2020-06-05,3.4355,75.4993,-72.0639
2020-06-04,-17.7823,73.1564,-90.9387
2020-06-03,-36.5056,72.7222,-109.2278
2020-06-02,-70.0288,57.3796,-127.4083
2020-06-01,-105.0371,36.7161,-141.7532
2020-05-29,-129.1884,21.7439,-150.9322
2020-05-28,-137.0230,19.3452,-156.3682
2020-05-27,-144.4342,16.7703,-161.2045
2020-05-26,-150.7745,14.6226,-165.3971
2020-05-22,-145.7845,23.2683,-169.0528
2020-05-21,-144.0200,30.8498,-174.8698
2020-05-20,-149.1320,33.4503,-182.5823
2020-05-19,-158.9959,31.9490,-190.9448
2020-05-18,-161.5655,37.3666,-198.9321
2020-05-15,-159.7206,48.5531,-208.2738
2020-05-14,-169.9540,50.4580,-220.4120
2020-05-13,-182.9464,50.0801,-233.0265
2020-05-12,-202.0713,43.4753,-245.5466
2020-05-11,-214.3685,42.0469,-256.4154
2020-05-08,-221.3869,45.5402,-266.9271
2020-05-07,-227.9851,50.3270,-278.3121
2020-05-06,-236.7613,54.1326,-290.8939
2020-05-05,-249.1314,55.2957,-304.4270
2020-05-04,-250.7124,67.5386,-318.2510
2020-04-30,-257.0458,78.0898,-335.1356
2020-04-29,-285.4758,69.1823,-354.6580
2020-04-28,-315.1413,56.8123,-371.9536
2020-04-27,-341.9661,44.1906,-386.1567
2020-04-24,-352.4092,44.7951,-397.2044
2020-04-23,-353.6786,54.7245,-408.4031
2020-04-22,-370.3908,51.6935,-422.0843
2020-04-21,-383.5138,51.4939,-435.0076
2020-04-20,-389.7163,58.1648,-447.8811
2020-04-17,-413.2139,49.2084,-462.4223
2020-04-16,-437.2764,37.4480,-474.7244
2020-04-15,-452.8213,31.2651,-484.0864
2020-04-13,-462.0895,29.8131,-491.9027
2020-04-09,-477.9855,21.3704,-499.3559
2020-04-08,-518.0035,-13.3050,-504.6985
2020-04-07,-539.3959,-38.0236,-501.3723
2020-04-03,-550.7244,-58.8580,-491.8664
2020-04-01,-552.5098,-75.3579,-477.1519
2020-03-31,-548.0504,-89.7380,-458.3124
2020-03-30,-533.9746,-98.0967,-435.8779
2020-03-27,-510.9094,-99.5557,-411.3537
2020-03-26,-505.0116,-118.5468,-386.4648
2020-03-25,-515.3789,-158.5508,-356.8281
2020-03-24,-499.8909,-182.7005,-317.1904
2020-03-23,-462.6595,-191.1442,-271.5153
2020-03-20,-385.8716,-162.1423,-223.7293
2020-03-19,-353.3442,-170.1505,-183.1937
2020-03-18,-284.8937,-144.2376,-140.6561
2020-03-17,-225.3020,-120.7053,-104.5967
2020-03-16,-184.9301,-110.5097,-74.4203
2020-03-13,-154.1495,-107.3566,-46.7929
2020-03-12,-129.8222,-109.8684,-19.9538
2020-03-11,-85.7140,-93.2274,7.5133
2020-03-09,-58.3074,-89.1275,30.8202
2020-03-06,-27.7424,-80.8445,53.1021
2020-03-05,-3.0498,-76.3629,73.3132
2020-03-04,17.4132,-74.9907,92.4039
2020-03-03,48.2214,-62.9302,111.1516
2020-03-02,69.6402,-57.2439,126.8841
2020-02-28,105.4091,-35.7860,141.1951
2020-02-27,139.3635,-10.7781,150.1416
2020-02-26,150.4447,-2.3914,152.8361
2020-02-25,157.3346,3.9006,153.4340
2020-02-24,162.2315,9.7726,152.4588
2020-02-20,168.3822,18.3665,150.0157
2020-02-19,165.9079,20.4838,145.4241
2020-02-18,160.7134,20.4103,140.3031
2020-02-17,164.3660,29.1655,135.2005
2020-02-14,164.3107,36.4016,127.9092
2020-02-13,161.1019,42.2931,118.8088
2020-02-12,153.3851,45.1495,108.2355
2020-02-11,143.9773,47.0292,96.9481
2020-02-10,131.9473,46.7565,85.1908
2020-02-07,117.6160,44.1143,73.5017
2020-02-06,104.7661,42.2929,62.4731
2020-02-05,85.0947,33.1948,51.8999
2020-02-04,72.9682,29.3670,43.6012
2020-02-03,57.3962,21.1367,36.2595
2020-01-31,52.5694,21.5942,30.9753
2020-01-30,45.3183,19.7415,25.5767
2020-01-29,35.6789,15.0376,20.6414
2020-01-28,16.8290,-0.0530,16.8820
2020-01-27,13.7743,-3.1210,16.8952
2020-01-24,14.5164,-3.1591,17.6755
2020-01-23,12.4576,-6.0076,18.4652
2020-01-22,16.0683,-3.8988,19.9671
2020-01-21,19.3536,-1.5882,20.9419
2020-01-20,23.5913,2.2524,21.3389
2020-01-17,27.2925,6.5167,20.7758
2020-01-16,23.5047,4.3581,19.1466
2020-01-15,19.3669,1.3097,18.0571
2020-01-14,15.2393,-2.4904,17.7297
2020-01-13,11.0425,-7.3098,18.3523
2020-01-10,8.4066,-11.7731,20.1797
2020-01-09,7.0634,-16.0596,23.1230
2020-01-08,7.5421,-19.5958,27.1379
2020-01-07,15.3642,-16.6727,32.0368
2020-01-06,29.4314,-6.7736,36.2050
2020-01-03,47.8950,9.9966,37.8984
2020-01-02,50.9813,15.5820,35.3993
2020-01-01,48.4975,16.9938,31.5038
2019-12-31,46.4393,19.1840,27.2553
2019-12-30,42.6634,20.2041,22.4593
2019-12-27,36.9434,19.5351,17.4083
2019-12-26,27.5932,15.0687,12.5245
2019-12-24,21.7282,12.9709,8.7573
2019-12-23,19.0987,13.5841,5.5146
2019-12-20,13.3722,11.2536,2.1186
2019-12-19,8.3225,9.0173,-0.6948
2019-12-18,6.2056,9.1548,-2.9491
2019-12-17,0.5320,5.7699,-5.2378
2019-12-16,-8.3261,-1.6458,-6.6803
2019-12-13,-9.6805,-3.4117,-6.2689
2019-12-12,-14.5267,-9.1107,-5.4159
2019-12-11,-19.0245,-15.8862,-3.1383
2019-12-10,-22.3300,-23.1633,0.8333
2019-12-09,-21.3778,-28.0019,6.6241
2019-12-06,-15.5853,-29.2099,13.6246
2019-12-05,-8.4743,-29.4014,20.9271
2019-12-04,-3.0370,-31.3144,28.2774
2019-12-03,3.6162,-32.4898,36.1060
2019-12-02,14.4279,-29.8006,44.2285
2019-11-29,29.8454,-21.8333,51.6786
2019-11-28,36.4793,-20.6576,57.1369
