time,MACD,MACD_Hist,MACD_Signal
2020-06-05,19.9020,27.4799,-7.5779
2020-06-04,15.4227,29.8705,-14.4478
2020-06-03,9.7407,31.6561,-21.9154
2020-06-02,-5.0351,24.7944,-29.8295
2020-06-01,-21.6320,14.3961,-36.0281
2020-05-29,-34.6611,4.9660,-39.6271
2020-05-28,-42.8042,-1.9356,-40.8686
2020-05-27,-49.1337,-8.7490,-40.3847
2020-05-26,-50.9690,-12.7716,-38.1975
2020-05-22,-45.5346,-10.5300,-35.0046
2020-05-21,-39.4022,-7.0301,-32.3721
2020-05-20,-39.1168,-8.5022,-30.6146
2020-05-19,-41.2991,-12.8101,-28.4890
2020-05-18,-34.6817,-9.3952,-25.2865
2020-05-15,-22.8495,0.0881,-22.9377
2020-05-14,-19.9896,2.9701,-22.9597
2020-05-13,-15.7329,7.9694,-23.7023
2020-05-12,-18.2520,7.4426,-25.6946
2020-05-11,-17.3226,10.2327,-27.5553
2020-05-08,-14.2756,15.8378,-30.1134
2020-05-07,-13.3098,20.7631,-34.0729
2020-05-06,-13.3191,25.9446,-39.2637
2020-05-05,-16.1053,29.6445,-45.7498
2020-05-04,-15.1406,38.0203,-53.1609
2020-04-30,-17.0492,45.6169,-62.6660
2020-04-29,-38.9135,35.1567,-74.0702
2020-04-28,-58.0988,24.7606,-82.8594
2020-04-27,-69.3854,19.6642,-89.0496
2020-04-24,-70.2278,23.7378,-93.9656
2020-04-23,-68.9579,30.9421,-99.9001
2020-04-22,-74.8002,32.8354,-107.6356
2020-04-21,-81.2353,34.6091,-115.8444
2020-04-20,-88.8934,35.6033,-124.4967
2020-04-17,-103.3822,30.0153,-133.3975
2020-04-16,-115.4943,25.4071,-140.9014
2020-04-15,-123.8928,23.3604,-147.2531
2020-04-13,-129.4706,23.6227,-153.0932
2020-04-09,-140.7852,18.2137,-158.9989
2020-04-08,-158.0153,5.5370,-163.5523
2020-04-07,-162.9859,1.9506,-164.9366
2020-04-03,-166.7406,-1.3164,-165.4242
2020-04-01,-163.4262,1.6689,-165.0951
2020-03-31,-165.4732,0.0391,-165.5124
2020-03-30,-170.3678,-4.8457,-165.5222
2020-03-27,-167.2287,-2.9179,-164.3107
2020-03-26,-180.2877,-16.7065,-163.5812
2020-03-25,-193.9059,-34.5012,-159.4046
2020-03-24,-197.6387,-46.8594,-150.7793
2020-03-23,-185.0957,-46.0313,-139.0645
2020-03-20,-169.0871,-41.5305,-127.5566
2020-03-19,-169.1701,-51.9961,-117.1740
2020-03-18,-153.3041,-49.1291,-104.1750
