time,MACD,MACD_Hist,MACD_Signal
2020-06-05,21.8619,14.8729,6.9890
2020-06-04,18.7333,15.4625,3.2708
2020-06-03,16.9416,17.5365,-0.5949
2020-06-02,11.3335,16.3125,-4.9790
2020-06-01,5.6194,14.6765,-9.0571
2020-05-29,0.0007,12.7270,-12.7262
2020-05-28,-7.5933,8.3147,-15.9080
2020-05-27,-14.1973,3.7893,-17.9866
2020-05-26,-17.0746,1.8594,-18.9340
2020-05-22,-17.9787,1.4201,-19.3988
2020-05-21,-17.8682,1.8857,-19.7538
2020-05-20,-17.9203,2.3050,-20.2253
2020-05-19,-19.2178,1.5837,-20.8015
2020-05-18,-16.6642,4.5332,-21.1974
2020-05-15,-14.8935,7.4372,-22.3307
2020-05-14,-17.5839,6.6061,-24.1900
2020-05-13,-21.5360,4.3055,-25.8415
2020-05-12,-25.4220,1.4960,-26.9179
2020-05-11,-25.0535,2.2384,-27.2919
2020-05-08,-24.9010,2.9505,-27.8515
2020-05-07,-23.7893,4.7999,-28.5891
2020-05-06,-22.7013,7.0878,-29.7891
2020-05-05,-22.5047,9.0563,-31.5611
2020-05-04,-21.8755,11.9496,-33.8251
2020-04-30,-22.1389,14.6736,-36.8126
2020-04-29,-26.8979,13.5831,-40.4810
2020-04-28,-30.4732,13.4035,-43.8767
2020-04-27,-32.5926,14.6351,-47.2276
2020-04-24,-34.6759,16.2104,-50.8864
2020-04-23,-36.3267,18.6122,-54.9390
2020-04-22,-36.8923,22.6998,-59.5920
2020-04-21,-38.2993,26.9677,-65.2670
2020-04-20,-41.3708,30.6381,-72.0089
2020-04-17,-49.3119,30.3565,-79.6684
2020-04-16,-60.4716,26.7860,-87.2576
2020-04-15,-71.6823,22.2718,-93.9541
2020-04-13,-81.6802,17.8418,-99.5220
2020-04-09,-91.8073,12.1752,-103.9825
2020-04-08,-97.9658,9.0605,-107.0263
2020-04-07,-103.9227,5.3687,-109.2914
2020-04-03,-109.4034,1.2302,-110.6336
2020-04-01,-112.0787,-1.1376,-110.9411
2020-03-31,-113.8530,-3.1963,-110.6567
2020-03-30,-117.7300,-7.8724,-109.8576
2020-03-27,-120.2379,-12.3484,-107.8895
2020-03-26,-125.4777,-20.6753,-104.8024
2020-03-25,-130.6459,-31.0123,-99.6336
2020-03-24,-127.8737,-35.9932,-91.8805
2020-03-23,-116.5446,-33.6623,-82.8822
2020-03-20,-101.9572,-27.4906,-74.4666
2020-03-19,-96.2169,-28.6229,-67.5940
2020-03-18,-85.3015,-24.8633,-60.4382
2020-03-17,-76.3193,-22.0969,-54.2224
2020-03-16,-68.9527,-20.2545,-48.6982
2020-03-13,-59.9218,-16.2873,-43.6346
2020-03-12,-56.0916,-16.5288,-39.5628
2020-03-11,-46.3447,-10.9141,-35.4306
2020-03-09,-43.7885,-11.0865,-32.7020
2020-03-06,-38.0716,-8.1412,-29.9304
2020-03-05,-36.3249,-8.4298,-27.8951
2020-03-04,-35.9905,-10.2028,-25.7877
2020-03-03,-34.5259,-11.2889,-23.2370
2020-03-02,-32.5718,-12.1571,-20.4147
2020-02-28,-28.0971,-10.7216,-17.3754
2020-02-27,-23.6060,-8.9110,-14.6950
2020-02-26,-20.2643,-7.7970,-12.4673
2020-02-25,-15.8671,-5.3491,-10.5181
2020-02-24,-13.1753,-3.9945,-9.1808
2020-02-20,-11.2940,-3.1118,-8.1822
2020-02-19,-10.8973,-3.4931,-7.4042
2020-02-18,-10.2885,-3.7575,-6.5310
2020-02-17,-9.8555,-4.2639,-5.5916
2020-02-14,-8.5741,-4.0485,-4.5256
2020-02-13,-8.2801,-4.7666,-3.5135
2020-02-12,-7.5043,-5.1825,-2.3218
2020-02-11,-6.8835,-5.8573,-1.0262
2020-02-10,-4.9830,-5.4212,0.4381
2020-02-07,-2.3220,-4.1154,1.7934
2020-02-06,-0.2662,-3.0885,2.8223
2020-02-05,0.4778,-3.1166,3.5944
2020-02-04,1.9806,-2.3930,4.3736
2020-02-03,5.9317,0.9599,4.9718
2020-01-31,11.3874,6.6555,4.7318
2020-01-30,9.7953,6.7274,3.0679
2020-01-29,7.4019,6.0158,1.3861
2020-01-28,4.8300,4.9478,-0.1179
2020-01-27,3.3555,4.7103,-1.3548
2020-01-24,1.2719,3.8043,-2.5324
2020-01-23,-2.5564,0.9270,-3.4835
2020-01-22,-4.6566,-0.9413,-3.7152
2020-01-21,-3.3443,0.1356,-3.4799
2020-01-20,-2.4708,1.0430,-3.5138
2020-01-17,-2.0328,1.7417,-3.7745
2020-01-16,-0.9300,3.2800,-4.2100
2020-01-15,-0.9852,4.0448,-5.0300
2020-01-14,-1.5097,4.5315,-6.0412
2020-01-13,-2.3965,4.7776,-7.1740
2020-01-10,-4.3437,4.0248,-8.3684
2020-01-09,-5.7171,3.6576,-9.3746
2020-01-08,-6.5571,3.7320,-10.2890
2020-01-07,-5.0342,6.1878,-11.2220
2020-01-06,-5.9598,6.8092,-12.7690
2020-01-03,-6.6523,7.8190,-14.4713
2020-01-02,-9.3586,7.0674,-16.4260
2020-01-01,-13.6798,4.5131,-18.1929
2019-12-31,-15.4427,3.8785,-19.3211
2019-12-30,-16.3329,3.9579,-20.2908
2019-12-27,-17.5420,3.7382,-21.2802
2019-12-26,-18.5910,3.6238,-22.2148
2019-12-24,-17.5823,5.5384,-23.1207
2019-12-23,-18.3199,6.1855,-24.5054
2019-12-20,-19.9722,6.0795,-26.0517
2019-12-19,-21.8925,5.6791,-27.5716
2019-12-18,-24.0404,4.9510,-28.9914
