time,RSI
2020-04-24,53.5804
2020-04-23,51.1383
2020-04-22,51.4851
2020-04-21,49.1170
2020-04-20,51.7756
2020-04-17,53.6681
2020-04-16,54.9321
2020-04-15,54.3385
2020-04-14,55.1383
2020-04-13,51.5716
2020-04-09,50.1360
2020-04-08,49.6182
2020-04-07,47.8383
2020-04-06,48.5848
2020-04-03,42.7001
2020-04-02,43.4905
2020-04-01,42.3324
2020-03-31,45.2656
2020-03-30,45.3817
2020-03-27,43.5103
2020-03-26,45.7648
2020-03-25,42.3375
2020-03-24,42.6068
2020-03-23,36.2300
2020-03-20,37.0767
2020-03-19,39.9036
2020-03-18,40.2582
2020-03-17,41.4031
2020-03-16,38.5466
2020-03-13,45.6444
2020-03-12,36.3904
2020-03-11,42.7079
2020-03-10,45.4382
2020-03-09,38.1749
2020-03-06,44.9544
2020-03-05,46.2831
2020-03-04,49.8142
2020-03-03,44.2968
2020-03-02,47.8293
2020-02-28,34.5275
2020-02-27,34.5802
2020-02-26,41.8256
2020-02-25,38.9212
2020-02-24,43.4787
2020-02-21,51.9940
2020-02-20,57.1811
2020-02-19,59.7754
2020-02-18,57.2089
2020-02-14,62.0531
2020-02-13,62.0120
2020-02-12,63.9271
2020-02-11,60.1152
2020-02-10,61.6983
2020-02-07,60.9326
2020-02-06,65.1497
2020-02-05,63.4031
2020-02-04,62.1572
2020-02-03,56.6643
2020-01-31,57.3236
2020-01-30,70.4875
2020-01-29,70.9944
2020-01-28,67.8905
2020-01-27,62.9387
2020-01-24,74.6514
2020-01-23,75.9716
2020-01-22,75.2809
2020-01-21,74.7722
2020-01-17,77.6753
2020-01-16,76.2605
2020-01-15,74.5482
2020-01-14,76.3456
2020-01-13,82.3721
2020-01-10,80.0552
2020-01-09,79.7888
2020-01-08,77.1170
2020-01-07,74.7540
2020-01-06,76.9722
2020-01-03,75.8268
2020-01-02,80.5142
2019-12-31,77.4796
2019-12-30,76.3681
2019-12-27,75.4381
2019-12-26,75.6189
2019-12-24,72.3966
2019-12-23,72.2297
2019-12-20,69.2458
2019-12-19,70.1567
2019-12-18,69.9756
2019-12-17,70.9545
2019-12-16,70.6341
2019-12-13,67.7392
2019-12-12,65.1847
2019-12-11,64.6881
2019-12-10,63.0249
2019-12-09,61.8624
2019-12-06,66.7025
2019-12-05,62.9778
2019-12-04,59.7783
2019-12-03,57.7077
2019-12-02,64.1617
2019-11-29,68.9691
2019-11-27,69.9194
2019-11-26,67.3477
2019-11-25,70.7127
2019-11-22,67.2861
2019-11-21,67.6630
2019-11-20,69.5618
2019-11-19,74.8008
2019-11-18,76.2259
2019-11-15,75.4921
2019-11-14,73.6963
2019-11-13,76.8333
2019-11-12,75.4729
2019-11-11,75.8777
2019-11-08,74.7746
2019-11-07,74.3911
2019-11-06,73.1973
2019-11-05,73.1376
2019-11-04,73.6623
2019-11-01,72.8212
2019-10-31,68.8493
2019-10-30,65.0715
2019-10-29,65.1125
2019-10-28,73.5480
2019-10-25,72.0741
2019-10-24,70.1554
2019-10-23,69.8934
2019-10-22,67.7266
2019-10-21,68.5269
2019-10-18,65.6526
2019-10-17,64.8112
2019-10-16,64.1391
2019-10-15,65.3775
2019-10-14,66.0792
