time,RSI
2020-06-05,52.6791
2020-06-04,50.5936
2020-06-03,53.3969
2020-06-02,51.7047
2020-06-01,46.5188
2020-05-29,39.6835
2020-05-28,39.4762
2020-05-27,39.1365
2020-05-26,35.4553
2020-05-22,36.7597
2020-05-21,38.6602
2020-05-20,39.7985
2020-05-19,37.3463
2020-05-18,36.4612
2020-05-15,39.2954
2020-05-14,39.7686
2020-05-13,40.7789
2020-05-12,38.1470
2020-05-11,36.5229
2020-05-08,36.6645
2020-05-07,37.2495
2020-05-06,37.9729
2020-05-05,35.2311
2020-05-04,36.3804
2020-04-30,40.1436
2020-04-29,39.5344
2020-04-28,37.9665
2020-04-27,33.1662
2020-04-24,31.3057
2020-04-23,33.9240
2020-04-22,33.1841
2020-04-21,31.9080
2020-04-20,34.5921
2020-04-17,34.6027
2020-04-16,32.4774
2020-04-15,31.5205
2020-04-13,32.7124
2020-04-09,35.9021
2020-04-08,30.5622
2020-04-07,28.4847
2020-04-03,27.2995
2020-04-01,27.4197
2020-03-31,27.3232
2020-03-30,27.5484
2020-03-27,30.3033
2020-03-26,32.8463
2020-03-25,28.0212
2020-03-24,25.5818
2020-03-23,19.8777
2020-03-20,25.8052
2020-03-19,18.7491
2020-03-18,21.6084
2020-03-17,26.2511
2020-03-16,29.9253
2020-03-13,33.1615
2020-03-12,28.3843
2020-03-11,34.7511
2020-03-09,36.0944
2020-03-06,40.2263
2020-03-05,43.8183
2020-03-04,41.6121
2020-03-03,47.8200
2020-03-02,43.4176
2020-02-28,47.5178
2020-02-27,64.8049
2020-02-26,68.7886
2020-02-25,70.0885
2020-02-24,69.3145
2020-02-20,75.8077
2020-02-19,75.7043
2020-02-18,71.8781
2020-02-17,73.9167
2020-02-14,74.5630
2020-02-13,75.6356
2020-02-12,74.9187
2020-02-11,74.3631
2020-02-10,73.5733
2020-02-07,71.5493
2020-02-06,72.8432
2020-02-05,68.4262
2020-02-04,68.0908
2020-02-03,61.7527
2020-01-31,61.9926
2020-01-30,61.8739
2020-01-29,66.1810
2020-01-28,55.8997
2020-01-27,52.7935
2020-01-24,54.9148
2020-01-23,50.5819
2020-01-22,51.3780
2020-01-21,51.1596
2020-01-20,52.0903
2020-01-17,58.0584
2020-01-16,57.4659
2020-01-15,56.6619
2020-01-14,55.9494
2020-01-13,54.3611
2020-01-10,53.1679
2020-01-09,51.8877
2020-01-08,47.5445
2020-01-07,44.7573
2020-01-06,44.1441
2020-01-03,56.7927
2020-01-02,61.6088
2020-01-01,60.5932
2019-12-31,60.9925
2019-12-30,61.2192
2019-12-27,62.4089
2019-12-26,59.1841
2019-12-24,56.3399
2019-12-23,57.8902
2019-12-20,56.5584
2019-12-19,54.0553
2019-12-18,56.0419
2019-12-17,57.1560
2019-12-16,51.5665
2019-12-13,53.7755
2019-12-12,52.9070
2019-12-11,51.6453
2019-12-10,48.7143
2019-12-09,45.9759
2019-12-06,46.2558
2019-12-05,48.3218
2019-12-04,48.5029
2019-12-03,47.1546
2019-12-02,46.1222
2019-11-29,52.8956
2019-11-28,54.6820
2019-11-27,55.6767
2019-11-26,54.7420
2019-11-25,57.3059
2019-11-22,54.2957
2019-11-21,56.9660
2019-11-20,57.8375
2019-11-19,57.8226
2019-11-18,58.6953
2019-11-15,60.6735
2019-11-14,62.0315
2019-11-13,59.5988
2019-11-11,60.9718
2019-11-08,60.6855
2019-11-07,64.2395
2019-11-06,62.9621
2019-11-05,65.3154
2019-11-04,61.7975
2019-11-01,60.2430
2019-10-31,58.6928
2019-10-30,57.5211
2019-10-29,60.1085
2019-10-25,58.1315
2019-10-24,59.9682
2019-10-23,60.6038
2019-10-22,60.4344
2019-10-18,65.4098
2019-10-17,64.5514
2019-10-16,62.2066
2019-10-15,57.9776
2019-10-14,58.0377
2019-10-11,62.3173
2019-10-10,61.5366
2019-10-09,65.1553
2019-10-07,61.8109
2019-10-04,61.7545
2019-10-03,64.4080
2019-10-01,65.9456
2019-09-30,68.6772
2019-09-27,69.4010
2019-09-26,68.0421
2019-09-25,66.5569
2019-09-24,67.8531
2019-09-23,70.7748
2019-09-20,63.4254
2019-09-19,50.9658
2019-09-18,53.6080
2019-09-17,51.3400
2019-09-16,54.0163
2019-09-13,54.4049
2019-09-12,52.5645
2019-09-11,54.2270
2019-09-09,55.1663
2019-09-06,52.5545
2019-09-05,49.1071
2019-09-04,47.2254
2019-09-03,47.6422
2019-08-30,50.5760
2019-08-29,49.2360
2019-08-28,50.3245
2019-08-27,51.5743
2019-08-26,50.2847
2019-08-23,44.1826
2019-08-22,41.5316
2019-08-21,46.7758
2019-08-20,48.1449
2019-08-19,49.4822
2019-08-16,49.8858
2019-08-14,47.9328
2019-08-13,45.1747
2019-08-09,53.0326
2019-08-08,49.5331
2019-08-07,46.2917
2019-08-06,46.3908
2019-08-05,41.1319
2019-08-02,44.1452
2019-08-01,43.2435
2019-07-31,44.3507
2019-07-30,44.3138
2019-07-29,44.3873
2019-07-26,44.8471
2019-07-25,34.4833
2019-07-24,38.3935
2019-07-23,42.1607
2019-07-22,40.7296
2019-07-19,43.5250
2019-07-18,49.9145
2019-07-17,49.6811
2019-07-16,49.0823
2019-07-15,47.3768
2019-07-12,45.7472
2019-07-11,48.7218
2019-07-10,47.6929
2019-07-09,55.9652
2019-07-08,46.5744
2019-07-05,69.1864
2019-07-04,70.4792
2019-07-03,69.7173
2019-07-02,69.6478
2019-07-01,69.0431
2019-06-28,68.3885
2019-06-27,66.5864
2019-06-26,66.0387
2019-06-25,63.9643
2019-06-24,62.2901
2019-06-21,63.9315
2019-06-20,65.2041
2019-06-19,62.6721
2019-06-18,61.9177
2019-06-17,59.9866
2019-06-14,63.9287
2019-06-13,65.7043
2019-06-12,64.3685
2019-06-11,67.2085
2019-06-10,66.2009
2019-06-07,65.8448
2019-06-06,63.6016
2019-06-04,69.5062
2019-06-03,68.7519
2019-05-31,67.3052
2019-05-30,68.1116
2019-05-29,65.6145
2019-05-28,65.7602
2019-05-27,68.1675
2019-05-24,69.4490
2019-05-23,66.6307
2019-05-22,71.5924
2019-05-21,71.1521
2019-05-20,70.4005
2019-05-17,67.0889
2019-05-16,59.3284
2019-05-15,53.2931
2019-05-14,44.8622
2019-05-13,47.9500
2019-05-10,47.4013
2019-05-09,50.8747
2019-05-08,47.2358
2019-05-07,55.1092
2019-05-06,56.7286
2019-05-03,64.1178
2019-05-02,66.3737
2019-04-30,64.2798
2019-04-26,64.1064
2019-04-25,63.4650
2019-04-24,64.6227
2019-04-23,61.3145
2019-04-22,58.4357
2019-04-18,60.6097
2019-04-16,62.3449
2019-04-15,61.8228
2019-04-12,60.9242
2019-04-11,64.8371
2019-04-10,62.2523
2019-04-09,63.4066
2019-04-08,64.7720
2019-04-05,72.9208
2019-04-04,69.9058
2019-04-03,69.9501
2019-04-02,70.7589
2019-04-01,68.5717
2019-03-28,68.0099
2019-03-27,65.7099
2019-03-26,65.0884
2019-03-25,60.8175
2019-03-22,59.8549
2019-03-20,63.1139
