time,RSI
2020-04-15,39.9372
2020-04-13,41.6768
2020-04-09,43.0956
2020-04-08,36.8813
2020-04-07,36.7838
2020-04-03,34.2804
2020-04-01,36.3643
2020-03-31,37.5388
2020-03-30,34.5814
2020-03-27,39.6101
2020-03-26,39.4265
2020-03-25,34.6491
2020-03-24,27.3985
2020-03-23,27.9482
2020-03-20,33.3747
2020-03-19,25.2682
2020-03-18,25.3222
2020-03-17,28.4123
2020-03-16,30.7912
2020-03-13,38.7773
2020-03-12,22.4252
2020-03-11,28.4250
2020-03-09,32.1607
2020-03-06,32.1607
2020-03-05,37.3036
2020-03-04,37.9438
2020-03-03,36.7499
2020-03-02,35.5833
2020-02-28,34.9559
2020-02-27,41.1004
2020-02-26,41.6311
2020-02-25,43.2437
2020-02-24,42.2328
2020-02-20,48.1797
2020-02-19,48.7225
2020-02-18,43.6927
2020-02-17,45.7600
2020-02-14,50.1574
2020-02-13,50.3770
2020-02-12,53.4011
2020-02-11,53.3213
2020-02-10,51.6738
2020-02-07,50.9994
2020-02-06,53.4292
2020-02-05,50.0535
2020-02-04,46.2062
2020-02-03,37.7533
2020-01-31,51.4740
2020-01-30,51.8817
2020-01-29,50.5665
2020-01-28,53.8622
2020-01-27,49.9143
2020-01-24,56.8745
2020-01-23,54.1460
2020-01-22,53.1156
2020-01-21,59.8023
2020-01-20,58.8470
2020-01-17,58.7102
2020-01-16,62.8640
2020-01-15,63.4223
2020-01-14,64.4213
2020-01-13,62.0140
2020-01-10,61.5202
2020-01-09,61.4332
2020-01-08,56.9375
2020-01-07,57.8154
2020-01-06,55.1301
2020-01-03,64.7559
2020-01-02,66.5540
2020-01-01,63.8516
2019-12-31,62.0283
2019-12-30,65.7616
2019-12-27,66.8745
2019-12-26,64.4056
2019-12-24,64.1450
2019-12-23,65.7909
2019-12-20,64.4219
2019-12-19,65.4827
2019-12-18,70.5760
2019-12-17,69.5316
2019-12-16,65.2708
2019-12-13,63.6587
2019-12-12,60.5835
2019-12-11,60.4360
2019-12-10,58.3929
2019-12-09,60.5293
2019-12-06,56.0525
2019-12-05,65.3359
2019-12-04,65.0224
2019-12-03,64.8889
2019-12-02,63.7037
2019-11-29,62.8060
2019-11-28,64.8223
2019-11-27,68.8159
2019-11-26,66.4035
2019-11-25,65.6250
2019-11-22,60.6433
2019-11-21,58.1108
2019-11-20,56.9111
2019-11-19,58.7959
2019-11-18,61.8627
2019-11-15,60.9287
2019-11-14,61.0528
2019-11-13,59.5389
2019-11-11,63.1934
2019-11-08,62.8355
2019-11-07,65.5887
2019-11-06,63.3031
2019-11-05,60.1027
2019-11-04,60.0984
2019-11-01,55.3252
2019-10-31,55.9941
2019-10-30,53.3591
2019-10-29,54.0974
2019-10-27,52.6384
2019-10-25,53.1507
2019-10-24,57.8561
2019-10-23,57.7324
2019-10-22,55.3630
2019-10-18,53.5794
2019-10-17,52.9596
2019-10-16,49.5448
2019-10-15,45.9439
2019-10-14,45.7743
2019-10-11,45.6361
2019-10-10,43.5334
2019-10-09,44.5426
2019-10-07,41.4576
2019-10-04,42.0178
2019-10-03,41.8379
2019-10-01,43.1905
2019-09-30,41.5386
2019-09-27,45.3340
2019-09-26,47.2949
2019-09-25,47.6721
2019-09-24,52.0544
2019-09-23,54.3390
2019-09-20,46.0700
2019-09-19,38.4210
2019-09-18,39.3843
2019-09-17,39.9086
2019-09-16,43.4389
2019-09-13,46.5285
2019-09-12,46.2702
2019-09-11,45.2745
2019-09-09,44.6379
2019-09-06,42.6672
2019-09-05,42.7795
2019-09-04,46.5061
2019-09-03,45.6849
2019-08-30,51.3022
2019-08-29,48.3253
2019-08-28,53.1079
2019-08-27,52.2691
2019-08-26,50.0990
2019-08-23,40.2972
2019-08-22,37.4158
2019-08-21,41.0910
2019-08-20,42.9958
2019-08-19,44.8751
2019-08-16,43.3265
2019-08-14,44.8359
2019-08-13,43.0588
2019-08-09,53.0550
2019-08-08,50.0359
2019-08-07,49.6450
2019-08-06,50.8365
2019-08-05,47.2690
2019-08-02,44.2135
2019-08-01,40.0545
2019-07-31,42.8929
2019-07-30,43.4626
2019-07-29,45.3247
2019-07-26,46.9578
2019-07-25,49.4463
2019-07-24,48.1606
2019-07-23,43.6216
2019-07-22,47.9987
2019-07-19,62.2088
2019-07-18,68.7990
2019-07-17,63.5087
2019-07-16,62.5710
2019-07-15,61.4838
2019-07-12,60.3908
2019-07-11,61.1554
2019-07-10,57.5318
2019-07-09,58.3365
2019-07-08,62.8001
2019-07-05,65.7680
2019-07-04,66.1646
2019-07-03,65.9696
2019-07-02,66.2862
2019-07-01,63.5464
2019-06-28,58.3255
2019-06-27,58.6748
2019-06-26,55.9045
2019-06-25,56.6327
2019-06-24,54.0785
2019-06-21,53.1687
2019-06-20,61.1409
2019-06-19,59.0805
2019-06-18,56.5094
2019-06-17,59.0348
2019-06-14,60.6670
2019-06-13,62.8793
2019-06-12,61.6321
2019-06-11,62.6613
2019-06-10,63.5406
2019-06-07,65.3104
2019-06-06,63.7087
2019-06-04,69.0391
2019-06-03,69.4301
2019-05-31,66.2721
2019-05-30,66.7717
2019-05-29,63.8569
2019-05-28,64.9010
2019-05-27,66.5976
2019-05-24,63.7347
2019-05-23,62.8132
2019-05-22,66.1689
2019-05-21,64.2454
2019-05-20,64.6738
2019-05-17,53.4612
2019-05-16,46.3850
2019-05-15,47.0126
2019-05-14,49.4335
2019-05-13,47.8257
2019-05-10,44.9796
2019-05-09,42.7415
2019-05-08,44.5520
2019-05-07,48.7329
2019-05-06,48.8018
2019-05-03,54.4868
2019-05-02,55.5363
2019-04-30,52.9537
2019-04-26,50.3451
2019-04-25,48.2534
2019-04-24,50.8746
2019-04-23,44.9051
2019-04-22,47.3240
2019-04-18,54.4292
2019-04-16,58.4391
2019-04-15,56.6577
2019-04-12,58.8544
2019-04-11,58.2342
2019-04-10,59.2744
2019-04-09,66.6177
2019-04-08,65.1688
2019-04-05,65.6974
2019-04-04,64.1999
2019-04-03,61.1814
2019-04-02,58.8388
2019-04-01,53.9861
2019-03-28,52.8230
2019-03-27,48.8375
2019-03-26,52.8563
2019-03-25,52.8727
2019-03-22,59.6616
2019-03-20,60.1943
2019-03-19,57.7228
2019-03-18,57.2194
2019-03-15,59.4916
2019-03-14,57.1081
2019-03-13,56.2590
2019-03-12,53.7408
2019-03-11,48.6894
2019-03-08,46.5449
2019-03-07,45.8306
2019-03-06,46.5949
2019-03-05,42.7038
2019-03-01,42.5262
2019-02-28,39.6687
2019-02-27,39.7324
2019-02-26,40.8954
2019-02-25,45.5678
2019-02-22,44.1288
2019-02-21,44.8822
2019-02-20,41.9044
2019-02-19,38.9290
2019-02-18,41.3125
2019-02-15,41.3796
2019-02-14,44.0978
2019-02-12,44.5748
2019-02-11,49.4129
2019-02-08,48.9097
2019-02-07,52.1462
2019-02-06,54.3223
2019-02-05,53.2843
2019-02-04,53.2843
2019-02-01,51.5046
2019-01-31,47.3213
2019-01-30,42.4953
2019-01-29,45.9840
2019-01-28,49.4343
2019-01-25,53.1189
2019-01-24,52.1194
