time,RSI
2020-06-05,57.4041
2020-06-04,54.9062
2020-06-03,58.9905
2020-06-02,57.4161
2020-06-01,55.6502
2020-05-29,56.1827
2020-05-28,53.1831
2020-05-27,46.9962
2020-05-26,43.6618
2020-05-22,42.2892
2020-05-21,42.7361
2020-05-20,44.1967
2020-05-19,38.9760
2020-05-18,40.5638
2020-05-15,45.8624
2020-05-14,46.7309
2020-05-13,45.6634
2020-05-12,38.8308
2020-05-11,39.4796
2020-05-08,38.6880
2020-05-07,39.2836
2020-05-06,40.6193
2020-05-05,40.5551
2020-05-04,41.7210
2020-04-30,46.0285
2020-04-29,43.5699
2020-04-28,41.1524
2020-04-27,40.9752
2020-04-24,40.3929
2020-04-23,39.2484
2020-04-22,40.1312
2020-04-21,41.4601
2020-04-20,45.0333
2020-04-17,46.4663
2020-04-16,44.3870
2020-04-15,41.0878
2020-04-13,39.5816
2020-04-09,33.5142
2020-04-08,32.9507
2020-04-07,32.2543
2020-04-03,29.1310
2020-04-01,29.1194
2020-03-31,30.6470
2020-03-30,29.8685
2020-03-27,31.6231
2020-03-26,31.7660
2020-03-25,23.7605
2020-03-24,16.3570
2020-03-23,16.7659
2020-03-20,21.4267
2020-03-19,18.1311
2020-03-18,20.4336
2020-03-17,22.7417
2020-03-16,23.4046
2020-03-13,28.2871
2020-03-12,20.8906
2020-03-11,28.0766
2020-03-09,23.7898
2020-03-06,29.3762
2020-03-05,32.2307
2020-03-04,30.8768
2020-03-03,31.3600
2020-03-02,27.4673
2020-02-28,29.1660
2020-02-27,32.3563
2020-02-26,32.5579
2020-02-25,36.7679
2020-02-24,39.4535
2020-02-20,43.1742
2020-02-19,43.2744
2020-02-18,44.1316
2020-02-17,42.8567
2020-02-14,45.3171
2020-02-13,44.7415
2020-02-12,45.5194
2020-02-11,43.5557
2020-02-10,43.2415
2020-02-07,45.2605
2020-02-06,48.1896
2020-02-05,47.2250
2020-02-04,43.5487
2020-02-03,42.6301
2020-01-31,57.6064
2020-01-30,58.1124
2020-01-29,57.1477
2020-01-28,53.9420
2020-01-27,54.2555
2020-01-24,56.6099
2020-01-23,51.8688
2020-01-22,43.4943
2020-01-21,45.1093
2020-01-20,46.4840
2020-01-17,45.3424
2020-01-16,48.1437
2020-01-15,49.0571
2020-01-14,49.5130
2020-01-13,51.1165
2020-01-10,49.1881
2020-01-09,47.6353
2020-01-08,42.6170
2020-01-07,47.7327
2020-01-06,46.9052
2020-01-03,50.5323
2020-01-02,52.5496
2020-01-01,45.1838
2019-12-31,42.4735
2019-12-30,43.0263
2019-12-27,42.4783
2019-12-26,37.5223
2019-12-24,41.2277
2019-12-23,42.9547
2019-12-20,43.1335
2019-12-19,43.1591
2019-12-18,44.2827
2019-12-17,43.9851
2019-12-16,41.0344
2019-12-13,41.2945
2019-12-12,35.7013
2019-12-11,32.0089
2019-12-10,33.8433
2019-12-09,33.3281
