time,SMA
2020-04-24,279.3620
2020-04-23,277.8640
2020-04-22,276.9680
2020-04-21,275.3010
2020-04-20,274.7110
2020-04-17,271.1590
2020-04-16,267.3720
2020-04-15,262.7940
2020-04-14,259.7800
2020-04-13,256.5560
2020-04-09,254.0050
2020-04-08,253.0500
2020-04-07,250.9950
2020-04-06,249.7400
2020-04-03,245.9300
2020-04-02,244.7130
2020-04-01,244.6980
2020-03-31,245.2740
2020-03-30,245.1310
2020-03-27,243.8710
2020-03-26,246.8940
2020-03-25,245.8730
2020-03-24,248.8640
2020-03-23,252.7100
2020-03-20,256.8900
2020-03-19,262.8690
2020-03-18,267.6830
2020-03-17,273.2900
2020-03-16,276.9360
2020-03-13,282.5960
2020-03-12,282.1350
2020-03-11,284.6640
2020-03-10,286.3860
2020-03-09,286.6600
2020-03-06,289.8610
2020-03-05,292.2630
2020-03-04,295.0010
2020-03-03,297.0890
2020-03-02,300.0570
2020-02-28,302.6710
2020-02-27,307.8220
2020-02-26,313.1900
2020-02-25,315.8860
2020-02-24,319.2330
2020-02-21,321.4180
2020-02-20,322.6340
2020-02-19,322.7490
2020-02-18,322.2720
2020-02-14,321.2380
2020-02-13,319.6940
2020-02-12,319.5940
2020-02-11,319.3080
2020-02-10,319.1160
2020-02-07,317.8560
2020-02-06,317.6840
2020-02-05,317.0860
2020-02-04,316.7110
2020-02-03,316.4830
2020-01-31,317.4900
2020-01-30,318.0630
2020-01-29,316.8100
2020-01-28,315.6440
2020-01-27,315.5710
2020-01-24,315.7090
2020-01-23,314.8410
2020-01-22,313.2370
2020-01-21,311.3060
2020-01-17,309.6290
2020-01-16,307.4990
2020-01-15,306.0100
2020-01-14,304.2410
2020-01-13,302.1250
2020-01-10,299.4090
2020-01-09,297.3670
2020-01-08,294.8310
2020-01-07,292.9120
2020-01-06,291.0170
2020-01-03,289.0390
2020-01-02,287.2700
2019-12-31,285.2760
2019-12-30,283.8970
2019-12-27,282.2600
2019-12-26,280.4260
2019-12-24,278.5120
2019-12-23,276.9330
2019-12-20,275.2250
2019-12-19,274.3520
2019-12-18,272.9080
2019-12-17,271.1080
2019-12-16,269.0120
2019-12-13,267.4420
2019-12-12,266.6520
2019-12-11,266.2900
2019-12-10,265.6420
2019-12-09,265.4310
2019-12-06,264.9170
2019-12-05,264.0470
2019-12-04,263.8080
2019-12-03,264.2630
2019-12-02,265.0280
2019-11-29,265.1880
2019-11-27,264.7270
2019-11-26,264.3900
2019-11-25,264.1570
2019-11-22,263.7400
2019-11-21,263.5760
2019-11-20,263.3180
2019-11-19,262.7230
2019-11-18,261.8070
2019-11-15,260.8470
2019-11-14,259.8530
2019-11-13,258.4650
2019-11-12,256.3440
2019-11-11,254.4770
2019-11-08,253.1620
2019-11-07,251.8060
2019-11-06,250.2210
2019-11-05,248.8150
2019-11-04,247.0980
2019-11-01,245.3990
2019-10-31,243.4580
2019-10-30,242.1100
2019-10-29,241.2210
2019-10-28,240.4240
2019-10-25,239.1060
2019-10-24,238.0690
2019-10-23,236.7200
2019-10-22,235.1050
2019-10-21,233.5490
2019-10-18,232.2040
2019-10-17,231.2640
2019-10-16,229.8180
2019-10-15,228.2770
2019-10-14,227.2040
