time,SMA
2020-04-07,2381.5850
2020-04-03,2452.5400
2020-04-01,2506.6700
2020-03-31,2590.8750
2020-03-30,2713.7550
2020-03-27,2857.0350
2020-03-26,2975.8200
2020-03-25,3069.8150
2020-03-24,3214.2550
2020-03-23,3388.3350
2020-03-20,3584.5500
2020-03-19,3721.8400
2020-03-18,3875.6800
2020-03-17,4015.0650
2020-03-16,4106.9050
2020-03-13,4185.7100
2020-03-12,4288.2800
2020-03-11,4395.8250
2020-03-09,4475.3500
2020-03-06,4533.0250
2020-03-05,4598.4350
2020-03-04,4652.5750
2020-03-03,4699.1750
2020-03-02,4731.1650
2020-02-28,4773.1650
2020-02-27,4806.4350
2020-02-26,4807.3899
2020-02-25,4801.3350
2020-02-24,4790.8100
2020-02-20,4775.4799
2020-02-19,4754.1299
2020-02-18,4719.1849
2020-02-17,4695.6849
2020-02-14,4654.2999
2020-02-13,4612.4999
2020-02-12,4569.1749
2020-02-11,4534.3949
2020-02-10,4480.7799
2020-02-07,4425.2999
2020-02-06,4379.5899
2020-02-05,4325.8599
2020-02-04,4287.1649
2020-02-03,4249.1000
2020-01-31,4227.9750
2020-01-30,4214.5000
2020-01-29,4200.2750
2020-01-28,4178.7200
2020-01-27,4176.7650
2020-01-24,4176.7350
2020-01-23,4171.8550
2020-01-22,4171.0250
2020-01-21,4161.9350
2020-01-20,4148.9350
2020-01-17,4133.6750
2020-01-16,4129.8750
2020-01-15,4132.6750
2020-01-14,4135.1000
2020-01-13,4139.2600
2020-01-10,4146.5250
2020-01-09,4157.3800
2020-01-08,4164.1350
2020-01-07,4173.0000
2020-01-06,4188.1500
2020-01-03,4201.8100
2020-01-02,4191.6700
2020-01-01,4178.7800
2019-12-31,4169.2550
2019-12-30,4149.6100
2019-12-27,4132.8900
2019-12-26,4113.2350
2019-12-24,4097.8150
2019-12-23,4082.7150
2019-12-20,4061.3700
2019-12-19,4042.9350
2019-12-18,4032.5650
2019-12-17,4019.6900
2019-12-16,4002.9050
2019-12-13,3993.9800
2019-12-12,3994.2400
2019-12-11,3998.8500
2019-12-10,4007.1950
2019-12-09,4018.3700
2019-12-06,4038.0450
2019-12-05,4050.8400
2019-12-04,4064.4050
2019-12-03,4079.0850
2019-12-02,4096.0600
2019-11-29,4116.3800
2019-11-28,4127.8400
2019-11-27,4138.8101
2019-11-26,4141.3401
2019-11-25,4148.3251
2019-11-22,4150.1601
2019-11-21,4165.0451
2019-11-20,4171.3301
2019-11-19,4180.5650
2019-11-18,4178.4500
2019-11-15,4170.1650
2019-11-14,4153.8700
2019-11-13,4131.8250
2019-11-11,4121.9400
2019-11-08,4103.1450
2019-11-07,4085.6800
2019-11-06,4065.3800
2019-11-05,4050.5550
2019-11-04,4030.7700
2019-11-01,4032.9800
2019-10-31,4036.5250
2019-10-30,4035.9100
2019-10-29,4024.7900
2019-10-27,4008.4700
2019-10-25,4007.9400
2019-10-24,4004.1950
2019-10-23,4004.3050
2019-10-22,3991.0200
2019-10-18,3978.1100
2019-10-17,3960.3150
2019-10-16,3949.0750
2019-10-15,3952.2150
2019-10-14,3970.7200
2019-10-11,3982.6350
2019-10-10,3978.3500
2019-10-09,3979.7301
2019-10-07,3979.9801
2019-10-04,3960.0601
2019-10-03,3906.0601
2019-10-01,3851.5551
2019-09-30,3788.8400
2019-09-27,3725.6601
2019-09-26,3661.7200
2019-09-25,3599.9200
2019-09-24,3548.3650
2019-09-23,3495.8250
2019-09-20,3430.1850
2019-09-19,3388.7650
2019-09-18,3377.4850
2019-09-17,3362.0150
2019-09-16,3358.6100
2019-09-13,3346.7200
2019-09-12,3336.7700
2019-09-11,3334.2500
2019-09-09,3324.8550
2019-09-06,3298.7050
2019-09-05,3273.3400
2019-09-04,3270.2801
2019-09-03,3274.7450
2019-08-30,3281.4750
2019-08-29,3282.0900
2019-08-28,3281.0300
2019-08-27,3270.6250
2019-08-26,3276.6700
2019-08-23,3277.9300
2019-08-22,3286.9900
2019-08-21,3302.0500
2019-08-20,3292.0450
2019-08-19,3286.5350
2019-08-16,3275.9300
2019-08-14,3267.2450
2019-08-13,3263.3700
2019-08-09,3266.3500
2019-08-08,3251.1300
2019-08-07,3222.1750
2019-08-06,3212.7400
2019-08-05,3213.4450
