time,SMA
2020-04-07,1595.5259
2020-04-03,1602.1615
2020-04-01,1606.7655
2020-03-31,1611.3099
2020-03-30,1613.4572
2020-03-27,1614.6196
2020-03-26,1615.7216
2020-03-25,1615.6696
2020-03-24,1614.7633
2020-03-23,1613.9357
2020-03-20,1613.2106
2020-03-19,1612.3966
2020-03-18,1610.5105
2020-03-17,1608.1501
2020-03-16,1606.8703
2020-03-13,1604.8738
2020-03-12,1603.3744
2020-03-11,1602.1940
2020-03-09,1600.1968
2020-03-06,1597.8942
2020-03-05,1594.5529
2020-03-04,1590.4121
2020-03-03,1587.6598
2020-03-02,1584.1117
2020-02-28,1580.0322
2020-02-27,1578.0082
2020-02-26,1575.4095
2020-02-25,1572.1568
2020-02-24,1570.6467
2020-02-20,1569.3098
2020-02-19,1569.5443
2020-02-18,1570.9251
2020-02-17,1573.0339
2020-02-14,1575.1184
2020-02-13,1578.5510
2020-02-12,1580.7670
2020-02-11,1582.5632
2020-02-10,1585.0807
2020-02-07,1587.1292
2020-02-06,1588.9038
2020-02-05,1590.2518
2020-02-04,1589.8047
2020-02-03,1588.3751
2020-01-31,1587.7483
2020-01-30,1587.2843
2020-01-29,1588.0434
2020-01-28,1589.8471
2020-01-27,1591.4620
2020-01-24,1593.3319
2020-01-23,1594.8160
2020-01-22,1596.5286
2020-01-21,1599.2585
2020-01-20,1602.2262
2020-01-17,1605.0183
2020-01-16,1606.7971
2020-01-15,1607.0716
2020-01-14,1606.0285
2020-01-13,1604.9109
2020-01-10,1602.2175
2020-01-09,1599.8078
2020-01-08,1597.1332
2020-01-07,1594.4852
2020-01-06,1591.1788
2020-01-03,1587.5355
2020-01-02,1584.0210
2020-01-01,1580.9798
2019-12-31,1578.6122
2019-12-30,1576.4934
2019-12-27,1575.9932
2019-12-26,1575.9854
2019-12-24,1575.6011
2019-12-23,1575.3638
2019-12-20,1575.3656
2019-12-19,1576.3079
2019-12-18,1577.4652
2019-12-17,1578.8601
2019-12-16,1580.3331
2019-12-13,1581.7032
2019-12-12,1582.1802
2019-12-11,1581.7210
2019-12-10,1582.4270
2019-12-09,1582.6632
2019-12-06,1584.3495
2019-12-05,1586.5230
2019-12-04,1587.2937
2019-12-03,1587.2858
