time,SMA
2020-04-07,893.4925
2020-04-03,912.5475
2020-04-01,932.6900
2020-03-31,953.0425
2020-03-30,971.0500
2020-03-27,990.2150
2020-03-26,1008.8625
2020-03-25,1027.4400
2020-03-24,1051.2325
2020-03-23,1078.7950
2020-03-20,1106.6525
2020-03-19,1127.4850
2020-03-18,1149.6350
2020-03-17,1168.4575
2020-03-16,1185.4425
2020-03-13,1201.6150
2020-03-12,1213.8150
2020-03-11,1227.5050
2020-03-09,1235.9300
2020-03-06,1242.9250
2020-03-05,1250.8450
2020-03-04,1257.3000
2020-03-03,1262.9950
2020-03-02,1268.2400
2020-02-28,1278.3450
2020-02-27,1287.7575
2020-02-26,1295.5375
2020-02-25,1302.3150
2020-02-24,1307.6200
2020-02-20,1312.6325
2020-02-19,1315.2300
2020-02-18,1315.8725
2020-02-17,1316.6900
2020-02-14,1318.1450
2020-02-13,1318.6275
2020-02-12,1319.9725
2020-02-11,1321.3125
2020-02-10,1323.2650
2020-02-07,1325.7150
2020-02-06,1326.9750
2020-02-05,1326.9025
2020-02-04,1325.8775
2020-02-03,1327.3100
2020-01-31,1328.7900
2020-01-30,1327.0925
2020-01-29,1325.7800
2020-01-28,1323.0125
2020-01-27,1320.6100
2020-01-24,1318.2850
2020-01-23,1315.2775
2020-01-22,1312.6000
2020-01-21,1312.9700
2020-01-20,1313.4025
2020-01-17,1313.5350
2020-01-16,1313.9275
2020-01-15,1313.9325
2020-01-14,1313.6350
2020-01-13,1312.5050
2020-01-10,1311.0475
2020-01-09,1308.8050
2020-01-08,1306.1900
2020-01-07,1305.5775
2020-01-06,1303.4100
2020-01-03,1302.1100
2020-01-02,1300.4350
2020-01-01,1297.4450
2019-12-31,1297.6175
2019-12-30,1299.3025
2019-12-27,1300.7325
2019-12-26,1303.2425
2019-12-24,1306.0250
2019-12-23,1309.0875
2019-12-20,1312.5250
2019-12-19,1315.8400
2019-12-18,1319.8700
2019-12-17,1322.9450
2019-12-16,1325.3275
2019-12-13,1328.4850
2019-12-12,1332.1000
2019-12-11,1337.1925
2019-12-10,1343.6600
2019-12-09,1350.5500
2019-12-06,1357.8575
2019-12-05,1365.1125
2019-12-04,1372.6725
2019-12-03,1380.3900
2019-12-02,1387.3300
2019-11-29,1393.3075
2019-11-28,1400.4475
2019-11-27,1406.6875
2019-11-26,1412.9700
2019-11-25,1416.6950
2019-11-22,1418.9300
2019-11-21,1421.5975
2019-11-20,1423.4950
2019-11-19,1426.5575
2019-11-18,1430.6925
2019-11-15,1433.5775
2019-11-14,1435.9425
2019-11-13,1438.5475
2019-11-11,1440.0325
2019-11-08,1440.5600
2019-11-07,1440.6750
2019-11-06,1440.2425
2019-11-05,1437.4675
2019-11-04,1436.6975
2019-11-01,1436.9975
2019-10-31,1437.5425
2019-10-30,1437.7025
2019-10-29,1437.6275
2019-10-27,1439.1100
2019-10-25,1439.7425
2019-10-24,1442.5725
2019-10-23,1447.3600
2019-10-22,1446.4550
2019-10-18,1439.3900
2019-10-17,1432.9075
2019-10-16,1427.3950
2019-10-15,1423.2875
2019-10-14,1419.8025
2019-10-11,1416.7950
2019-10-10,1413.5725
2019-10-09,1410.1725
2019-10-07,1405.2550
2019-10-04,1401.4100
2019-10-03,1395.7000
2019-10-01,1387.4850
2019-09-30,1380.7350
2019-09-27,1374.0475
2019-09-26,1367.6275
2019-09-25,1360.9975
2019-09-24,1355.1825
2019-09-23,1345.4675
2019-09-20,1333.7900
2019-09-19,1328.6625
2019-09-18,1330.7625
2019-09-17,1332.4525
2019-09-16,1333.4950
2019-09-13,1333.0650
2019-09-12,1330.5800
2019-09-11,1330.6900
2019-09-09,1330.5550
2019-09-06,1330.6975
2019-09-05,1333.2375
2019-09-04,1334.5000
2019-09-03,1337.5025
2019-08-30,1340.6975
2019-08-29,1343.6500
2019-08-28,1345.3300
2019-08-27,1346.6675
2019-08-26,1348.3800
2019-08-23,1350.3400
2019-08-22,1355.3475
2019-08-21,1361.1425
2019-08-20,1365.8175
2019-08-19,1369.2700
2019-08-16,1373.3400
2019-08-14,1379.3600
2019-08-13,1385.7325
2019-08-09,1392.0575
2019-08-08,1397.1875
2019-08-07,1403.9225
2019-08-06,1410.8700
2019-08-05,1418.2400
2019-08-02,1425.4650
