time,SlowD,SlowK
2020-06-05,84.9452,82.7288
2020-06-04,81.9353,82.9798
2020-06-03,72.9798,89.1271
2020-06-02,58.2484,73.6989
2020-06-01,47.5072,56.1136
2020-05-29,46.4937,44.9327
2020-05-28,53.1451,41.4753
2020-05-27,68.2126,53.0731
2020-05-26,78.2527,64.8870
2020-05-22,83.8283,86.6779
2020-05-21,75.4744,83.1932
2020-05-20,65.3372,81.6139
2020-05-19,50.8743,61.6162
2020-05-18,45.4919,52.7814
2020-05-15,48.2607,38.2252
2020-05-14,63.3290,45.4690
2020-05-13,79.5785,61.0879
2020-05-12,89.9575,83.4301
2020-05-11,90.7568,94.2175
2020-05-08,85.6631,92.2248
2020-05-07,77.5968,85.8282
2020-05-06,73.4339,78.9364
2020-05-05,73.2315,68.0258
2020-05-04,76.0602,73.3395
2020-05-01,76.7839,78.3291
2020-04-30,77.2755,76.5120
2020-04-29,78.1296,75.5105
2020-04-28,74.2103,79.8040
2020-04-27,59.2088,79.0745
2020-04-24,39.5706,63.7525
2020-04-23,28.2427,34.7994
2020-04-22,35.5061,20.1600
2020-04-21,57.1116,29.7687
2020-04-20,77.7593,56.5896
2020-04-17,89.9972,84.9765
2020-04-16,93.0839,91.7119
2020-04-15,92.5839,93.3031
2020-04-14,87.8413,94.2368
2020-04-13,83.7759,90.2116
2020-04-09,73.6969,79.0755
2020-04-08,63.6230,82.0405
2020-04-07,42.5676,59.9745
2020-04-06,33.0116,48.8539
2020-04-03,33.0233,18.8745
2020-04-02,50.6540,31.3065
2020-04-01,69.0917,48.8888
2020-03-31,80.3333,71.7667
2020-03-30,84.9413,86.6196
2020-03-27,76.4487,82.6135
2020-03-26,61.7230,85.5907
2020-03-25,38.5283,61.1421
2020-03-24,23.0587,38.4361
2020-03-23,18.4666,16.0067
2020-03-20,19.8912,14.7333
2020-03-19,27.9238,24.6598
2020-03-18,28.9552,20.2804
2020-03-17,34.6963,38.8313
2020-03-16,31.7350,27.7539
2020-03-13,33.2656,37.5037
2020-03-12,32.5494,29.9475
2020-03-11,36.7342,32.3456
2020-03-10,50.0777,35.3551
2020-03-09,65.3228,42.5019
2020-03-06,79.8749,72.3762
2020-03-05,77.6003,81.0903
2020-03-04,64.8654,86.1583
2020-03-03,42.1062,65.5522
2020-03-02,22.8296,42.8856
2020-02-28,13.7852,17.8807
2020-02-27,13.0253,7.7226
2020-02-26,20.5345,15.7523
2020-02-25,30.4986,15.6011
2020-02-24,42.5509,30.2502
2020-02-21,53.4994,45.6445
2020-02-20,60.5355,51.7581
2020-02-19,72.7601,63.0955
2020-02-18,77.6097,66.7529
2020-02-14,79.6735,88.4318
2020-02-13,72.0203,77.6445
2020-02-12,73.4404,72.9442
2020-02-11,78.3152,65.4723
2020-02-10,84.2863,81.9046
2020-02-07,76.4655,87.5688
2020-02-06,59.5168,83.3855
2020-02-05,45.9391,58.4422
2020-02-04,47.2971,36.7228
2020-02-03,61.3699,42.6522
2020-01-31,66.7313,62.5163
2020-01-30,60.4733,78.9410
2020-01-29,51.0679,58.7366
2020-01-28,54.6203,43.7421
2020-01-27,66.9922,50.7251
2020-01-24,78.0933,69.3936
2020-01-23,82.6310,80.8579
2020-01-22,80.1337,84.0284
2020-01-21,73.9300,83.0067
2020-01-17,70.7834,73.3660
2020-01-16,75.6332,65.4175
2020-01-15,85.2914,73.5667
2020-01-14,91.1065,87.9155
2020-01-13,90.9932,94.3919
2020-01-10,88.6459,91.0120
2020-01-09,86.3231,87.5756
2020-01-08,87.4218,87.3500
2020-01-07,88.8518,84.0437
2020-01-06,91.6720,90.8716
2020-01-03,89.3842,91.6402
2020-01-02,87.0938,92.5042
2019-12-31,85.4293,84.0082
2019-12-30,89.1153,84.7691
2019-12-27,86.3254,87.5107
2019-12-26,81.8057,95.0662
2019-12-24,73.6095,76.3993
2019-12-23,76.8802,73.9516
2019-12-20,82.1788,70.4776
2019-12-19,90.1213,86.2114
2019-12-18,92.2674,89.8476
2019-12-17,93.4555,94.3049
2019-12-16,90.6051,92.6498
2019-12-13,86.8221,93.4119
2019-12-12,83.0041,85.7536
2019-12-11,81.9716,81.3008
2019-12-10,79.4571,81.9579
2019-12-09,68.7674,82.6560
2019-12-06,52.4220,73.7576
2019-12-05,43.9268,49.8885
2019-12-04,51.3455,33.6198
2019-12-03,67.3732,48.2720
2019-12-02,77.2977,72.1446
2019-11-29,70.3889,81.7029
2019-11-27,56.2540,78.0454
2019-11-26,38.6891,51.4183
2019-11-25,36.3519,39.2982
2019-11-22,46.2487,25.3509
2019-11-21,67.7972,44.4065
2019-11-20,82.6360,68.9887
2019-11-19,89.4096,89.9963
2019-11-18,87.9683,88.9229
2019-11-15,89.5620,89.3096
2019-11-14,90.8044,85.6723
2019-11-13,93.5877,93.7041
2019-11-12,93.6117,93.0367
2019-11-11,93.9522,94.0223
2019-11-08,94.6915,93.7760
2019-11-07,95.9518,94.0583
2019-11-06,96.7999,96.2402
2019-11-05,88.6631,97.5568
2019-11-04,71.7381,96.6028
2019-11-01,55.7811,71.8297
2019-10-31,56.3485,46.7819
2019-10-30,72.3902,48.7316
2019-10-29,87.9442,73.5320
2019-10-28,92.6430,94.9069
2019-10-25,90.8221,95.3936
2019-10-24,85.0248,87.6286
2019-10-23,79.1386,89.4440
2019-10-22,69.4714,78.0018
2019-10-21,64.9983,69.9698
2019-10-18,66.8228,60.4425
2019-10-17,74.4897,64.5825
2019-10-16,82.6856,75.4433
2019-10-15,86.9062,83.4433
2019-10-14,85.5017,89.1701
2019-10-11,80.6270,88.1051
2019-10-10,77.2576,79.2298
2019-10-09,74.7165,74.5461
2019-10-08,66.4856,77.9968
2019-10-07,54.4915,71.6067
2019-10-04,49.9986,49.8534
2019-10-03,54.5406,42.0143
2019-10-02,59.8620,58.1281
2019-10-01,56.1411,63.4793
2019-09-30,47.9763,57.9788
2019-09-27,38.2114,46.9652
2019-09-26,26.0431,38.9848
2019-09-25,22.2014,28.6843
2019-09-24,26.3861,10.4602
2019-09-23,40.5412,27.4598
2019-09-20,48.7207,41.2383
2019-09-19,51.0700,52.9254
2019-09-18,53.8707,51.9985
2019-09-17,61.7997,48.2860
2019-09-16,76.4242,61.3275
2019-09-13,87.0516,75.7856
2019-09-12,91.7015,92.1595
2019-09-11,90.2010,93.2096
2019-09-10,88.4510,89.7352
2019-09-09,81.7205,87.6581
2019-09-06,73.8039,87.9596
2019-09-05,64.6928,69.5438
2019-09-04,61.7579,63.9084
2019-09-03,54.8685,60.6263
2019-08-30,45.5599,60.7390
2019-08-29,33.8237,43.2402
2019-08-28,34.3469,32.7007
2019-08-27,44.1513,25.5303
2019-08-26,63.6721,44.8098
2019-08-23,76.8122,62.1138
2019-08-22,80.1629,84.0926
2019-08-21,69.7200,84.2302
2019-08-20,53.2249,72.1658
2019-08-19,43.6528,52.7641
2019-08-16,45.9535,34.7447
2019-08-15,59.7152,43.4495
2019-08-14,70.0912,59.6664
2019-08-13,70.2608,76.0297
2019-08-12,58.1481,74.5774
2019-08-09,38.1085,60.1754
2019-08-08,21.3945,39.6917
2019-08-07,11.0837,14.4585
2019-08-06,13.6796,10.0333
2019-08-05,22.2309,8.7592
2019-08-02,38.3087,22.2463
2019-08-01,52.6000,35.6871
2019-07-31,64.1114,56.9928
2019-07-30,70.4635,65.1203
2019-07-29,77.6006,70.2213
2019-07-26,86.5998,76.0490
2019-07-25,83.9481,86.5315
2019-07-24,76.6422,97.2189
2019-07-23,58.8269,68.0938
2019-07-22,57.2822,64.6138
2019-07-19,57.1376,43.7731
2019-07-18,68.8843,63.4597
2019-07-17,72.4531,64.1799
2019-07-16,73.7389,79.0132
2019-07-15,65.7087,74.1664
2019-07-12,56.4122,68.0371
2019-07-11,51.0644,54.9225
2019-07-10,56.3655,46.2769
2019-07-09,70.3491,51.9938
2019-07-08,80.0526,70.8258
2019-07-05,77.1403,88.2278
2019-07-03,67.8179,81.1041
2019-07-02,62.1012,62.0888
2019-07-01,58.6292,60.2608
2019-06-28,54.5323,63.9539
