time,SlowD,SlowK
2020-04-13,67.6385,76.4237
2020-04-09,50.3729,77.4471
2020-04-08,28.6759,49.0447
2020-04-07,16.7945,24.6267
2020-04-03,16.8763,12.3561
2020-04-01,27.8176,13.4005
2020-03-31,42.4288,24.8723
2020-03-30,50.9220,45.1800
2020-03-27,44.7729,57.2339
2020-03-26,32.8565,50.3521
2020-03-25,22.4193,26.7329
2020-03-24,20.1217,21.4845
2020-03-23,16.3247,19.0407
2020-03-20,12.5185,19.8401
2020-03-19,9.8054,10.0934
2020-03-18,11.2773,7.6221
2020-03-17,13.1863,11.7006
2020-03-16,16.3879,14.5092
2020-03-13,20.6501,13.3489
2020-03-12,27.0418,21.3056
2020-03-11,27.3321,27.2958
2020-03-09,25.1641,32.5240
2020-03-06,19.7308,22.1764
2020-03-05,19.5636,20.7920
2020-03-04,19.2921,16.2242
2020-03-03,22.8480,21.6746
2020-03-02,27.8151,19.9773
2020-02-28,35.8223,26.8920
2020-02-27,47.0124,36.5761
2020-02-26,59.3344,43.9990
2020-02-25,69.0560,60.4622
2020-02-24,70.7218,73.5420
2020-02-20,66.5827,73.1637
2020-02-19,68.5041,65.4599
2020-02-18,77.0378,61.1245
2020-02-17,87.7398,78.9281
2020-02-14,92.3005,91.0607
2020-02-13,92.5473,93.2305
2020-02-12,93.0734,92.6103
2020-02-11,93.4900,91.8011
2020-02-10,94.1064,94.8088
2020-02-07,89.8920,93.8600
2020-02-06,82.7532,93.6503
2020-02-05,73.0375,82.1658
2020-02-04,70.5847,72.4437
2020-02-03,73.0030,64.5030
2020-01-31,77.8585,74.8075
2020-01-30,75.9457,79.6983
2020-01-29,66.5878,79.0698
2020-01-28,51.9124,69.0690
2020-01-27,34.9401,51.6246
2020-01-24,22.9959,35.0437
2020-01-23,24.5828,18.1520
2020-01-22,40.3336,15.7919
2020-01-21,64.7843,39.8044
2020-01-20,82.3364,65.4044
2020-01-17,91.5658,89.1440
2020-01-16,91.4671,92.4607
2020-01-15,85.9848,93.0927
2020-01-14,73.2567,88.8480
2020-01-13,54.1690,76.0136
2020-01-10,33.3236,54.9085
2020-01-09,17.9667,31.5850
2020-01-08,15.6242,13.4772
2020-01-07,26.1443,8.8380
2020-01-06,44.4952,24.5573
2020-01-03,59.6220,45.0375
2020-01-02,71.2401,63.8909
2020-01-01,78.7584,69.9376
2019-12-31,82.1173,79.8920
2019-12-30,80.5521,86.4458
2019-12-27,74.7167,80.0140
2019-12-26,69.6741,75.1966
2019-12-24,64.5390,68.9394
2019-12-23,63.2501,64.8863
2019-12-20,65.8383,59.7912
2019-12-19,72.8724,65.0728
2019-12-18,78.9802,72.6508
2019-12-17,85.3291,80.8936
2019-12-16,86.7121,83.3961
2019-12-13,81.4458,91.6977
2019-12-12,66.5976,85.0426
2019-12-11,50.3202,67.5971
2019-12-10,39.3739,47.1531
2019-12-09,35.3837,36.2105
