time,SlowD,SlowK
2020-04-15,60.4024,62.4410
2020-04-13,47.7657,63.9901
2020-04-09,31.9540,54.7762
2020-04-08,20.0558,24.5308
2020-04-07,20.3885,16.5551
2020-04-03,30.3658,19.0815
2020-04-01,43.2602,25.5289
2020-03-31,57.5749,46.4870
2020-03-30,57.6353,57.7646
2020-03-27,46.7186,68.4732
2020-03-26,31.9967,46.6679
2020-03-25,25.8021,25.0148
2020-03-24,26.1931,24.3075
2020-03-23,22.2776,28.0839
2020-03-20,18.5373,26.1880
2020-03-19,23.9595,12.5608
2020-03-18,32.8217,16.8631
2020-03-17,39.2024,42.4546
2020-03-16,29.4124,39.1473
2020-03-13,21.6027,36.0054
2020-03-12,17.0380,13.0844
2020-03-11,22.9393,15.7182
2020-03-09,29.6220,22.3115
2020-03-06,31.2022,30.7881
2020-03-05,26.4687,35.7664
2020-03-04,19.6197,27.0521
2020-03-03,15.9249,16.5877
2020-03-02,17.4478,15.2194
2020-02-28,18.0373,15.9675
2020-02-27,22.2406,21.1565
2020-02-26,28.2105,16.9879
2020-02-25,35.6971,28.5773
2020-02-24,33.5800,39.0664
2020-02-20,23.3782,39.4476
2020-02-19,13.3735,22.2260
2020-02-18,15.0584,8.4611
2020-02-17,29.5959,9.4333
2020-02-14,51.1332,27.2809
2020-02-13,69.2384,52.0735
2020-02-12,79.9899,74.0452
2020-02-11,82.7998,81.5964
2020-02-10,80.1790,84.3280
2020-02-07,67.6382,82.4749
2020-02-06,50.7548,73.7342
2020-02-05,34.5811,46.7053
2020-02-04,27.9403,31.8250
2020-02-03,28.2890,25.2130
2020-01-31,27.9634,26.7829
2020-01-30,31.3786,32.8710
2020-01-29,30.4373,24.2363
2020-01-28,32.2423,37.0285
2020-01-27,29.1139,30.0473
2020-01-24,28.0995,29.6511
2020-01-23,28.9877,27.6433
2020-01-22,32.7780,27.0041
2020-01-21,43.1063,32.3156
2020-01-20,59.6571,39.0144
2020-01-17,75.7272,57.9888
2020-01-16,85.5616,81.9680
2020-01-15,87.4261,87.2247
2020-01-14,81.7134,87.4921
2020-01-13,71.3340,87.5616
2020-01-10,51.8745,70.0865
2020-01-09,42.5225,56.3538
2020-01-08,43.1925,29.1832
2020-01-07,58.6127,42.0305
2020-01-06,64.1524,58.3637
2020-01-03,62.8437,75.4439
2020-01-02,58.9968,58.6496
2020-01-01,64.2350,54.4376
2019-12-31,66.7884,63.9033
2019-12-30,62.9304,74.3643
2019-12-27,55.5518,62.0978
2019-12-26,55.1922,52.3290
2019-12-24,61.3370,52.2286
2019-12-23,72.3833,61.0189
2019-12-20,82.7881,70.7636
2019-12-19,89.5171,85.3675
2019-12-18,89.8470,92.2333
2019-12-17,87.2170,90.9504
2019-12-16,81.3770,86.3573
2019-12-13,76.0574,84.3433
2019-12-12,64.5675,73.4305
2019-12-11,60.4484,70.3985
2019-12-10,56.9207,49.8737
2019-12-09,65.0426,61.0731
2019-12-06,64.7630,59.8152
2019-12-05,63.1306,74.2395
2019-12-04,57.6744,60.2343
2019-12-03,61.6487,54.9181
2019-12-02,71.1109,57.8707
2019-11-29,82.4073,72.1573
2019-11-28,89.2849,83.3047
2019-11-27,87.7781,91.7601
2019-11-26,74.5915,92.7899
2019-11-25,55.7384,78.7844
2019-11-22,46.3309,52.2002
2019-11-21,49.8652,36.2307
2019-11-20,58.8323,50.5618
2019-11-19,58.0843,62.8030
2019-11-18,55.1087,63.1321
2019-11-15,55.3245,48.3176
2019-11-14,65.5899,53.8765
2019-11-13,76.5282,63.7795
2019-11-11,83.9596,79.1137
2019-11-08,86.0418,86.6913
2019-11-07,81.4329,86.0740
2019-11-06,76.7376,85.3602
2019-11-05,65.7016,72.8644
2019-11-04,56.5837,71.9881
2019-11-01,41.3920,52.2523
2019-10-31,33.4115,45.5107
2019-10-30,32.2704,26.4130
2019-10-29,46.7148,28.3110
2019-10-27,65.8793,42.0874
2019-10-25,82.4102,69.7462
2019-10-24,89.3812,85.8044
2019-10-23,92.2334,91.6801
2019-10-22,90.6808,90.6592
2019-10-18,86.9095,94.3610
2019-10-17,79.9253,87.0221
2019-10-16,73.5347,79.3453
2019-10-15,69.0618,73.4085
2019-10-14,59.8190,67.8504
2019-10-11,48.1479,65.9266
2019-10-10,31.6811,45.6801
2019-10-09,22.2602,32.8371
2019-10-07,15.3905,16.5261
2019-10-04,12.7926,17.4174
2019-10-03,12.7973,12.2281
2019-10-01,19.4694,8.7325
2019-09-30,34.7034,17.4315
2019-09-27,51.5489,32.2444
2019-09-26,66.7000,54.4342
2019-09-25,67.3746,67.9681
2019-09-24,55.0233,77.6976
2019-09-23,32.5549,56.4581
2019-09-20,18.3540,30.9143
2019-09-19,19.3611,10.2924
2019-09-18,32.9588,13.8553
2019-09-17,49.1679,33.9355
2019-09-16,54.7004,51.0856
2019-09-13,48.6032,62.4825
2019-09-12,33.0533,50.5331
2019-09-11,20.3256,32.7939
2019-09-09,12.8217,15.8329
2019-09-06,19.3695,12.3499
2019-09-05,32.4754,10.2823
2019-09-04,56.4336,35.4763
2019-09-03,73.8791,51.6675
2019-08-30,88.9234,82.1570
2019-08-29,87.7162,87.8126
2019-08-28,74.5466,96.8004
2019-08-27,47.9149,78.5355
2019-08-26,23.8788,48.3039
2019-08-23,11.1956,16.9053
2019-08-22,9.2357,6.4270
2019-08-21,11.6053,10.2546
2019-08-20,11.6461,11.0255
2019-08-19,19.5502,13.5358
2019-08-16,33.4360,10.3771
2019-08-14,56.2975,34.7378
2019-08-13,71.6961,55.1932
2019-08-09,81.8957,78.9616
2019-08-08,82.4751,80.9336
2019-08-07,74.8875,85.7920
2019-08-06,56.4476,80.6998
2019-08-05,34.6736,58.1708
2019-08-02,22.7122,30.4721
2019-08-01,21.3517,15.3777
2019-07-31,26.7352,22.2866
2019-07-30,28.3040,26.3908
2019-07-29,26.4122,31.5281
2019-07-26,19.5765,26.9931
2019-07-25,17.7955,20.7154
2019-07-24,27.4543,11.0209
2019-07-23,50.5847,21.6502
2019-07-22,73.7222,49.6919
2019-07-19,86.6839,80.4120
2019-07-18,86.4734,91.0628
2019-07-17,79.7575,88.5769
2019-07-16,67.9520,79.7804
2019-07-15,55.0999,70.9151
2019-07-12,42.1763,53.1604
2019-07-11,40.8236,41.2241
2019-07-10,50.2262,32.1443
2019-07-09,69.1928,49.1023
2019-07-08,84.4363,69.4319
2019-07-05,92.9144,89.0442
2019-07-04,93.4874,94.8329
2019-07-03,91.3018,94.8660
2019-07-02,83.7648,90.7632
2019-07-01,74.6041,88.2762
2019-06-28,58.6861,72.2552
2019-06-27,43.6957,63.2810
2019-06-26,35.1141,40.5220
2019-06-25,38.1383,27.2840
2019-06-24,47.5522,37.5362
2019-06-21,45.9427,49.5948
2019-06-20,37.2828,55.5256
2019-06-19,29.8477,32.7078
2019-06-18,31.5596,23.6152
2019-06-17,36.5895,33.2202
2019-06-14,37.1314,37.8434
2019-06-13,40.9138,38.7050
2019-06-12,47.0740,34.8458
2019-06-11,60.0042,49.1905
2019-06-10,70.7405,57.1857
2019-06-07,81.7675,73.6363
2019-06-06,87.4279,81.3995
2019-06-04,84.7294,90.2666
2019-06-03,75.5428,90.6177
2019-05-31,62.8878,73.3040
2019-05-30,57.1909,62.7067
2019-05-29,56.5877,52.6527
2019-05-28,61.9006,56.2131
2019-05-27,68.2071,60.8974
2019-05-24,76.0099,68.5914
2019-05-23,82.0229,75.1323
2019-05-22,81.5982,84.3058
2019-05-21,73.3890,86.6305
2019-05-20,62.1851,73.8582
2019-05-17,56.3929,59.6784
2019-05-16,52.8364,53.0187
2019-05-15,44.6397,56.4815
2019-05-14,30.6620,49.0089
2019-05-13,17.6660,28.4288
2019-05-10,13.2228,14.5483
2019-05-09,20.6081,10.0209
2019-05-08,37.7370,15.0991
2019-05-07,60.2715,36.7043
2019-05-06,74.0043,61.4075
2019-05-03,72.3664,82.7028
2019-05-02,58.2873,77.9026
2019-04-30,40.1751,56.4940
2019-04-26,27.0821,40.4653
2019-04-25,15.7887,23.5659
