time,SlowD,SlowK
2020-04-13,61.3918,71.0381
2020-04-09,47.7444,66.4530
2020-04-08,35.3664,46.6843
2020-04-07,35.2701,30.0958
2020-04-03,47.5768,29.3191
2020-04-01,62.2139,46.3952
2020-03-31,69.6738,67.0161
2020-03-30,63.0699,73.2303
2020-03-27,45.9035,68.7749
2020-03-26,26.7114,47.2046
2020-03-25,13.6519,21.7311
2020-03-24,9.2569,11.1985
2020-03-23,9.7801,8.0261
2020-03-20,14.3226,8.5461
2020-03-19,24.4646,12.7681
2020-03-18,30.5541,21.6536
2020-03-17,33.6833,38.9722
2020-03-16,29.7012,31.0366
2020-03-13,31.7270,31.0412
2020-03-12,36.3714,27.0256
2020-03-11,41.6339,37.1142
2020-03-09,43.6013,44.9745
2020-03-06,38.6770,42.8130
2020-03-05,31.9552,43.0164
2020-03-04,22.4723,30.2016
2020-03-03,16.1852,22.6474
2020-03-02,10.6610,14.5680
2020-02-28,8.1935,11.3401
2020-02-27,10.3937,6.0750
2020-02-26,18.3524,7.1656
2020-02-25,30.0302,17.9407
2020-02-24,35.1418,29.9510
2020-02-20,39.5306,42.1990
2020-02-19,39.0643,33.2754
2020-02-18,45.4765,43.1174
2020-02-17,43.9637,40.8000
2020-02-14,40.8821,52.5121
2020-02-13,34.4295,38.5790
2020-02-12,34.5147,31.5551
2020-02-11,38.5864,33.1543
2020-02-10,38.5918,38.8346
2020-02-07,33.4199,43.7702
2020-02-06,31.3839,33.1707
2020-02-05,40.6837,23.3189
2020-02-04,61.4190,37.6622
2020-02-03,76.4067,61.0702
2020-01-31,81.9905,85.5247
2020-01-30,79.6581,82.6251
2020-01-29,79.7980,77.8218
2020-01-28,73.8078,78.5274
2020-01-27,58.1844,83.0450
2020-01-24,34.0082,59.8512
2020-01-23,17.7970,31.6571
2020-01-22,11.9743,10.5164
2020-01-21,16.3379,11.2175
2020-01-20,28.0881,14.1889
2020-01-17,47.3652,23.6073
2020-01-16,65.9925,46.4681
2020-01-15,74.4958,72.0203
2020-01-14,65.8094,79.4891
2020-01-13,50.7546,71.9781
2020-01-10,37.2644,45.9609
2020-01-09,39.7420,34.3248
2020-01-08,52.5293,31.5076
2020-01-07,70.2033,53.3936
2020-01-06,77.7294,72.6866
2020-01-03,74.3600,84.5296
2020-01-02,63.1047,75.9721
2020-01-01,49.4059,62.5782
2019-12-31,35.3878,50.7637
2019-12-30,23.7619,34.8757
2019-12-27,21.7008,20.5240
2019-12-26,30.4008,15.8860
2019-12-24,47.0700,28.6925
2019-12-23,64.6680,46.6238
2019-12-20,77.4204,65.8936
2019-12-19,84.4550,81.4866
2019-12-18,81.1555,84.8810
2019-12-17,69.7507,86.9974
2019-12-16,49.8700,71.5881
2019-12-13,31.0660,50.6668
2019-12-12,19.1232,27.3551
2019-12-11,15.3505,15.1760
2019-12-10,15.2914,14.8385
2019-12-09,14.5285,16.0371
2019-12-06,13.2398,14.9986
2019-12-05,14.2193,12.5497
2019-12-04,20.0233,12.1711
2019-12-03,25.0863,17.9371
2019-12-02,26.4512,29.9619
2019-11-29,22.7807,27.3598
2019-11-28,21.1381,22.0318
2019-11-27,26.9173,18.9504
2019-11-26,34.8728,22.4320
2019-11-25,38.9963,39.3694
2019-11-22,32.0004,42.8170
2019-11-21,20.5913,34.8023
2019-11-20,11.7634,18.3818
2019-11-19,8.2394,8.5897
2019-11-18,8.2476,8.3188
2019-11-15,8.5783,7.8098
2019-11-14,9.4731,8.6141
2019-11-13,12.5860,9.3110
2019-11-11,16.1010,10.4943
2019-11-08,22.1841,17.9527
2019-11-07,26.1413,19.8561
2019-11-06,36.3454,28.7435
2019-11-05,48.1649,29.8243
2019-11-04,64.8584,50.4686
2019-11-01,70.7122,64.2018
2019-10-31,64.9224,79.9049
2019-10-30,47.1420,68.0299
2019-10-29,32.2079,46.8325
2019-10-27,28.5345,26.5637
2019-10-25,37.3174,23.2276
2019-10-24,46.6371,35.8122
2019-10-23,50.6219,52.9123
2019-10-22,47.5656,51.1868
2019-10-18,49.0822,47.7666
2019-10-17,52.7503,43.7433
2019-10-16,55.4488,55.7367
2019-10-15,51.8611,58.7710
2019-10-14,43.2606,51.8388
2019-10-11,32.3788,44.9735
2019-10-10,24.7864,32.9695
2019-10-09,24.3266,19.1934
2019-10-07,31.7906,22.1964
2019-10-04,36.5744,31.5900
2019-10-03,42.0325,41.5853
2019-10-01,47.0392,36.5478
2019-09-30,58.1000,47.9642
2019-09-27,66.9258,56.6055
2019-09-26,76.9058,69.7301
2019-09-25,74.8679,74.4417
2019-09-24,62.5369,86.5456
2019-09-23,35.9182,63.6164
2019-09-20,20.0093,37.4487
2019-09-19,19.0897,6.6896
2019-09-18,35.8496,15.8896
2019-09-17,54.6412,34.6898
2019-09-16,70.0477,56.9693
2019-09-13,76.4381,72.2645
2019-09-12,74.1975,80.9092
2019-09-11,61.4516,76.1404
2019-09-09,44.4274,65.5429
2019-09-06,31.3846,42.6714
2019-09-05,30.3766,25.0678
2019-09-04,42.1522,26.4147
2019-09-03,56.7452,39.6472
2019-08-30,67.8780,60.3948
2019-08-29,66.3358,70.1937
2019-08-28,54.3146,73.0455
2019-08-27,34.5753,55.7681
2019-08-26,25.1702,34.1302
2019-08-23,27.3004,13.8275
2019-08-22,38.3880,27.5530
2019-08-21,42.1524,40.5208
2019-08-20,36.4668,47.0902
2019-08-19,30.9418,38.8461
2019-08-16,29.9574,23.4640
2019-08-14,38.6143,30.5154
2019-08-13,47.1067,35.8928
2019-08-09,51.6500,49.4346
2019-08-08,52.1699,55.9927
2019-08-07,45.7794,49.5227
2019-08-06,45.3237,50.9943
2019-08-05,41.5070,36.8214
2019-08-02,40.9591,48.1553
2019-08-01,35.3253,39.5442
2019-07-31,30.2403,35.1780
2019-07-30,26.4693,31.2538
2019-07-29,21.5436,24.2891
2019-07-26,19.6829,23.8650
2019-07-25,17.6668,16.4766
2019-07-24,16.0421,18.7072
2019-07-23,16.0086,17.8165
2019-07-22,18.5449,11.6025
2019-07-19,22.9471,18.6067
2019-07-18,22.0108,25.4256
2019-07-17,17.6534,24.8091
2019-07-16,15.6484,15.7976
2019-07-15,21.4191,12.3534
2019-07-12,27.9165,18.7942
2019-07-11,31.9652,33.1095
2019-07-10,32.0673,31.8457
2019-07-09,39.9553,30.9404
2019-07-08,54.0916,33.4159
2019-07-05,68.7421,55.5097
2019-07-04,73.2163,73.3493
2019-07-03,69.7456,77.3672
2019-07-02,65.0412,68.9325
2019-07-01,62.2113,62.9371
2019-06-28,61.5164,63.2540
2019-06-27,59.6763,60.4428
2019-06-26,63.0489,60.8524
2019-06-25,62.0709,57.7337
2019-06-24,57.9207,70.5605
2019-06-21,40.2674,57.9186
2019-06-20,31.8145,45.2829
2019-06-19,30.4506,17.6006
2019-06-18,39.5061,32.5601
2019-06-17,39.7014,41.1911
2019-06-14,36.3258,44.7670
2019-06-13,31.9509,33.1461
2019-06-12,28.4514,31.0642
2019-06-11,27.2107,31.6425
2019-06-10,27.0169,22.6474
2019-06-07,32.8724,27.3421
2019-06-06,37.4484,31.0612
2019-06-04,44.0952,40.2139
2019-06-03,52.8492,41.0702
2019-05-31,65.7329,51.0016
2019-05-30,78.4641,66.4759
2019-05-29,84.1135,79.7212
2019-05-28,84.7337,89.1952
2019-05-27,82.3241,83.4240
2019-05-24,85.7255,81.5818
2019-05-23,89.4185,81.9665
2019-05-22,90.1539,93.6283
2019-05-21,81.6309,92.6608
2019-05-20,70.8836,84.1725
2019-05-17,56.9423,68.0593
2019-05-16,48.0049,60.4190
2019-05-15,39.7955,42.3485
2019-05-14,42.5437,41.2471
2019-05-13,48.6598,35.7909
2019-05-10,54.4315,50.5931
2019-05-09,54.7687,59.5952
2019-05-08,49.1105,53.1061
2019-05-07,44.8642,51.6048
2019-05-06,40.0680,42.6208
2019-05-03,37.1809,40.3671
2019-05-02,37.2066,37.2161
2019-04-30,35.9025,33.9594
2019-04-26,33.2703,40.4444
2019-04-25,25.4600,33.3038
2019-04-24,26.4020,26.0627
2019-04-23,29.1412,17.0135
2019-04-22,34.6124,36.1296
2019-04-18,30.1647,34.2806
2019-04-16,27.1667,33.4271
2019-04-15,24.9310,22.7865
2019-04-12,22.3992,25.2867
2019-04-11,18.5705,26.7199
2019-04-10,12.9765,15.1910
2019-04-09,12.9300,13.8007
2019-04-08,20.0793,9.9379
2019-04-05,36.9429,15.0514
2019-04-04,53.6702,35.2486
2019-04-03,56.9127,60.5287
2019-04-02,46.5989,65.2332
2019-04-01,35.0655,44.9761
2019-03-28,36.5660,29.5874
2019-03-27,43.5584,30.6330
2019-03-26,46.8949,49.4776
2019-03-25,41.3440,50.5645
2019-03-22,40.3107,40.6427
2019-03-20,48.2435,32.8249
2019-03-19,61.9643,47.4645
2019-03-18,71.0803,64.4410
2019-03-15,76.3737,73.9875
2019-03-14,78.1313,74.8124
2019-03-13,80.4243,80.3211
2019-03-12,80.7583,79.2605
2019-03-11,83.6599,81.6914
2019-03-08,85.8696,81.3231
2019-03-07,88.8849,87.9652
2019-03-06,87.5358,88.3205
2019-03-05,79.0242,90.3691
2019-03-01,68.3234,83.9178
2019-02-28,60.9934,62.7856
