time,VWAP
2020-06-05 16:00,328.9052
2020-06-05 15:55,328.8041
2020-06-05 15:50,328.7547
2020-06-05 15:45,328.7006
2020-06-05 15:40,328.6524
2020-06-05 15:35,328.6122
2020-06-05 15:30,328.5577
2020-06-05 15:25,328.4924
2020-06-05 15:20,328.4437
2020-06-05 15:15,328.4208
2020-06-05 15:10,328.3999
2020-06-05 15:05,328.3845
2020-06-05 15:00,328.3666
2020-06-05 14:55,328.3518
2020-06-05 14:50,328.3278
2020-06-05 14:45,328.3050
2020-06-05 14:40,328.2839
2020-06-05 14:35,328.2553
2020-06-05 14:30,328.2344
2020-06-05 14:25,328.2147
2020-06-05 14:20,328.1881
2020-06-05 14:15,328.1686
2020-06-05 14:10,328.1520
2020-06-05 14:05,328.1226
2020-06-05 14:00,328.0955
2020-06-05 13:55,328.0766
2020-06-05 13:50,328.0440
2020-06-05 13:45,328.0212
2020-06-05 13:40,327.9802
2020-06-05 13:35,327.9231
2020-06-05 13:30,327.8828
2020-06-05 13:25,327.8453
2020-06-05 13:20,327.7964
2020-06-05 13:15,327.6887
2020-06-05 13:10,327.6710
2020-06-05 13:05,327.6495
2020-06-05 13:00,327.6236
2020-06-05 12:55,327.5982
2020-06-05 12:50,327.5743
2020-06-05 12:45,327.5432
2020-06-05 12:40,327.5150
2020-06-05 12:35,327.4842
2020-06-05 12:30,327.4461
2020-06-05 12:25,327.4229
2020-06-05 12:20,327.3925
2020-06-05 12:15,327.3481
2020-06-05 12:10,327.2955
2020-06-05 12:05,327.2214
2020-06-05 12:00,327.1729
2020-06-05 11:55,327.1236
2020-06-05 11:50,327.0595
2020-06-05 11:45,327.0045
2020-06-05 11:40,326.9580
2020-06-05 11:35,326.9059
2020-06-05 11:30,326.8232
2020-06-05 11:25,326.7732
2020-06-05 11:20,326.6854
2020-06-05 11:15,326.6401
2020-06-05 11:10,326.6073
2020-06-05 11:05,326.5597
2020-06-05 11:00,326.4420
2020-06-05 10:55,326.3787
2020-06-05 10:50,326.3345
2020-06-05 10:45,326.2834
2020-06-05 10:40,326.2467
2020-06-05 10:35,326.2044
2020-06-05 10:30,326.1788
2020-06-05 10:25,326.1662
2020-06-05 10:20,326.1570
2020-06-05 10:15,326.1427
2020-06-05 10:10,326.1147
