time,VWAP
2020-06-05 05:55,1764.6227
2020-06-05 05:50,1764.5799
2020-06-05 05:45,1764.4026
2020-06-05 05:40,1764.3525
2020-06-05 05:35,1764.3343
2020-06-05 05:30,1764.3532
2020-06-05 05:25,1764.3995
2020-06-05 05:20,1765.1619
2020-06-05 05:15,1765.2446
2020-06-05 05:10,1765.2829
2020-06-05 05:05,1765.2845
2020-06-05 05:00,1765.3419
2020-06-05 04:55,1765.3093
2020-06-05 04:50,1765.2430
2020-06-05 04:45,1764.9727
2020-06-05 04:40,1764.8383
2020-06-05 04:35,1764.2304
2020-06-05 04:30,1763.9307
2020-06-05 04:25,1763.8271
2020-06-05 04:20,1763.6201
2020-06-05 04:15,1763.1128
2020-06-05 04:10,1763.0416
2020-06-05 04:05,1762.8575
2020-06-05 04:00,1762.1071
2020-06-05 03:55,1761.6897
2020-06-05 03:50,1761.5448
2020-06-05 03:45,1761.4946
2020-06-05 03:40,1761.3851
2020-06-05 03:35,1761.3011
2020-06-05 03:30,1761.1863
2020-06-05 03:25,1761.1395
2020-06-05 03:20,1761.0254
2020-06-05 03:15,1760.7063
2020-06-05 03:10,1759.5398
2020-06-05 03:05,1759.3734
2020-06-05 03:00,1759.3028
2020-06-05 02:55,1759.1832
2020-06-05 02:50,1759.1440
2020-06-05 02:45,1758.7711
2020-06-05 02:40,1758.6169
2020-06-05 02:35,1758.0411
2020-06-05 02:30,1757.8266
2020-06-05 02:25,1757.8215
2020-06-05 02:20,1757.8556
2020-06-05 02:15,1757.8701
2020-06-05 02:10,1757.8653
2020-06-05 02:05,1757.8683
2020-06-05 02:00,1757.8888
2020-06-05 01:55,1757.9637
2020-06-05 01:50,1758.1116
2020-06-05 01:45,1758.1626
2020-06-05 01:40,1758.5046
2020-06-05 01:35,1759.6822
2020-06-05 01:30,1760.4932
2020-06-05 01:25,1761.0671
2020-06-05 01:20,1761.1300
2020-06-05 01:15,1762.2416
2020-06-05 01:10,1762.7944
2020-06-05 01:05,1762.9698
2020-06-05 01:00,1763.3058
2020-06-05 00:55,1764.5853
2020-06-05 00:50,1766.6233
2020-06-05 00:45,1767.5318
2020-06-05 00:40,1771.5295
2020-06-05 00:35,1772.2026
2020-06-05 00:30,1772.3797
2020-06-05 00:25,1772.5844
2020-06-05 00:20,1773.2031
2020-06-05 00:15,1776.1637
2020-06-05 00:10,1779.6215
2020-06-05 00:05,1780.2182
2020-06-05 00:00,1780.9834
2020-06-04 23:55,1773.9213
2020-06-04 23:50,1773.8569
2020-06-04 23:45,1773.8577
2020-06-04 05:55,1774.1142
2020-06-04 05:50,1774.4604
2020-06-04 05:45,1774.8663
2020-06-04 05:40,1774.9814
2020-06-04 05:35,1775.2024
2020-06-04 05:30,1775.2503
2020-06-04 05:25,1775.2999
2020-06-04 05:20,1775.4026
2020-06-04 05:15,1775.4298
2020-06-04 05:10,1775.4587
2020-06-04 05:05,1775.5126
2020-06-04 05:00,1775.5641
2020-06-04 04:55,1775.6011
2020-06-04 04:50,1775.6412
2020-06-04 04:45,1775.6949
2020-06-04 04:40,1775.8493
2020-06-04 04:35,1776.0221
2020-06-04 04:30,1776.1072
2020-06-04 04:25,1776.1162
2020-06-04 04:20,1776.1532
2020-06-04 04:15,1776.1597
2020-06-04 04:10,1776.1610
2020-06-04 04:05,1776.0844
2020-06-04 04:00,1776.1103
2020-06-04 03:55,1776.1446
2020-06-04 03:50,1776.1636
2020-06-04 03:45,1776.2218
2020-06-04 03:40,1776.2705
2020-06-04 03:35,1776.3488
2020-06-04 03:30,1776.4240
2020-06-04 03:25,1776.5264
2020-06-04 03:20,1777.0401
2020-06-04 03:15,1777.1574
2020-06-04 03:10,1777.0458
2020-06-04 03:05,1777.0934
2020-06-04 03:00,1777.3606
2020-06-04 02:55,1777.9985
2020-06-04 02:50,1782.0730
2020-06-04 02:45,1787.9298
2020-06-04 02:40,1789.7901
2020-06-04 02:35,1791.1469
2020-06-04 02:30,1791.3221
