time,VWAP
2020-04-15 05:55,904.9322
2020-04-15 05:50,905.6259
2020-04-15 05:45,906.8770
2020-04-15 05:40,907.2099
2020-04-15 05:35,907.7830
2020-04-15 05:30,908.4113
2020-04-15 05:25,908.9745
2020-04-15 05:20,909.2116
2020-04-15 05:15,909.5315
2020-04-15 05:10,909.6503
2020-04-15 05:05,909.7839
2020-04-15 05:00,909.9726
2020-04-15 04:55,910.1508
2020-04-15 04:50,910.2836
2020-04-15 04:45,910.4744
2020-04-15 04:40,910.6968
2020-04-15 04:35,910.9365
2020-04-15 04:30,911.0101
2020-04-15 04:25,911.0397
2020-04-15 04:20,911.0537
2020-04-15 04:15,911.0665
2020-04-15 04:10,911.1628
2020-04-15 04:05,911.1449
2020-04-15 04:00,911.1259
2020-04-15 03:55,911.1000
2020-04-15 03:50,911.0450
2020-04-15 03:45,910.9641
2020-04-15 03:40,910.9110
2020-04-15 03:35,910.7508
2020-04-15 03:30,910.7167
2020-04-15 03:25,910.6290
2020-04-15 03:20,910.4316
2020-04-15 03:15,910.1772
2020-04-15 03:10,909.8382
2020-04-15 03:05,909.0888
2020-04-15 03:00,908.7101
2020-04-15 02:55,908.6565
2020-04-15 02:50,908.4111
2020-04-15 02:45,907.7000
2020-04-15 02:40,907.1287
2020-04-15 02:35,906.4782
2020-04-15 02:30,906.4286
2020-04-15 02:25,906.2546
2020-04-15 02:20,906.1283
2020-04-15 02:15,905.9207
2020-04-15 02:10,905.8859
2020-04-15 02:05,905.8563
2020-04-15 02:00,905.7747
2020-04-15 01:55,905.7212
2020-04-15 01:50,905.3875
2020-04-15 01:45,904.0347
2020-04-15 01:40,903.9276
2020-04-15 01:35,903.9274
2020-04-15 01:30,903.8949
2020-04-15 01:25,903.8649
2020-04-15 01:20,903.7721
2020-04-15 01:15,903.6568
2020-04-15 01:10,903.1195
2020-04-15 01:05,903.0501
2020-04-15 01:00,901.9534
2020-04-15 00:55,901.7684
2020-04-15 00:50,901.4441
2020-04-15 00:45,901.0376
2020-04-15 00:40,900.3962
2020-04-15 00:35,899.4424
2020-04-15 00:30,899.0945
2020-04-15 00:25,899.1150
2020-04-15 00:20,899.2356
2020-04-15 00:15,899.3013
2020-04-15 00:10,899.3974
2020-04-15 00:05,900.2745
2020-04-15 00:00,901.1933
2020-04-14 23:55,893.4687
2020-04-14 23:50,883.9271
2020-04-14 23:45,880.9333
2020-04-13 05:55,848.8676
2020-04-13 05:50,848.6783
2020-04-13 05:45,848.2037
2020-04-13 05:40,847.9922
2020-04-13 05:35,847.2409
2020-04-13 05:30,846.5696
2020-04-13 05:25,846.3892
2020-04-13 05:20,845.6925
2020-04-13 05:15,845.2663
2020-04-13 05:10,844.6937
2020-04-13 05:05,844.4749
2020-04-13 05:00,844.3186
2020-04-13 04:55,844.0093
2020-04-13 04:50,843.8876
2020-04-13 04:45,843.8266
2020-04-13 04:40,843.7494
2020-04-13 04:35,843.7348
2020-04-13 04:30,843.6399
2020-04-13 04:25,843.5911
2020-04-13 04:20,843.5754
2020-04-13 04:15,843.5569
2020-04-13 04:10,843.5365
2020-04-13 04:05,843.4812
2020-04-13 04:00,843.4596
2020-04-13 03:55,843.4438
2020-04-13 03:50,843.4010
2020-04-13 03:45,843.3726
2020-04-13 03:40,843.3476
2020-04-13 03:35,843.3060
2020-04-13 03:30,843.2602
2020-04-13 03:25,843.1976
2020-04-13 03:20,843.1533
2020-04-13 03:15,843.1354
2020-04-13 03:10,843.0350
2020-04-13 03:05,842.9998
2020-04-13 03:00,842.9656
2020-04-13 02:55,842.9170
2020-04-13 02:50,842.8782
2020-04-13 02:45,842.8077
2020-04-13 02:40,842.6744
2020-04-13 02:35,842.6286
2020-04-13 02:30,842.3772
2020-04-13 02:25,842.2716
2020-04-13 02:20,842.1102
2020-04-13 02:15,841.8602
2020-04-13 02:10,841.5129
2020-04-13 02:05,841.2707
2020-04-13 02:00,840.9456
2020-04-13 01:55,840.3679
2020-04-13 01:50,839.0181
2020-04-13 01:45,835.6817
2020-04-13 01:40,834.2406
2020-04-13 01:35,832.8162
2020-04-13 01:30,832.3575
2020-04-13 01:25,831.9722
2020-04-13 01:20,830.3142
2020-04-13 01:15,827.2883
2020-04-13 01:10,826.9118
2020-04-13 01:05,824.8443
2020-04-13 01:00,822.6250
2020-04-13 00:55,821.7566
2020-04-13 00:50,821.7314
2020-04-13 00:45,821.7395
2020-04-13 00:40,821.7182
2020-04-13 00:35,821.6875
2020-04-13 00:30,821.5412
2020-04-13 00:25,821.4669
2020-04-13 00:20,821.1054
2020-04-13 00:15,820.9353
2020-04-13 00:10,820.7714
2020-04-13 00:05,817.7582
2020-04-13 00:00,814.6633
2020-04-12 23:55,817.0189
2020-04-12 23:50,817.1260
2020-04-12 23:45,816.3500
2020-04-09 05:55,817.0717
2020-04-09 05:50,817.1895
2020-04-09 05:45,817.2801
2020-04-09 05:40,817.3578
2020-04-09 05:35,817.4215
2020-04-09 05:30,817.4432
2020-04-09 05:25,817.4676
2020-04-09 05:20,817.4937
2020-04-09 05:15,817.5162
2020-04-09 05:10,817.6086
2020-04-09 05:05,817.6474
2020-04-09 05:00,817.6945
2020-04-09 04:55,817.7534
2020-04-09 04:50,817.8889
2020-04-09 04:45,817.9386
2020-04-09 04:40,818.0073
2020-04-09 04:35,818.0984
2020-04-09 04:30,818.1188
2020-04-09 04:25,818.1525
2020-04-09 04:20,818.2146
2020-04-09 04:15,818.3395
2020-04-09 04:10,818.5060
2020-04-09 04:05,818.6429
2020-04-09 04:00,818.7698
2020-04-09 03:55,818.8823
2020-04-09 03:50,818.9198
2020-04-09 03:45,818.9317
2020-04-09 03:40,818.9535
2020-04-09 03:35,818.8876
2020-04-09 03:30,818.7832
2020-04-09 03:25,818.7944
2020-04-09 03:20,818.8188
2020-04-09 03:15,818.8560
2020-04-09 03:10,818.8815
2020-04-09 03:05,818.9719
2020-04-09 03:00,818.9502
2020-04-09 02:55,818.8200
2020-04-09 02:50,818.8326
2020-04-09 02:45,818.9026
2020-04-09 02:40,818.9512
2020-04-09 02:35,818.9700
2020-04-09 02:30,819.0630
2020-04-09 02:25,819.2138
2020-04-09 02:20,819.2771
2020-04-09 02:15,819.4143
2020-04-09 02:10,819.4764
2020-04-09 02:05,819.6121
2020-04-09 02:00,819.7009
2020-04-09 01:55,819.9775
2020-04-09 01:50,820.1342
2020-04-09 01:45,820.5302
2020-04-09 01:40,820.6367
2020-04-09 01:35,820.8600
2020-04-09 01:30,821.2494
2020-04-09 01:25,821.4773
2020-04-09 01:20,821.6442
