time,ADX
2020-03-26,36.4620
2020-03-25,33.1605
2020-03-24,32.8665
2020-03-23,32.5398
2020-03-20,33.4516
2020-03-19,30.5933
2020-03-18,27.4175
2020-03-17,23.8888
2020-03-16,21.5732
2020-03-13,19.0003
2020-03-12,17.8503
2020-03-11,18.0888
2020-03-09,18.3538
2020-03-06,17.7349
2020-03-05,17.9637
2020-03-04,18.2180
2020-03-03,19.9272
2020-03-02,21.0936
2020-02-28,19.3815
2020-02-27,17.4791
2020-02-26,15.3653
2020-02-25,16.6330
2020-02-24,18.0416
2020-02-20,17.7741
2020-02-19,18.3969
2020-02-18,19.0890
2020-02-17,19.7675
2020-02-14,21.3542
2020-02-13,22.2545
2020-02-12,23.7939
2020-02-11,25.5043
2020-02-10,27.7455
2020-02-07,28.9517
2020-02-06,31.1514
2020-02-05,33.0157
2020-02-04,35.9559
2020-02-03,38.7023
2020-01-31,40.9952
2020-01-30,42.7497
2020-01-29,43.5816
2020-01-28,44.5060
2020-01-27,42.9026
2020-01-24,40.3290
2020-01-23,38.0750
2020-01-22,36.6770
2020-01-21,35.1236
2020-01-20,32.4226
2020-01-17,30.8681
2020-01-16,29.9074
2020-01-15,30.0244
2020-01-14,30.5968
2020-01-13,31.2328
2020-01-10,33.3986
2020-01-09,37.0377
2020-01-08,40.8391
2020-01-07,42.2224
2020-01-06,43.1624
2020-01-03,41.9578
2020-01-02,40.6193
2020-01-01,39.6406
2019-12-31,38.5530
2019-12-30,38.3992
2019-12-27,38.3956
2019-12-26,38.5298
2019-12-24,40.7271
2019-12-23,40.1577
2019-12-20,36.8185
2019-12-19,34.1834
2019-12-18,31.3003
2019-12-17,28.0969
2019-12-16,24.5375
2019-12-13,21.8770
2019-12-12,19.5510
2019-12-11,16.9667
2019-12-10,14.8515
2019-12-09,13.5983
2019-12-06,12.9770
2019-12-05,13.8777
2019-12-04,14.8784
2019-12-03,16.0849
2019-12-02,15.7081
2019-11-29,15.2895
2019-11-28,15.9755
2019-11-27,16.1969
2019-11-26,16.4429
2019-11-25,14.6789
2019-11-22,12.7188
2019-11-21,13.3316
2019-11-20,13.8814
2019-11-19,14.2582
2019-11-18,14.6769
2019-11-15,16.0987
2019-11-14,16.2535
2019-11-13,17.5733
2019-11-11,17.1541
2019-11-08,16.6883
2019-11-07,18.1185
2019-11-06,19.4125
2019-11-05,19.5921
2019-11-04,20.9438
2019-11-01,22.3091
2019-10-31,23.6146
2019-10-30,25.0653
2019-10-29,23.8960
2019-10-27,23.8098
2019-10-25,22.6738
2019-10-24,21.4116
2019-10-23,22.1940
2019-10-22,20.1390
2019-10-18,17.8558
2019-10-17,15.3188
2019-10-16,14.2260
2019-10-15,13.4770
2019-10-14,12.6329
2019-10-11,13.5178
2019-10-10,13.4713
2019-10-09,13.4197
2019-10-07,13.9977
2019-10-04,15.3562
2019-10-03,16.0573
2019-10-01,17.5119
2019-09-30,18.3468
2019-09-27,19.4957
2019-09-26,19.6993
2019-09-25,20.5347
2019-09-24,21.1713
2019-09-23,22.5442
2019-09-20,24.0697
2019-09-19,21.6550
2019-09-18,18.9720
2019-09-17,17.6643
2019-09-16,16.2112
2019-09-13,16.1279
2019-09-12,16.0353
2019-09-11,16.4969
2019-09-09,17.0099
2019-09-06,17.4027
2019-09-05,18.3244
2019-09-04,19.2487
2019-09-03,20.2756
2019-08-30,20.4677
2019-08-29,22.5956
2019-08-28,24.9598
2019-08-27,27.5868
2019-08-26,29.2492
2019-08-23,28.3959
2019-08-22,27.4479
2019-08-21,27.0957
2019-08-20,29.1882
2019-08-19,29.7827
2019-08-16,30.4432
2019-08-14,32.4321
2019-08-13,35.9912
2019-08-09,39.7618
2019-08-08,42.5830
2019-08-07,44.5491
2019-08-06,46.7676
2019-08-05,46.7713
2019-08-02,47.5596
2019-08-01,48.0974
2019-07-31,47.1582
2019-07-30,46.7997
2019-07-29,46.4206
2019-07-26,46.5920
2019-07-25,46.9944
2019-07-24,48.3802
2019-07-23,50.3973
2019-07-22,51.7328
2019-07-19,52.0479
2019-07-18,52.4489
2019-07-17,53.1004
2019-07-16,54.0402
2019-07-15,55.0844
2019-07-12,56.6960
2019-07-11,58.4867
2019-07-10,58.7651
2019-07-09,58.9811
2019-07-08,59.4467
2019-07-05,59.4826
2019-07-04,59.8200
2019-07-03,59.9319
2019-07-02,59.3127
2019-07-01,58.7870
2019-06-28,58.2029
2019-06-27,57.5539
2019-06-26,56.3114
2019-06-25,54.4203
2019-06-24,52.3493
2019-06-21,49.9642
2019-06-20,47.3374
2019-06-19,44.4188
2019-06-18,41.3195
2019-06-17,44.6970
2019-06-14,45.7000
2019-06-13,46.4310
2019-06-12,47.6124
2019-06-11,49.4351
2019-06-10,49.8050
2019-06-07,50.2160
2019-06-06,50.9383
2019-06-04,51.2269
2019-06-03,48.8107
2019-05-31,46.1610
2019-05-30,43.7544
2019-05-29,41.1230
2019-05-28,38.5748
2019-05-27,35.7434
2019-05-24,32.3806
2019-05-23,29.1379
2019-05-22,25.0815
2019-05-21,21.3397
2019-05-20,17.1821
2019-05-17,13.2900
2019-05-16,12.7430
2019-05-15,13.5316
2019-05-14,14.7331
2019-05-13,16.0681
2019-05-10,17.8202
2019-05-09,18.2882
2019-05-08,17.2838
2019-05-07,17.2421
2019-05-06,19.0517
2019-05-03,19.8355
2019-05-02,20.2256
2019-04-30,21.3125
2019-04-26,23.0712
2019-04-25,23.0295
2019-04-24,23.4715
2019-04-23,23.2418
2019-04-22,21.0560
2019-04-18,19.5223
2019-04-16,21.0839
2019-04-15,22.1547
2019-04-12,23.6196
2019-04-11,25.3594
2019-04-10,26.4533
2019-04-09,27.1113
2019-04-08,26.2058
2019-04-05,25.1997
2019-04-04,23.2179
2019-04-03,21.1428
2019-04-02,19.9239
2019-04-01,20.3256
2019-03-28,22.0116
2019-03-27,22.7023
2019-03-26,23.4698
2019-03-25,25.9919
2019-03-22,28.4456
2019-03-20,28.1315
2019-03-19,28.5063
2019-03-18,30.2818
2019-03-15,32.2546
2019-03-14,34.5697
2019-03-13,33.7609
2019-03-12,33.4171
2019-03-11,34.5759
2019-03-08,38.2849
2019-03-07,40.8926
2019-03-06,43.7900
2019-03-05,46.1934
2019-03-01,46.1734
2019-02-28,45.6589
2019-02-27,43.6260
2019-02-26,41.3673
2019-02-25,39.8111
2019-02-22,39.0083
2019-02-21,38.4543
2019-02-20,37.3658
2019-02-19,34.6584
2019-02-18,31.6501
2019-02-15,28.8316
2019-02-14,25.6999
2019-02-12,23.4628
2019-02-11,21.2798
2019-02-08,20.5660
2019-02-07,19.7729
2019-02-06,20.1018
2019-02-05,21.8130
2019-02-04,22.9299
2019-02-01,24.0862
2019-01-31,24.6229
2019-01-30,22.3167
2019-01-29,18.5822
2019-01-28,15.3178
2019-01-25,14.0396
2019-01-24,14.4384
2019-01-23,13.7041
2019-01-22,13.6008
2019-01-21,14.9418
2019-01-18,14.9316
2019-01-17,14.0435
2019-01-16,13.6851
2019-01-15,14.5117
2019-01-14,15.4574
2019-01-11,16.7726
2019-01-10,15.8204
2019-01-09,15.3092
2019-01-08,14.8186
2019-01-07,14.2736
2019-01-04,14.9971
2019-01-03,16.5790
2019-01-02,18.3367
2019-01-01,17.9236
2018-12-31,17.4646
2018-12-28,17.9337
2018-12-27,19.0721
2018-12-26,19.7106
2018-12-24,19.4634
2018-12-21,19.7807
2018-12-20,21.6929
2018-12-19,22.8154
2018-12-18,23.6007
2018-12-17,25.8860
2018-12-14,28.4252
2018-12-13,31.3648
2018-12-12,33.4184
2018-12-11,36.5476
2018-12-10,39.1169
2018-12-07,41.8863
2018-12-06,42.5564
2018-12-05,42.5212
2018-12-04,42.4822
2018-12-03,42.4388
2018-11-30,39.0837
2018-11-29,35.7533
2018-11-28,32.7646
2018-11-27,30.5842
2018-11-26,29.0834
2018-11-22,27.8158
2018-11-21,27.0227
2018-11-20,26.1414
2018-11-19,24.4561
2018-11-16,22.5034
2018-11-15,20.8606
2018-11-14,20.6505
2018-11-13,20.8231
2018-11-12,22.0902
2018-11-09,23.0877
2018-11-07,24.4198
2018-11-06,23.8523
2018-11-05,23.4441
2018-11-02,22.9906
2018-11-01,22.4867
2018-10-31,23.2857
2018-10-30,25.0209
2018-10-29,25.2150
2018-10-26,25.4306
2018-10-25,26.5817
2018-10-24,28.1993
2018-10-23,30.5518
2018-10-22,31.0389
2018-10-19,30.5558
2018-10-17,30.0901
2018-10-16,32.1675
2018-10-15,34.3608
2018-10-12,36.3142
2018-10-11,37.3211
2018-10-10,37.4087
2018-10-09,38.6224
2018-10-08,38.1743
2018-10-05,36.0241
2018-10-04,34.3742
2018-10-03,34.0248
2018-10-01,35.1748
2018-09-28,36.3756
2018-09-27,34.3859
2018-09-26,32.1750
2018-09-25,30.4557
2018-09-24,26.8456
2018-09-21,22.8344
2018-09-19,20.1611
2018-09-18,18.7999
2018-09-17,18.2807
2018-09-14,19.4158
2018-09-12,21.2792
2018-09-11,19.0913
2018-09-10,16.8541
2018-09-07,15.3815
2018-09-06,16.6506
2018-09-05,17.8607
2018-09-04,19.2051
2018-09-03,18.9421
2018-08-31,18.6499
2018-08-30,19.6943
2018-08-29,19.1392
2018-08-28,18.5225
2018-08-27,18.6587
2018-08-24,20.4646
2018-08-23,22.1791
2018-08-21,24.0840
2018-08-20,24.4722
2018-08-17,24.3002
2018-08-16,22.0502
2018-08-14,19.8236
2018-08-13,20.1271
2018-08-10,19.9379
2018-08-09,20.5764
2018-08-08,22.0654
2018-08-07,23.6008
2018-08-06,26.2213
2018-08-03,29.0304
2018-08-02,31.3852
2018-08-01,32.9195
2018-07-31,36.4927
2018-07-30,39.6963
2018-07-27,39.5343
2018-07-26,38.0324
2018-07-25,36.8623
2018-07-24,36.6418
2018-07-23,37.9998
2018-07-20,39.5087
2018-07-19,41.5910
2018-07-18,41.8915
2018-07-17,39.2262
2018-07-16,37.3038
2018-07-13,34.4892
2018-07-12,32.1977
2018-07-11,29.6560
2018-07-10,27.6941
2018-07-09,26.3957
2018-07-06,25.9366
2018-07-05,24.9269
2018-07-04,23.4351
2018-07-03,22.3258
2018-07-02,22.4808
2018-06-29,22.3963
2018-06-28,23.2161
2018-06-27,24.1271
2018-06-26,21.9456
2018-06-25,20.1757
2018-06-22,17.1051
